Hindi	Telugu	Similarity_Score
शायद जि मी ठीक कह ता था .	జి మ మి చెపపి ందే స బబ ే అనుకుంటా .	0.4106
- तो उसके खेल ने से ना राज हो . - नहीं .	- అయితే నీకు తను ఆ డు తు ందని కో ప ంగా ఉంది . - లేదు .	0.6101
सौ - सौ , ह जार ों की ता दा द में . अधि क तर लड कि यों की .	అలా ంటి వి వ ంద ల కొ ల దీ ఉననాయి , వే లా ది మంది వి , ఎకకువ గా అమమాయి ల వే .	0.5282
न . लड किया ँ नहीं .	మ హి ళలు కాదు .	0.4576
तुम बताओ .	నువవు చెపపు .	0.3734
यह बकवास है .	అది అంతా ఒ టటి దే .	0.4166
पी पे भ रे हुए थे .	పీ పాల ని ండా .	0.5152
खेल तुम लोगों को बदल रहा है .	విన ండి , ఆట మా రు తోంది .	0.5368
और जब हमने उसे खबर ों में देखा , त भी हमें पता चला .	అది వార త లలో కి వచచే దా కా మాకు తెలియదు .	0.5497
मुझे खेल के बारे में पता था .	నాకు ఆట సంగ తి తెలుసు .	0.5030
ध म कि यों के चल ते उसका मान सि क सं तु ल न बि ग ड गया .	బె ది రి ంపు లు తను త టటు కో లేక పోయింది .	0.5716
दूस री परति यो गि ता में	ఆ చెతత పోలీసు లు	0.4192
कहाँ जा रहे हो ?	ఎ కకడికి వెళ ు తుననారు ?	0.4114
तो " हैलो , आप कैसे हैं , " ऐसा कह ने की पर ं परा है .	" హలో , ఎలా ఉననారు ? " అని అన డం మర యా ద .	0.6326
रे , अब बस भी करो .	రే , దయచేసి అది ఆ పు తా వా ?	0.4899
अरे , धयान रख ना .	హే , జా గర తత .	0.5307
हम डॉज ही कहते हैं .	మనం డా డజ కే పరి మి తం అవు దాం .	0.4888
इसलिए मर ने से बच ना .	అందు కని చని పో కుండా ఉండ ండి .	0.4529
चु प रहो .	నో రు మూ సుకో .	0.3909
खू बस ू रत है .	బాగుంది .	0.2692
हाँ , आ जाओ .	సరే , రా .	0.3991
ज ॉन डे वि स को बस एक ही चीज से डर लगता था .	జా న డే వి స భయ పడ ే ది ఒకక దాని కే .	0.5683
यह कोई सु रा ग है न ?	ఇది సూ చ న కదా ?	0.5382
. . . आ ठ . . .	. . . ఎ నిమి ది . . .	0.7299
कमी ना कहीं का . मजाक है .	వెధవ . నాతో పరా చి క ాలు ఆ డు తుననావు .	0.4901
और परा ंत की ये शान दार खू बस ू रत लड किया ँ ?	ఇది గో వ సతుననారు చూశా రా , మన ఊ రు గర వి ంచ దగ గ అంద ాల రా ణ ు లు ?	0.6132
याद है जब हम छो टे थे , मेरी माँ कहा करती कि अगर झ ूल ते हुए	మన చినన పపుడు మా అమమ , మనం బాగా పె కి ఊ గి తే	0.6011
डर ने वाली ?	భయ పడ ే దాని లా నా ?	0.4145
हम सभी की .	మన ంద రికీ కూడా .	0.3379
चलो भी .	రండి .	0.2956
दूस री ब ॉल आई , मिल गया .	రెండ ో ది పె కి వచచింది , అది ఉంది .	0.4094
एक बात कहूँ ?	నీకు ఒకటి చెపప నా ?	0.3984
एक बात कहूँ ?	నీకు ఒకటి చెపప నా ?	0.3984
मु र गि यों का पि ं जरा घर के ठीक पीछे है .	కో ళళ గ ూ డు ఇంటి వె నుక ఉంది .	0.5968
जि मी लौट कर नहीं आए गा .	అది జి మ మీ ని తిరిగి తీసుకు రా దు .	0.4196
आपने देखा कि उसके फोन में कया था ?	తన ఫోన లో ఏ ము ందో చూశా రా ?	0.5127
इसका कोई फा य दा ही नहीं .	అది ఏం పర వాలేదు .	0.4369
माफ करना .	ననను కషమించు .	0.4126
धत ! सा ला !	ఛ ! చెతత వెధవ !	0.4388
जलदी करो .	తవర గా , తవర గా .	0.3161
मैं तुमहें खतम कर डाल ूँगा .	మిమమలని చ ీ ల చు తాను .	0.4908
सच बताओ . एक मौ का मिल ता है .	నాకు నిజం చెపపు . ఒకక అవకా శం ఇ సతుననాను .	0.5119
बात पक की रही ?	ఒ పప ంద ం చేసు కు ందా మా ?	0.4154
कहीं जा रहे हो ?	ఎ కకడి కె నా వెళ ు తుననా వా ?	0.4260
टा य ल र अभी तक नहीं पहुँ चा .	టె ల ర ఇంకా రాల ేదు .	0.4670
कोई मेरी मदद करो !	ఎవరెనా నాకు సహా యం చేయ ండి !	0.4172
उनहें पिछ ले साल के जज खुद चु न ते हैं .	వారు గ త ఏ డా ది నయాయ నిరణ ే తల చే త పర త యే కంగా ఎ నను కో బడ డా రు .	0.5730
तुम वैसे भी जी तने नहीं वाले थे .	నువవు ఎలా గ ూ గె లవ లేవు .	0.5221
मैं मर ना पसंद कर ूँगी .	దాని కంటే చని పో డానికి ఇష ట పడ తాను .	0.4549
ऐ बी ने कहा कि उसने खेल को लेकर मन पकका नहीं किया .	అబ ీ తను ఆడ ాలో వ దద ో ఖచచితంగా లేదు .	0.5341
अगर मेरे साथ चल ना चा हो तो , मुझे छो टा रा सता मा लू म है .	నాకు దగగర దా రి తెలుసు , నాతో రా వచచు .	0.5219
और अ सत बल और रे स को रस .	అవి అ శ వ శ ాల లు ఇంకా సవా రీ రి ం గు .	0.5136
कया हुआ ?	ఏం జరిగింది ?	0.3776
कॉ फी व ग ै रह कुछ लो गी . . .	కా ఫీ లేదా ఏదెనా తీసుకు రా నా లేదా . . .	0.4855
ब धा ई हो .	శు భా కా ం కష లు .	0.4653
नहीं . हे भगवान .	ఊ హి ంచ లేదు .	0.3953
भा ड में जाओ .	పో ండి రా .	0.3788
धत .	ఛ .	0.4597
तो , कया ?	అయితే , ఏంటి ?	0.3667
रे ! वापस आओ .	రే ? రే ! అలా చేయ కు .	0.4517
और स पर लॉ क एक नंबर का कमी ना है .	స పర లా క ఒక పిచచి వాడు .	0.5318
च ौ थी ब ॉल आई , मिल गया .	నాలు గో ది పె కి వచచింది , అ దీ ఉంది .	0.4212
मैं सोच रहा था कि वे कया कुछ ख री देंगे .	వాళళు కొ నా లను కునన వాటి గురించి ఆలోచి ంచడం నాకు కనిపి ంచింది .	0.4883
हमेशा मुझसे बच ना ,	ఎపపుడూ ననను తపప ి ంచు కునే ది ,	0.4101
सु बह मिल ेंगे .	నినను ఉద యం కలు సతాను .	0.3627
बिलकुल मजाक नहीं .	హా స యం కాదు .	0.3667
अपने कम रे में .	తన గ ది లో .	0.4966
खु ला है	తె రి చి ఉంది	0.4157
वह आ जाएगा .	వ సతా డు .	0.4553
बडी चा ला की से किया .	బాగా చేశా వు .	0.3546
जि मी कभी लौट कर नहीं आ सकता .	ఏ దీ నా జి మ మీ ని ఎ పపటి కీ తిరిగి తీసుకు రాల ేదు .	0.4189
धत तेरी .	అమమ ో .	0.3198
मैं चाहता हूँ तुम उसके करी ब जाओ .	నువవు ఆమె కు దగగర వ వు .	0.4964
धत तेरी .	అయ యో .	0.4053
धत तेरी !	అబబా !	0.2967
- घट िया . - हाँ .	- చెతత గా ఉంది . - అవును .	0.5389
यहाँ पर .	ఇ టు వెపు ఇకకడ .	0.3398
वह एक ही वजह से बडी स ड क पर गई .	ఆమె హె వే పె కి రా వడానికి ఒక ే ఒక కారణ ం అయి ఉంటుంది .	0.4608
आ खि री ब ॉल आई , 3 4 .	చి వరి బం తి పె కి వచచింది , 3 4 .	0.4487
उससे दो स ती करो . जाओ .	అంటే , ఆమె తో బం ధం ఏ ర పర చు కో . వెళళ ు .	0.5519
यह कया है ?	ఏంట ది ?	0.3839
नहीं ! रुको ! यह कया ?	వదదు , వదదు , వదదు ! ఆ గ ండి ! ఏంటి ది ?	0.4796
- त भी तो वह पक डी गई . - अब चल ते हैं .	- అది ఆమె ందుకు అ రె సట అయి ందో తెలు పు తుంది . - మనం వెళళి పో దాం .	0.5525
- और हेदर ? - उसका कया ?	- మరి హే థర మాట ే ంటి ? - తన సంగ తి ఏంటి ?	0.4772
तो तुम अपनी बरा म ं च पर फ ें को गी ?	దా న రథ ం నువవు సట ే జీ పె న నీ బ రా ను వి సు రు తా వని అనుకో వ ాలా ?	0.5428
और तुम , अब जब सै रा मिल र को स मा ज से वा करनी है तो ,	నువవు , సా రా మి లల ర తో బాగు ండు ,	0.5593
यह कया , यार ?	ఏంటి ది ?	0.2917
तुमहें पता है न कि तुम शर मि ंद गी की वजह हो ?	నువవు అస లెన సమసయ వి , కదా ?	0.5089
ए . मेरी बात सुनो .	హే . హే , హే . నేను చెపపే ది వి ను .	0.4472
कोई बात नहीं .	దాని గురించి ఆలోచి ంచ కు .	0.3399
मैं तुमहारी मदद करने को तैयार हूँ .	నేను సహా యం చేయ గలను .	0.4717
जरूर .	తపప కుండా .	0.2712
रु क ने वाली .	భ యం నినను ఆ పే దాని లా .	0.4622
यह तो नि ल अपने घु ट नों पर बैठ ी है .	ని ల మో కా ళళ పె ఉంది .	0.5331
जज जो भी हैं ,	నయాయ నిరణ ే తలు ఎవరెనా గా నీ ,	0.3629
अरे ! यह आर नी है , सबसे जो शी ला आर म डि लो .	ఆ హా ! వచచే ది మ రె వర ో కాదు ఆ రని , అత య ంత ఉ త సా హ వ ంత మెన , పో రా డు తునన అర మ డి లలో .	0.5976
अगर तुमने इस खेल को रो क भी लिया ,	నువవు ఈ ఆట ఆ పే సి ,	0.5111
कोई मदद कर सकती हूँ ?	ఏం కావాలి ?	0.2642
अचछी बात है .	నిజ మే .	0.3498
तो ,	అయితే ,	0.2346
च म गा द ड ों से .	అతనికి గ బ బి ల ాలు అంటే భ యం .	0.5122
मुझे यह सब नहीं करना .	నేను ఆడ ను .	0.3909
यह हुई न बात .	ఇది గో .	0.2883
इसे हमेशा के लिए खतम कर भी लिया तो ,	మంచి చేసి నా కూడా ,	0.3817
अस ली बचचे ,	అస లెన బర తి కునన పిలల లు ,	0.4011
हाँ .	గుర తుంది .	0.2707
हाँ , वह तो है .	అవును .	0.2555
भा ड में जाओ !	పో రా !	0.3210
अरे , यार ?	ఏ య ?	0.2803
अरे , यार .	ఏ య .	0.2803
धत तेरी .	ఛ .	0.2323
धत तेरी .	ఛ .	0.2323
धत तेरी .	ఛ .	0.2323
