तुम कौन हो?	ఎవరు నువవు?
- और रोज की तरह अपना काम करें. - लेकिन ऐसा नहीं कह सकते.	- కానీ నువవు నీ పని మీద నువవు వెళలిపోతుననావు. - నీకు కూడా ఏం జరిగిందో తెలియదు, కదా.
तुम ठीक हो ना? कया हो रहा है?	నువవు బాగానే ఉననావా, అమమాయి? ఏం జరుగుతోంది?
तुम यह सब थोडा बाद में करने वाले थे,	మరికొదది పరయాణం తరువాత మీరు ఈ పనిని చేయాలి అనుకుననారు,
रुको. वेलकरो पहनो.	ఆగు. వెలకరో.
शिबान, कया तुम मुझे दुबई एटीसी का नंबर मिलाकर दे सकते हो?	షియోబన, దుబాయ ఎటిసి ఫోన నెంబరు ఇసతావా?
कैमरे.	కెమెరాలు.
चलो.	కదులు.
पीछे मुडो.	వెనకకి తిరగండి.
हाँ, तो. . .	అవును, అందుకే. . .
तुम बैठ जाओ!	ముందు నువవు కూరచో!
हाँ.	అవును.
मॉरनिंग.	గుడ మారనింగ.
रासता वहाँ दिख रहा है.	అవును, మీరు ఆ రూట ని అకకడ చూడచచు.
बस यही? वह घर चली गई?	అంతేనా? తను ఇంటికి వెళలిపోయిందా?
हम तक मैसेज पहुँचाने में सफल होता है, वह भी और किसी के नहीं, आतंकवाद-विरोधी विभाग के जरिए?	కౌంటర టెరరరిజమ దవారా మనకి మెసేజ అందించగలిగారు అంటే నమమగలమా?
यहाँ कडी सुरकषा लगाई गई है. सब ठीक है.	ఇకకడ సెకయూరిటీ చాలా గటటిగా ఉంటుంది. ఎలాంటి పొరపాటలు జరగవు.
कयोंकि किसी वजह से, वाईफाई बंद था.	కానీ, ఏదో కారణం వలల ఆ విమానంలో వె-ఫె పని చేయడం లేదు.
आठ. नहले के ऊपर अटठी रख सकते हो.	ఎనిమిది. తొమమిది మీద వేయడానికి నీకు ఎనిమిది ఉంది.
माफ करना, मुझे नीला से मिलना है.	ఎకస కయూజ మీ, నేను నీలాని కలుసుకోవాలి అనుకుంటుననా.
दिशा में थोडा बदलाव है, नहीं?	అది దారి తపపడం, కదా?
तुम इसका जवाब दे सकती हो ना?	దానికి నువవు జవాబు చెపపగలవు, చెపపగలవా?
{\an8}गंतवय तक पहुँचने का समय पाँच घंटे बीस मिनट	{\an8}గమయానికి చేరే సమయం 05: 20
चलती रहो.	ముందుకు కదులు.
किंगडम 2-9, उसका यहाँ पहुँचने का समय कया है?	కింగడమ 2-9, దాని వేళలు ఏంటి?
साइमन, अगर मैं "पाँच" कह रही हूँ, तो मेरा मतलब पाँच ही है. मैं तुमसे झूठ नहीं बोलूँगी.	సెమన, నేను "ఐదు" అంటే, నా ఉదదేశం ఐదు అనే. నేను నీకు అబదధం చెపపను.
यह बहुत जरूरी है. मैं बगदाद कंटरोल से बोल रहा हूँ. हमें अपनी पहचान बताइए.	అరజెంట. ఇది బాగదాద కంటరోల. మాకు నిరధారణ అవసరం.
अचछा, तो, मैं विमान से कह देता हूँ कि जब तक तुम काम पर	సరే, అయితే, నువవు పనిలోకి వచచేవరకూ
तुम. चेहरा सामने.	నువవు. ఎదురుగా చూసతూ కూరచో.
लेकिन सहयोगी पायलट कहाँ थे?	మరి కోపెలెట ఎకకడ?
मेरी समझ में नहीं आ रहा है.	నాకు అరథం కాలేదు.
नीचे!	కిందికి!
बाकी काम ऑटोपायलट से हो जाता है.	మిగతాదంతా ఆటో పెలెట.
नीला यहाँ सबसे माहिर है.	నీలా సమరథురాలు.
बाईस, दो, 1970.	ఇరవె రెండు, రెండు, 1970.
बगदाद, मैं किंगडम 2-9 से बोल रही हूँ.	బాగదాద, ఇది కింగడమ 2-9.
यह चाहता है कि उनहें पता चल जाए कि कुछ गडबड है	విమానంలో ఏదో పొరపాటు జరుగుతోంది గరౌండ సిబబందికి తెలియాలని అతను ఆశిసతుననాడు
इनसे पूछो कि कया वह गोली की आवाज थी.	అది గన ఏమో ఆమెని అడుగు.
पायलट खतरा बन सकता है	పెలెట ఒక సమసయ
देखो, मुझे लगता है तुम मेरी बात समझ रहे हो.	చూడు, నేనేం చెబుతుననానో నీకు అరథమవుతోంది అనుకుంటా.
और?	ఇంకా?
तुमहें पकका यकीन है?	అది నిజమేనా?
यह बडी कामयाबी है.	అది మీ విజయానని పరతిఫలిసతోంది.
ठीक है? हमें मजबूर मत करो कि हम इनसे यह करवाएँ.	సరేనా? మమమలని ఇలా చేయనివవకు.
कया पता चला, हाइडी?	నాకు ఏం సమాచారం చెబుతావు, హయిదీ?
तो, डैड ठीक हैं?	అయితే, నానన కషేమంగా ఉననాడా?
जरा रुकिए.	కాసత ఓపికతో ఉండు.
मैं इन लोगों में से किसी को नहीं जानता, पर अगर इनहोंने कुछ करने की	నాకు వీళలలో ఒకకరు కూడా తెలియదు, కానీ వాళలు మిమమలని ఏదెనా చేయాలని పరయతనిసతే,
ठीक है. दोबारा कहती हूँ, हाँ,	సరే. మళలీ, అవును,
मुसीबत.	ఒక పరిసథితి.
सैम ठीक है.	సామ కషేమంగా ఉననాడు.
हम सफाईकरमी हैं, दोसत.	మేము శుభరం చేసేవాళలం, మితరమా.
इसका काम होते ही, इसे वापस इसकी सीट पर ले जाना.	అతను ఇది పూరతి చేశాక, తనని తిరిగి ఆ సీటలో కూరచోపెటటండి.
ठीक है.	సరే.
ठीक है.	సరే.
कया हुआ?	బాగానే ఉననావా?
ठीक है.	సరే.
मैं कहता हूँ बैठ जाओ!	ముందు కూరచో!
चलो.	ఇంక రా.
माफ कीजिए, बगदाद. हम यहीं हैं.	కషమాపణలు, బాగదాద. మేము ఇకకడే ఉననాం.
मेरी फलाइट नौ बजकर बारह मिनट पर उडेगी	నా టేకాఫ 9. 12 గంటలకి
2डी: तब कया होगा?	2డి: మరి అపపుడు ఏం జరుగుతుంది?
संदिगध. - संदिगध?	- అనుమానాసపదం. - అనుమానాసపదమా?
हे. इसके लिए कुछ देना.	హేయ. ఈ దెబబకి ఏదెనా కటటడానికి తీసుకురా.
इसे खोलो.	దీనని ఓపెన చేయి.
कया मैं उनकी फुटेज देख सकता हूँ?	నేను ఫుటేజ చూడచచా?
वे फाइटर जेट भेज देंगे, और अगर उनहोंने ऐसा किया. . .	వాళలు వెంటనే జెట విమానాలని పంపిసతారు, కానీ అదే గనుక జరిగితే. . .
आतंकवाद-विरोधी विभाग ने फोन किया था. विमान पर मुसीबत की शंका थी.	కౌంటర టెరరరిజమ వాళలు ఫోన చేశారు. విమానంలో ఏదో పరిసథితి తలెతతిందని అనుమానం ఉంది.
माफ करना?	సారీ?
शुकरिया. सच में.	థాంకస. మనసఫూరతిగా చెపతుననాను.
हमें लगता है आज सुबह उडान भरने वाली एक फलाइट में	ఈ ఉదయం టేకాఫ అయిన విమానంలో
उस 9/11 की घटना से पहले, विमान अकसर तय रासतों से अलग रासता ले लिया करते थे.	అమెరికాలో 9/11 జరగకముందు, విమానాలు దారి మళలి పరయాణించేవి.
सेनिल को फोन किया जा रहा है. . .	సెనిల కాలింగ. . .
ठीक है, चलो.	సరే, ఇపపుడు ఇది విందాం.
तो वह हमें कहीं भी ले जा सकता है.	కాబటటి అతను మనలని ఎకకడికెనా తీసుకువెళలచచు.
उनकी आवाज से कुछ नहीं पता चलता.	ఏమీ తెలుసుకోలేం.
तो?	అయితే?
कि यह लंदन जाने के लिए है.	అది లండన అని.
अभी पता लगाता हूँ.	నీ గురించి కనుకకుందామని చేశాను.
या मैसेज पर.	లేదా మెసేజులు పంపుకుందాం.
कुरसी की पेटी लगाओ.	సీట బెలట.
वह गलत हुआ तो?	అతను చెపపింది తపపు కావచచు కదా?
वैसे भी उसकी वहाँ अंदर कोई जरूरत नहीं है.	అతను అకకడ ఉండనవసరం లేదు.
तो वे हमें मार गिराएँगे.	వాళలు మన విమానానని పేలచేసతారు.
और अपेंडिकस सिरफ एक ही बार निकल सकता है, यह बात भी सच है.	అపెండికస ఆపరేషన కేవలం ఒకకసారి మాతరమే జరుగుతుంది, కాబటటి దానని ఎదురకొందాం.
पूछो कि कया वह गोली की आवाज थी.	అది గన ఏమో అడుగు.
बरफ.	ఐస కావాలి.
मुझे माफ करना.	సారీ.
मतलब, यह वाकई अजीब है, तुमहें नहीं लगता?	నా ఉదదేశం, ఇదంతా చాలా విచితరంగా ఉంది, నీకు అలా అనిపించడం లేదా?
तुमहें लगता है अगर वह सब कुछ. . .	ఎవరెనా ఆ పరేమని వదిలి వెళలిపోయిన వాళల గురించి ఆలోచిసతుననావా. . .
धत तेरे की.	ఛ.
नीला कुमार मोबाइल पर फोन किया जा रहा है. . .	నీలా కుమార కాలింగ మొబెల. . .
वैसा होता तो रासता इतना सीधा नहीं होता.	ఇది మరీ నేరుగా ఉనన రేఖ.
ठीक है.	సరే.
