रॉबिन!	రాబిన!
वे मेरे हाथ-पैर काट देते हैं और वे दोबारा	వాళళు నా అవయవాలు నరికి వాటిని తిరిగి మొలిపిసతారు, నేను తీసుకురాలేను
आप चाहते हैं कि चीन को इसका पता चले?	చెనా తెలుసుకోవాలంటావా?
इंसानों की तसकरी नहीं?	మానవ రవాణా కాదు కదా? దేవుడా, ఫరెంచీ.
-तुम आखिरी बार कब सोए थे?	-నువవు నిదరపోయి ఎంత కాలమెంది? -తల కిందకు.
-उनहोंने मुझे नहीं बताया.	-వాళళు నాకు అది చెపపలేదు. -నువవు అడగలేదు.
पर मुझे अहसास हुआ	కానీ నాకు అనిపించింది ఏంటంటే
मैं. . . मैं कया?	నా సంగతి. . . నా సంగతి ఏంటా?
अगर होमलैंडर को पता चल गया कि उसकी	హోంలాండరకు ఆమె నీతో మాటలాడుతుందని తెలిసతే, ఆమె పని అంతే.
हयूई, ऐसा लगा कि तुम	హయూయీ, నువవు నీ పరతయరథి గొంతులోకి
उसके बाद, हम कोई परजातीय, या कोई	ఆ తరువాత మనం ఒక జాతి, లేదా మహిళ, లేదా అదృషటం బాగుంటే,
बिलकुल, तुमहें पता है कि वॉट में	ఖచచితంగా, వాటలో నువవు అందరికీ ఎంత ముఖయమో నీకు తెలుసు.
सुनो.	హే.
धत.	అబబా.
धत!	అబబా!
यह साली दुनिया नहीं.	పరపంచం కాదు.
कया कहेंगे, कोई गुमनाम खबर मिली है?	ఏంటి, అనామక సమాచారమా?
बस.	అంతే.
तुमसे अचछा ईसा कोई था ही नहीं.	ఏసుగా నువవే ఉతతమం.
धत!	అబబా!
मैं ही वॉट हूँ.	నేనే వాట.
और तुम कभी हमारे दिलों से	మీరు మా హృదయాల నుండి ఎననటికీ కనుమరుగు కారు
कि मैं वह इंसान हो सकता हूँ जिसके बारे में	ఎవరూ అదభుతం అనుకోని వయకతి
मेरी तरह कोई अपने हाथ में	నాలాగా ఎవరూ తమ చేతిలో మేకు తీయలేకపోయేవారు.
हाँ, किसी बचचे से यह कहना	అవును, అది పిలలలకు గందరగోళం విషయం చెపపడమే.
और मैं देखूँगी कि मुझसे कया हो पाएगा.	నేనేం చేయగలనో చూసతాను.
जिसके बारे में हम अपने शेयरहोलडरों से	కటటుకథ కాదు, వాసతవ కథ.
-कया चाहते हो, आरा चलाऊँ या काटूँ या. . .	-దీనిని రంపంతో కోయాలా, లేదా నరకాలా లేదా -నీకెలా ఇషటం అయితే అలా, టెగర.
हाँ, बाइबल शिविर के	బెబుల కయాంప పటిక కోసం ఏదెనా సరే.
तुमहें 67वीं मंजिल वाली परयोगशालाओं से	నువవు 67లోని పరయోగశాలలలోకి వెళళి కాంపౌండ వీ నమూనాను దొంగలించాలి.
वह तुमहारी वजह से नहीं मरी.	నీవలల చనిపోలేదు.
इनके बराबर रहकर उडने पर	మాకు వారితో కలిసి పనిచేయడం గరవంగా ఉంది.
कया बताऊँ?	ఆమెకు ఏం చెపపాలి?
तो जब देखो, औरतों को नीचा कयों दिखाते हो?	మహిళలను కించపరుసతుననావు?
-पुलिस ने यह देखा है?	-పోలీసులు ఇది చూశారా? -ఎవరూ చూడలేదు.
हाँ, मेव. हमारे नए अभियान	అవును, మేవ. మన కొతత పరచారం, అమెరికా రకషణతో.
मैंने उसे हर रोज झेला है.	నేనలాంటి సథితిని పరతి ఒకక రోజూ అనుభవించాను.
कि तुमहें इस बात की गलतफहमी है	నువవు మమమలని ఒక సూపరహీరో సంసథగా తపపుగా భావిసతుననావు.
किसी परजातीय महिला को द डीप की जगह	ఒక జాతి మహిళను డీప సథానంలోకి కనుగొనగలం, ఇక అంతా బాగుంటుంది.
-हे भगवान, तुमहें फोन नहीं करना चाहिए.	-దేవుడా, నువవు ఫోన చేయకూడదు. -వాడిపడేసే ఫోన వాడుతుననాను, ఫరవాలేదు.
संदिगध कातिल अब भी फरार	పరారీలో ఉనన అనుమానిత హంతకుడు బిలలీ బుచర?
मैडलिन सटिलवेल को मार डाला.	30 పౌండల కంటే ఎకకువ సీ 4ను ఉపయోగించి హతమారచాడు.
उस कमीने की तसकरी के लिए, उनहें	ఈ వెధవ రవాణాకు గురతింపులేని ఖాతా నుండి డబబు జమ చేశారు.
वॉट की ओर से इस पतझड में	ఈ శిశిరంలో వాట అందిసతుంది, సిటిజన సటారలెట.
. . . उसका परिवार, दोसत, परशंसक,	. . . తన మితరులు, అభిమానులు ఇంకా వాట సహచరుల మధయ జరిగాయి.
चार-सौ.	400.
इनहोंने वादा किया था	వాళళు కేవలం తుపాకులు, కొకెయిన, ఇంకా
हाथ उठाएँगे?	చేతులు ఎతతి చూపుతారా?
कॉफी पिलाऊँ?	నీకు కాఫీ తీసుకురానా?
वाह.	మంచిది.
जिसे तुम जैसी इंसानी औलाद ने	అందులో నువవు అడవిలోకి వదిలేసిన ఒక పెదద పిలలాడివి.
रचनातमक परयवेकषक	కరియేటివ సూపరవెజర రాజేశ వలవల
अगर वे हमें फौज में शामिल कर लें,	వాళళు మనలని మిలటరీలో చేరచుకుంటే, ఇలా ఎననటికీ జరిగేది కాదు.
हमें उनहें वापस लाना होगा.	మనం వారికోసం తిరిగి వెళళాలి. ఇది ఎపపటికీ ఆగదు.
"मेरे बेटे, मैवरिक से कहना	"నా కొడుకు మావరికకు నాకు తనంటే పరేమని చెపపు. "
जैसे तो होमलैंडर और मेव	హోంలాండర, మేవ సిదధంగా ఉనన ఏదో భోజనం తిని,
जिन पर वह कंपाउंड वी की	పరీకషించేందుకు మానవ శరీరాలు సరఫరా చేశారు,
हाँ, चाहते हो.	అవును. నీకు కలవాలని ఉంది.
इसलिए, मैवरिक, मैं तुमसे कहता हूँ,	అందుకే, మావరిక ఇంకా
इससे पहले	గతంలో
अचछा?	నిజంగానా?
हे भगवान!	అబబా!
हैलो.	సరే, హలో.
माफ करना?	ఏంటి?
तो, अचानक से यह सब होता है	అయితే, మరో సంఘటన జరిగితే, మనందరం నాశనం అవుతాము.
सच में, तुम न होते तो	నిజంగా, నువవు లేకుండా మేము ఏమయిపోతామో.
अचछा, आराम से, दोसतो.	సరే, ఏం ఫరవాలేదు, పిలలలు. ఏం ఫరవాలేదు.
और वॉट को जलाकर राख कर देंगे.	వాటను పేలచేదదాం.
मिसाल के तौर पर,	ఆ అమమాయిని నియమించడం లాంటివి.
तो हम पर लागू कयों हो?	అది మనకెందుకు వరతింపచేయాలో తెలియడం లేదు.
आज, हम द सेवेन के एक सदसय का	ఈ రోజుకు, సంతాపం పలుకుదాం మన మరణించిన సెవెన సభయుడు,
कि शायद वॉट ने ही	వాట చంపించి ఉంటుందని అంటుననామా?
वही सीआईए, जो हम पर	మన వృషణాలకు ఏవో వెరలను పెటటాలనుకునన
अचछा, तो मुझे ठीक से	సరే, అయితే, నాకు ఇతని వివరాలు ఇవవండి.
इबीजा के कलब मेड में.	ఇబిజాలోని కలబ మెడలో. అది అదభుతంగా ఉంది.
एम. एम,	ఎం. ఎం. విను,
होमलैंडर ने मेरी पतनी,	హోంలయాండర నా భారయ బెకకాను మానభంగం చేశాడు.
"डेविलस बरेथ" कडी में, यह फौजी,	డెవిలస బరెత ఎపిసోడ నుండి హోటల కలరక నంబర టూగా గురతిసతారేమో.
अपनी पतनी और बचचे के पास	నేను నా భారయాపిలలల దగగరకు వెళళాలనుకుంటుననాను.
मैं सिरफ परयोग के काम आता हूँ.	పరయోగశాల ఎలుకను.
तुमहें निकाला जा सकता है,	నువవు ఉపేకషించబడవు, అంటే, నువవు నాకు జవాబుదారీ.
मैं कहता रहता हूँ	"సూపర విలన" మంచి పదం అనే అంటాను.
सपलैश जोन	సలపాష జోన సాండసకీ
दरअसल, बाजू, पलीज.	నిజానికి, దయచేసి చేతులు నరుకుతాను.
मैं बस, दोबारा इस झमेले में	ననను తిరిగి ఈ రొంపిలోకి లాగకూడదనుకుంటుననాను, సరేనా?
आप बताइए.	నాకు తెలియచేయండి.
और कहीं कुछ कमी थी,	ఏదో ముకక లేదు, నాకది పిచచెకకిసతుంది,
अगर मैं ऐसा करूँ तो कया होगा?	ఏం జరుగుతుంది ఒకవేళ, నాకు తెలియదు, నేను కనుక ఇలా చేసతే?
तुम यहीं रह सकते हो,	నువవు ఇకకడే ఫరెంచీ వీధి మితరులతో ఉండు.
तुमहारी बेटी ने शायद	నీ కూతురు సాకర పరారంభించింది అనుకుంటా.
एक हजार जयादा दोगे तो	మరో వెయయి డాలరలకు మరమాంగానని నరకనిసతాను.
हमारे आधे हीरो को भी यह नहीं पता	మన హీరోలలో సగం మందికి వారి నరనరాలలో కాంపౌండ వీ ఉందని తెలియదు.
टरांसलूसेंट	టరానసలూసెంట 1980-2020
मैं वॉट टावर में ही काम करता हूँ,	నీకు తెలుసా, నేను వాట టవరలో 67వ అంతసతులో పరయోగశాలలో పనిచేసతాను.
मतलब, यह नामुमकिन है.	అది అసాధయం.
-बरनर फोन इसतेमाल किए थे.	-మేము వాడిపడేసే ఫోనలు వాడాము. -నీకరథం కావడంలేదు.
सुनो, अगर हमने	మనం సీఐఏ మహిళకు సాయం చేసతే,
संवाद अनुवादक परवीन कौर शोम	అనువాద కరత సమత
नयू यॉरक के इकरारनामे के लिए,	అది మన నయూయారక ఒపపందానికి పరామాణిక భాష. ఎలఏ, షికాగో. . .
अब, मुझे लगता है कि तुमहें	ఇపపుడు, నువవు టెక నెట లివస పరీమియరకు వెళళాలనుకుంటా?
टरांसलूसेंट का करियाकरम	టరానసలూసెంట అంతయకరియలు హోంలాండర, సటారలెట హాజరు
हमें डरने की कोई जरूरत नहीं.	మనకు ఫరవాలేదు.
टरांसलूसेंट वाला फरैंचाइज	టరానసలూసెంట ఫరాంచెజ, ముఖయంగా ఇనవిజిబుల ఫోరస 2. . .
रुक जाओ.	ఆగు.
जब करोगर में	కరోగరలో బందీగా ఉననపపుడు.
अरे, नहीं.	అబబా.
अचछा, शुरू से.	సరే, తిరిగి మొదటి సథానంలోకి.
वाह.	బాగుంది.
वाह.	బాగుంది.
मतलब?	అంటే ఏంటి?
माफ कीजिए?	ఏంటి?
उनहोंने मयूनिख से	అతని మయూనిచ నుండి డాకటరేట పొందారు.
तुमसे सलाह लेने की	నేను నినను సంపరదించాలసిన అవసరం లేదు.
तुमहारे पोसटर हर जगह देखता हूँ.	నీ పోసటరలు అంతటా చూశాను. వాళళు నీ నుండి వయాపారం చేసుకుంటుననారు.
डिपटी डायरेकटर, मुझे पता है	డిపయూటీ డెరెకటర, అడిగేందుకు ఇది సరెన సమయం కాదని తెలుసు,
हर साल सुपरहीरो के चलते	పరతి ఏడు సూపస వందలమందిని అనివారయంగా నషటపోతుంది.
आप ओवल ऑफिस में घुसकर	ఓవల కారయాలయానికి వెళళి, అదేశాలను రుదదుతారా?
पर इसका यह मतलब नहीं	కానీ దాని అరథం ఇకపె బలులు కొనసాగవని కాదు.
जब जबरदसत कान हों तो	మనకు సూపర చెవులుంటే సూపర కళళు అవసరం లేదు.
द सेवेन का वह सदसय	ద సెవెనలో భినన సామరథయం కలిగిన సభయుడు.
ढंग के पासपोरट	మంచి పాసపోరటులు చవకగా రావుగా?
कि '39 में, हिटलर ने उनहें	1939లో హిటలర డాకావలో తన ముఖయవెదయుడిగా నియమించుకుననారు,
आखिरी बार बता रहा हूँ,	చివరిసారిగా చెబుతుననాను, మనకు బుచర అవసరం లేదు.
पर बाद में पता चलता है	చివరకు అదభుతమెనవాడు అవుతాడు, నేను అలా ఉండవచచు.
कयों नहीं?	ఎందుకు సంపరదించకూడదు?
कुछ देर से तो नहीं, पर, हाँ,	కొంత కాలంగా తెలియదు, కానీ, కేపస ఫర కరెసటలో ఉననపపుడు తెలుసు.
मुझे लगता है. . .	అది. . .
शौचालय के लिए माफ करना,	బాతరూం విషయంలో మననించాలి. నేను అది శుభరం చేసతాను.
बिलकुल, वे बस चाहते थे	కేవలం, వాళళు నేను మిమమలని కలవాలని అనుకుననారంతే.
आपने कह दिया,	అదంతా నేను మీ నుండే పొందాను.
तुमहें ऐसा कयों लगा कि मैं	ఒక వికలాంగుడిని ద సెవెనలోకి అనుమతిసతానని ఎలా అనుకుననావు?
पर इसका यह मतलब नहीं कि उस डर का	కానీ దానరథం వాట మనలని నియంతరించేందుకు ఆ భయానని ఉపయోగించుకోవచచని కాదు.
इस साल के अंत में	నా ఒపపందం, ఈ ఏడాది చివరలో ముగుసతుంది.
-यह कौन है?	-అమె ఎవరు? -సూప ఉగరవాది.
-हमें उसकी जरूरत नहीं.	-మనకు అతని అవసరం లేదు. -ఏ-టీంకు హానిబల ఉండేవాడు.
यह तो बडी मजेदार बात है.	పవితరమెనది.
मैं बस थोडा समय लेकर, इसे ठीक से	మనం కాసత సమయం తీసుకోవాలని అనుకుననాను, అంటే, ఇది సరిగా చేయడానికి. అంతే.
वॉट ने उसका फोन	వాట ఆమె ఫోనను బాగా టయాప చేసతుంది,
चल रहा है.	మనం అకకడ గడపబోతుననాము.
हर फोन, ईमेल, समूह चरचा,	పరతి కాల, ఈమెయిల, గరూప చాట, ఒకవేళ ఒక బలబు వెలగకపోయినా
ताकि तुम और तुमहारे दोसत	కాంపౌండ వీను పరపంచ వయాపతంగా ఉనన ఉగరవాదులకు అందించారు,
और झूठ नहीं बोलोगी.	ఇక అబదదాలు చాలు. నువవు నాకు పరమాణం చేశావు.
भगवान के लिए, ऐशली,	దయచేసి, ఆషలీ, అతనివెపు చూడకు, నావెపు చూడు.
यही कि भगवान की नजर	పరతి కషణం దేవుడు మనలని గమనిసతూ ఉంటాడు అని.
तुम मुझे वह हर बात बताओगी	నువవు 99వ అంతసతులో ఏం జరుగుతుందో అంతా నాకు తెలియచేసతావు,
हाँ.	ఫరవాలేదు.
सिटिजन सटारलाइट में	చటట అమలుదారులకు ఒక అతయంత శకతివంతమెన మారపును
-मुझे इससे नफरत है.	-నాకది నచచలేదు. -అది చాలా శకతివంతమెన సపందన,
-कयों? कया हुआ?	-ఎందుకు? ఏం జరిగింది? -ఏం జరగలేదు.
कया लगता है, यह सुनकर,	మీ షేరహోలడరలు దాని గురించి ఏమనుకుంటారని భావిసతారు?
हम साथ हैं.	మనం ఇది కలిసి చేసతుననాము.
पर शायद पूरी कंपनी को	కానీ బహుశా సంసథ మొతతానని నాశనం చేసే మూలయంతోనేమో.
कि एफडीए को अब	ఇపపుడు తెలియడం నేను అభినందించను.
यह देखकर अचछा लगा	నువవు సౌకరయంగా ఉండటం చూసి ఆనందంగా ఉంది.
जाँच चुके थे.	అచరణీయ అనువరతనాలు పరీకషించారు.
वह एक अभिनेता है	అతను నాకు నితయం అబదధాలు చెపపని నటుడు.
जो खाली वकत में,	ఒక పరపీడన మరియు సవపీడన రతి వయభిచారిగా
मैडलिन भी ऐसी हरकत करने की	మాడలిన కూడా ఇలాంటి చెతతను లాగే పరయతనం చేసే సాహసం చేసేదనుకోను.
कलारकसन एवेनयू	కలారకసన అవెనయూ హెతియన కింగస ఫరెవర
वहाँ तक पहुँच नहीं पाएँगे.	వృథా పరయాస.
सन '44 की शुरुआत में,	1944 పరారంభంలో, అయనకు పరిసథితులు మారవచచనిపించింది.
देखो, फरेंची,	ఫరెంచీ, నీ సాయం కావాలి, మితరమా.
शायद हम सब, एकसाथ,	బహుశా మనం ఉండిపోవచచు, మనమందరం, మీ అమమ ఒళళో.
तुमने दुनिया भर के	మీరు, మీ సహచరులు జాతీయరకషణలో భాగం కావడానికి
हम बंदोबसत कर सकते हैं.	మనం కొంచెం దొరకబటటవచచు. ఎవరో ఒకరు అందుకు సహాయం చేసతారు.
मैं पूरी कोशिश करूँगी	మిస సటిలవెల కారయాలను నేను చేయగలిగినంత బాగా చేసతాను.
यह सच नहीं है.	ఇది నిజం కాదు. నాకు ఇదేమీ తెలియదు.
काफी भारी-भरकम है.	అవి చాలా పదాలు. మనకు ఆకటటుకునే ఊతపదం కావాలి.
जूस लोगे?	నువవు ఫరెసకా తాగుతావా?
तुमहें सावधान रहना होगा,	నువవు చాలా జాగరతతగా ఉండాలి, నీకు హాని కలగడం నాకు ఇషటం లేదు.
उसके बाद उसे गिरफतार करके,	అతనిని అరెసట చేసి సాండసకీ పరభుతవ కారావాస కేందరానికి తీసుకెళళారు,
जहाँ कुछ देर बाद,	కొదదిసేపటికే అతనిని బెయిలపె విడుదల చేశారు.
इसे देखकर मन करता है कि	అది ననను తలుపు మూసి మంచం కింద దాకకునేలా చేసతుంది, తెలుసా?
वह सडक पर नहीं थी,	ఆమె విధిలో లేదు, కాలిబాటకు అడుగు దూరంలో ఉంది.
जिसे बेरहमी से	మహా ఉగరవాది ముఠా, ఎల డియాబలో చేతిలో
और इस महान देश के सभी बेटों और	ఈ గొపప దేశం యొకక కుమారులు, కుమారతెలకు చెబుతుననాను, నేను వారిని అడడుకుంటాను.
चलो.	రా వెళదాం.
हाँ.	అరథమయింది.
हैलो, यार.	హేయ.
मैंने तीर चलाए,	నా బాణాలు సంధించాను, గురి సరిగగా ఉంది.
मेरी तलाश चल रही है और	నేను పరారీలో ఉననాను, నువవు మహా పరముఖురాలివి, అందుకే. . .
असपताल. अनुवाद करो, फरेंची.	ఆసుపతరి. అనువదించి చెపపు, ఫరెంచీ. అతనిని ఆసుపతరికి తీసుకెళళమని చెపపు.
आपको टाको	మీరు టాకోస తినడం మంచిది
कसम से.	దేవుడి మీద పరమాణం.
हाँ, जरूर, वह बात	అవును, తపపకుండా, అది మేయరకు నేరుగా అందుతుంది.
-तुमने उसे फोन किया?	-ఆమెకు ఫోన చేశావా? -లేదు. నేనంత మూరఖుడిని కాను సరేనా?
साथ ही, आपको याद आएगा	ఇంకా, మీరు సెనిక బాలుడిని కరిమినల మెండస, బియాండ బారడరసలో
-निकलो यहाँ से!	-మనం ఇకకడినుండి వెళళిపోదాం! -అయయో! అయయో!
तुम चाहते हो कि	సటారమఫరంట విషయంలో నినను సంపరదించాలంటావా?
तो, तुम लोगों को	అయితే పీఆర వాళళు మిమమలని ఒక చోట చేరచారా లేక
-कहाँ गए हैं?	-ఏం ఎదురకుననారు? -కలిషట పరిసథితులు.
यह मुझे ठीक लगता है.	అది నాకు బాగానే ఉంది. చాలా ఉతతేజకరంగా, విలకషణంగా ఉంది.
-पर कया आपको. . .	-కానీ మీరెపపుడెనా -నీ కుటుంబం గురించి విననావా?
मैं हमेशा से	నేనెపపుడూ సెవెనలో ఉండాలనుకుననాను.
मानो 2003 ने फोन करके कहा	ఇది 2003 లాగా ఉంది, వాళళు వాళళ కారయాలయం తిరిగి కోరుకుంటుననారు, తెలుసా?
-यह कौन है?	-అతనెవరు? -ఇతను హయూయీ కయాంపబెల.
आप हमें जानते हैं,	మేము ఎవరో మీకు తెలుసు, కానీ మన మరో హీరోను కలుదదాము.
तब तक डॉ. वॉट	డాకటర వాట అపపటికే కషేతరంలో కాంపౌండ వీ
या फिर यह आदमी	లేదా ఇతను, అతని అసలు గురతుంపు తెలియలేదు,
तुमहें लगता है	అతను మాడలిన సటిలవెలను చంపాడనుకుంటుననావా?
कोई और नहीं है.	ఇంకెవరూ లేరు. మనలని రకషించడానికి ఎవరూ రారు.
जब असल में लडाई होगी,	వాళళు అసలెన పోరాటం చేసతుననపపుడు, మన హిరోలు ఎవరికి నివేదించాలి?
मतलब यह कि मैं	అంటే నేను ఈ చికకుముడిని కలపాలని పరయతనిసతే,
कल, द डीप को	నినన, ఒహాయోలోని సాండసకీలో సలపాష జోనలో
और उसके लिए	దానికి ఎపపటికీ నీపె గౌరవం ఉంటుంది.
सतरह किलोमीटर दूर,	సురకషితంగా 17 కి. మీ. ల దూరంలో పెరటిలో ఎందుకు దొరికింది?
एक बात कहूँ?	ఏంటో తెలుసా? ఇది చేయగలమేమో పరిశీలించి,
और यहाँ पर	వాళళు నా చిపను కనీసం కనుగొనలేరు.
आरपीजी बेचूँगा,	నేను ఆరపీజీలు అమముతాను, కలషనికోవలు దొంగిలిసతాను,
संसद सदसय नयूमन	కాంగరెస మహిళ నూమాన సూప ఉగరవాదులపె మాటలాడుతుననారు
कुछ वकत के लिए,	నినను కొంత కాలం ఒహాయోలోని సాండసకీలో ఉంచబోతుననాము.
और अपने अजीज,	ఇంకా పరియాతి పరియమెన సనేహితుడికోసం చేసతాను.
-मैं ठीक हूँ.	-నేను బాగుననాను. -ఇది సురకషితమెన చోటు, డీప.
-नहीं, शुकरिया.	-వదదు, ధనయవాదాలు. -నినను తిరిగి సెవెనలో చేరుసతాను.
सुपरहीरो को	జాతీయ రకషణలో సూపసను ఎవరూ పెటటడం లేదు.
-माफ करना.	-కషమించు. -విషయానికి సూటిగా వదదాం.
नहीं, दरअसल,	లేదు, నిజానికి థెరపీలు చాలా వినాశకరమెనవి.
हाँ, हैलो.	మనం ఇపపుడు చితరీకరిసతుననామా, ఏమండీ.
डॉन ऑफ द सेवेन	డాన ఆఫ ద సెవెన ఈ 2021 వేసవిలో మీ థియేటరలలో మాతరమే
-हाँ?	-ఫరవాలేదా? -అవును.
हैलो, दोसत.	హే.
-तुम आ गई.	-నువవు వచచావు. -నేను సూపర హీరోను కదా.
हटो.	జరగండి, జరగండి.
अरे!	నువవు చెపపలేదు.
शायद वह तुमहें	ఆమె నీకు సాయపడగలదు, నినను నీ కుటుంబం దగగరకు చేరచవచచు.
मानो उसे पता था	ఏదో జరగబోతుందని అతనికి దాదాపుగా తెలిసినటటుగా, అతను అననాడు,
-मुझे पसंद था.	-నాకు ఇది నచచింది. -అవును, నాకు కూడా, అది నిజంగా బాగుంది.
डेसटिनेशनस	డెసటినేషనస సవయం పునరుదధరణ యొకక కొతత శాసతరం
एक-दो दिन में	అతను మనకు కాంపౌండ వీ తెచచిసతుననాడు, ఒకటి రెండు రోజులలో.
और यह वाला?	ఇది ఎలా ఉంది? ఇది మీకు ఎలా అనిపిసతుంది? ఎవరెనా?
-अचछा?	-నీకు తెలుసా? -అవును, అంటే,
जरा साँस लो,	కొంత సమయం ఆగు, ఇది చేయడానికి ఏది ఉతతమ మారగమో కనుగొందాం.
कई दिनों से	నువవు కొనని రోజులుగా నా పని పటటాలననటటే తిరుగుతుననావు,
हम थोडा	మనకు కొంచెం కాంపౌండ వీ దొరకబోతుంది.
-नमसते.	-శుభోదయం. -మి. ఎడగర, కషమించండి, నేను--
मुझे भी	నాకూ మహా ఉగరవాదుల గురించి ఆందోళనగా ఉంది.
माँ	అమమా దయచేసి నాకు కాల చేయ.
अब से,	ఇపపటినుండీ, నేను నా సొంత ఎజెండాను రూపొందించుకుంటాను,
