लिजी?	లిజీ?
पता है, मेरा मन इसे पूरी तरह रदद कर देने का हो रहा है.	నేను ఆ పనులు చేసే విషయంలో ఆలోచిసతుననాను.
बरिटिश विमान, बरिटिश यातरी. निशाने पर हम हैं, वे नहीं.	బరిటీష విమానం, బరిటీష పరయాణికులు. మనమే వాళల లకషయం, వేరే దేశాల వాళలు కాదు.
-एक एकस. -एक एकस,	- ఇది ఒక ఎకస. - ఒక ఎకస,
जिसका मतलब है यह एक निजी, अपंजीकृत	దాని అరథం ఇది పరెవేటు, రిజిసటర కాని విమానం అని
मुझे डीसीआई गफूर से मिलना है.	నేను డిసిఐ గాఫూర ని కలవడానికి వచచాను.
ठीक है. . . कया यह "माँ" के नाम से है?	సరే. . . ఇది "అమమ" అని ఉందా?
- कया वह मेरी मदद कर सकता है? - नहीं.	- నాకు సాయం చేయగలవా? - లేదు.
और ये वे लोग हैं जिनका मेल उनके पासपोरट से नहीं होता?	అయితే వీళల పాస పోరటులు మయాచ కావడం లేదా?
यकीन नहीं होता.	అసామానయుడు.
बाकी सब कुछ झूठ है.	అది తపప మిగతావననీ అబదధాలే.
यह वहीं बैठेगा और अपना मुँह बंद रखेगा!	అతను అకకడే కూరచుంటాడు, ఇంకా తన నోరు మూసుకుని ఉంటాడు!
बेटीना, ह. . . लेकिन यह मेरे हाथ में नहीं है.	బెటీనా, సరే. . . కానీ ఇది నా ఉదయోగ హోదాకి మించిన పని, చూడు.
वे लोग जो तुमसे पयार करते हैं?	నినను పరేమించే మనుషులు?
-यह उसी का फैसला है. -कयों?	- అది అతను తీసుకునన నిరణయం. - ఎందుకు?
-और तुम उनसे मिलना चाहते हो. -एलेन.	- ఇంకా ఆమెని నువవు చూడాలి అనుకుంటుననావు. - ఎలెన.
कोई फरक नहीं पडता तुम कौन हो.	నువవు ఎవరెనా సరే నేను పటటించుకోను.
मैं पानी लेकर आती हूँ.	మంచినీళలు తెసతా.
आगे बढो.	ఇంకా చెపపు.
हमने तुमसे कया कहा था?	మీకు ఏం చెపపాము?
ऐसा कुछ मत कहना जिससे वह परेशान हों. ठीक है?	ఆమె కంగారుపడకుండా చూదదాం. సరేనా?
एलिस. वह नियंतरक जिसने सबसे पहले इसका संकेत दिया.	ఆలిస. ఈ సమసయని మొదటగా గురతించిన కంటరోలర.
कयोंकि इस समय यह बडी समसया है?	అది ఇపపుడు అవసరం అంటావా?
पता नहीं कया हो रहा है.	ఏం జరుగుతోందో నాకు తెలియడం లేదు.
इसे उठाओ ताकि हम देख सकें.	దానని పెకి ఎతతితే మనం చూడచచు.
-जुबबा वालों के पास. -कौन से वाले?	- ఆ అంగీ వేసుకునన వయకతి దగగర. - ఎకకడ?
जलदी!	జరగండి!
सब ठीक है.	మరేం ఫరవాలేదు.
इसकी साँस रुक गई है.	అతని శవాస తీసుకోవడం ఆపేశాడు.
वह चाहता था एलेन एक बार उसकी आवाज सुन लें.	ఆమె గొంతు వినాలని కోరుకుననాడు.
मैं बुकारेसट से बोल रही हूँ. पलीज जवाब दीजिए.	ఇది బుకారెసట. దయచేసి సపందించండి.
हमलावर के पास हथियार है.	దాడి చేసిన వాడి చేతిలో ఆయుధం ఉంది.
अभी के लिए इससे काम चल जाना चाहिए.	అది ఇపపటికి పనికొసతుంది.
वे काबू से बाहर हो गए थे.	వాళలు అదుపు తపపారు.
बंद हैं और जो सीधा उनकी राजधानी की तरफ जा रहा है.	వాళల రాజధాని నగరం వెపు దూసుకువెళుతోంది.
तुम बस अपनी मदद कर रहे हो.	కేవలం నీకు నువవు సాయం చేసుకుంటుననావు.
- अब जब तुमने जिकर किया है. . . - नहीं. मेरे साथ नहीं.	- ఇపపుడు నువవు పరసతావించావు కాబటటి. . . - అవును. నాతో అవి కుదరవు.
हमें विमान के बीच के हिससे में कुछ दिखाई दे रहा है. आगे की जानकारी दी जाएगी.	విమానం మధయలో మాకు ఒక దృశయం కనిపించింది. గమనిసతూ ఉండు.
तुम! हाँ. यहाँ आओ, अभी.	నువవు! అవును. ఇకకడికి రా, ఇపపుడే.
-हाँ. -हमें जवाब चाहिए.	- అవును. - మాకు సమాధానాలు కావాలి.
वे इस विमान को मार गिरा सकते हैं.	వాళలు మనలని షూట చేయలేరు.
पूछ तो सकते हैं.	నువవు అడిగి చూడచచు కదా.
और अब यह बदलने नहीं वाला.	ఇది ఎపపటికీ మారదని చెపపడం నా ఉదదేశం.
घूरना बंद करो और कुछ कहो!	అలా చూసతూ ఉండకుండా ఏదో ఒకటి చెపపండి!
हम बस यही कर सकते हैं. और साथ ही, संपरक में रह सकते हैं. तुमहारा दिन अचछा बीते, बेटीना. बाय-बाय.	మనం చేయగలిగింది అదే. అదీ ఇంకా అందుబాటులో ఉందాం. ఈ రోజు నీకు బాగుండాలి, బెటీనా. బె బె.
मुझे वह मैसेज अभी भेजो.	నాకు ఆ మెసేజ ని వెంటనే పంపించు.
पीछे जाओ.	వెనకకి వెళలు.
सकाईवॉच, मारस बोल रहा हूँ.	సకెవాచ, మేము మారస.
पीछे रहो!	వెనకకి వెళలు!
यह कुछ नहीं कहेगा.	అతను ఏమీ మాటలాడబోవడం లేదు.
तो हम काररवाई करने के लिए मजबूर हो जाएँगे.	మేము సెనిక చరయ తీసుకోక తపపదు.
मैं खरीददारी नहीं कर रही हूँ.	నేను ఏమీ కొనడం లేదు.
नेटो लडाकू विमान, मैं किंगडम 2-9 से बोल रहा हूँ.	నాటో యుదధవిమానం, మేము కింగడమ 2-9.
किससे बात हो रही है?	నేను ఎవరితో మాటలాడుతుననాను?
अगर इसका मतलब यह है कि अगली बार जब तुमहारी बंदूक हवा में होगी,	మళలీసారి నువవు ఎవరినెనా పటటుకోవాలి అనుకుంటే,
इस बात का इससे कया लेना-देना?	ఇపపుడు నా పరిసథితికి దానితో ఏం సంబంధం? హా?
- अपनी खिडकियाँ बंद करो! - खिडकियाँ.	- మీ కిటికీల తెరలు కిందికి దించండి! - ఆ కిటికీ తెరలు.
कया हम तुमहारी मॉम को कॉल करें?	మీ అమమకి ఫోన చేదదామా?
मुझे एक बार समझाने दो, पलीज.	నేను అతనికి ఒకసారి వివరించాలి, పలీజ.
अपने बेटे से मिलना चाहता हूँ. उसकी माँ से मिलना चाहता हूँ.	నా కొడుకుని చూడాలి. వాడి తలలిని చూడాలి.
इसे पकडो. खून को रोको. मैं देखती हूँ और कया मिलता है.	దానిని పటటుకో. రకతం కారకుండా ఆపు. చికితసకి నా దగగర ఏం ఉననాయో వెళలి చూసి వసతాను.
बैठे रहो!	కూరచో!
जाओ.	వెళలు.
हाँ.	అలాగే.
हाँ. पाँच लोग हैं.	అవును. వాళలు మొతతం ఐదుగురు.
देखो, हमें खून का बहना कम करना होगा.	చూడు, మనం చేయవలసిందలలా రకతం కారడానని మెలలగా తగగించడమే.
आ जाओ.	అదీ అలాగ.
बढिया.	అదీ అలాగ.
हाँ.	చెపపు.
तुम कया. . .	ఏం చేసతుననావు. . .
जलदी करो!	కదులు!
हाँ.	చెపపు.
समझाओ.	వివరించు.
कयोंकि इस विमान का कोई कमरशियल फलाइट नंबर उपलबध नहीं है.	ఎందుకంటే దీనికి కమరషియల ఫలయిట నెంబర లేదు.
तुमने सुना उसने कया कहा! पीछे तुम, खिडकी बंद करो!	అతని మాట మీకు వినిపించింది! వెనుక ఉనన మీరు, ఆ కిటికీ తెర మూసేయండి!
इसका मतलब है तुम मदद करने की पूरी कोशिश कर रही हो.	దాని ఉదదేశం మీరు అతనికి సాయం చేయడానికి శాయశకతులా పరయతనిసతుననారు.
-तुमहारे सरदार को. -उसे यह बहुत पसंद आएगा.	- మీకు సారథయం వహిసతునన మనిషి. - అతను ఇది వినడానికి ఇషటపడతాడు.
विदेश सचिव की तरफ होना चाहिए.	ఇంకా వచచే రెండు నిమిషాలు మనం వాళల వంక చూడము.
और, कयों, ताकि मैं तुम पर भरोसा करूँ?	అయితే, ఏంటి, నేను నినను నమమాలా?
यह बहुत बडा आपराधिक संगठन है, अंतरराषटरीय सतर पर काम करने वाला,	ఇది పెదద నేర వయవసథ, అంతరజాతీయ సథాయి నేరం,
यह लो और उनसे कहो. . .	ఇది తీసుకో, ఇంకా వాళలకి చెపపు. . .
आराम से. बस लपेट दो, मतलब, तीन या चार बार.	ఇకకడ గటటిగా కటటు. దానని చుటటూ తిపపు, అంటే, మూడు లేదా నాలుగుసారలు.
हाँ, चल रही हैं.	ఇతను శవాస పీలుసతుననాడు.
तो, जब तक टेरी वापस आए,	కాబటటి మనం టెరీ కోసం ఎదురుచూసే లోగా,
जिससे कोई संपरक नहीं हो पा रहा है.	నేరుగా వాళల రాజధాని నగరం వెపు వసతోందననది వాళల సమసయ.
- मैं करूँ? - नहीं.	- ననను సాయం చేయమంటావా? - వదదు.
मुझे वह मैसेज भेजो.	నువవు నాకు మెసేజ ని పంపించాలి.
-नहीं. -कोई बात नहीं की?	- లేదు. - అసలు ఏ విధంగానూ సపందించలేదా?
घंटी जा रही है. हाँ. यह लो.	రింగ అవుతోంది. రింగ అవుతోంది. అవును. ఇదిగో.
हटो यहाँ से! पीछे हटो! पीछे जाओ!	దూరం జరగండి! వెనకకి వెళలండి! వెనకకి వెళలి కూరచోండి!
इसके बारे में किसी को पता न चले और पटटी वगैरह करवा लो.	ఈ గాయం గురించి ఎవరికీ తెలియనివవకు, ముందు పరథమ చికితస చేయించుకో.
किंगडम 2-9, मैं बुकारेसट से बोल रही हूँ.	కింగడమ 2-9, ఇది బుకారెసట.
नेलसन का पता सही है.	ఆ నెలసన చిరునామా నిరధారణ అయింది.
रुक जाओ.	ఉండు.
हे. यह एक यूरोफाइटर विमान है.	హేయ. అది యూరోఫెటర.
वह आपको वहाँ नहीं मिलेंगे.	అతను అకకడ ఉండడు.
कोई नली जैसा कुछ, जिसके जरिए यह साँस ले सके.	ఒక టయూబ, లేదా ఏదెనా అతను శవాస తీసుకోవడానికి కావాలి.
मारशा बोल रही हूँ.	నేను మారషా.
कि ये लोग हमारे देश के लिए खतरा नहीं हैं.	మీరు ఇంతవరకూ ఏమీ చేయలేదు.
ऐसा भूलकर. . .	నువవు ధెరయం చేయదదు. . .
आदेश की पुषटि करो.	ఇది ఆదేశంగా నిరధారణ చేసుకోండి.
गृह सचिव?	విదేశాంగ మంతరి?
लग रहा है खून और जयादा बह रहा है.	రకతసరావం మరింత ఘోరంగా మారినటలు అనిపిసతోంది.
-लुइस. -. . . बलकि खुद को कैसे बचाया जाए.	- లూయిస. -. . . తనని తాను ఎలా కాపాడుకోవాలననదే ఆలోచన.
तो उनहें एक बार अपनी बात कहने देने में कया नुकसान है?	ఆయన చెపపే మాటలు వింటే నషటం ఏమిటి?
कया यह सच है?	ఇది ఇపపుడు వాసతవం కదా?
दो, एक.	రెండు, ఒకటి.
कया आप मुझे सुन पा रहे हैं?	నా మాట వినిపిసతోందా?
और फिर घर जाना, सो जाना और दोबारा यही सब करना.	ఆ తరువాత నేను ఇంటికి వెళలి, పడుకుంటాను, మళలీ అదే చేసతాను.
चार,	నాలుగు,
तीन. जलदी करो, पलीज.	మూడు. వీలెనంత తవరగా కూరచోండి, పలీజ.
चुपचाप करना.	నిశశబదంగా పూరతి చేయి.
ठीक है.	సరే.
चेहरा सामने.	ముఖం ముందుకు పెటటండి.
ठीक है.	సరే.
अभी!	వెంటనే!
आपकी उममीद से बेहतर घटित होता है तो कया होता है?	ఏదెనా మంచి జరిగితే ఇలాగే ఉంటుంది.
यहाँ इस बारे में कोई बातचीत नहीं हो रही है.	మనం మాటలాడుకోవడాలు వదదు.
माफ करना.	సారీ.
-तुमहें उसे और कसकर पकडना होगा. -तुम आकर मदद कर दोगे?	- నువవు దానని ఇంకా గటటిగా అదిమి పటటుకోవాలి. - నువవు సాయం చేసతావా?
कोई डॉकटर या चिकितसा पेशेवर. पलीज.	వారు డాకటర అయినా వెదయ నిపుణులు అయినా ఫరవాలేదు. దయచేసి చెపపండి.
लेकिन हमें उसकी बात को जयादा गंभीरता से नहीं लेना चाहिए, है ना?	కానీ మనం అలాంటివి పెదదగా నమమము, కదా?
वॉइसमेल कॉल किया जा रहा है	వాయిస మెయిల కాలింగ
- लेकचर कैसा रहा? - जब कुछ	- మీటింగ ఎలా జరిగింది? - మనం అనుకునన దానికననా
रीजनस टू सटे अलाइव मैट हेग	సజీవంగా ఉండటానికి కారణాలు మయాట హెయిగ
यह कया हो रहा है?	ఇది ఏంటి?
रदद. रदद. हमला रदद.	విరమించండి. విరమించండి. దాడి జరపదదు.
पुषटि की जाती है. हमलावर के पास हथियार है.	నిరధారిసతుననాం. దాడి చేసిన వయకతి చేతిలో ఆయుధం ఉంది.
जो बंदा है, उसके पास एक बॉल पेन है.	అతని దగగర బెరో ఉంది.
हाँ. हाँ, मैंने मैसेज आगे भेज दिया है.	అవును. అవును, నేను ఈ విషయానని వాళలకి పంపించాను.
लेकिन मैं चाहता हूँ कि आप एक बात याद रखें, ठीक है?	కానీ నా గురించి నువవు ఒకటి గురతుంచుకోవాలి అనుకుంటుననాను, సరేనా?
हमसे कहा गया है कि हम सारी गतिविधियों की जानकारी भेजते रहें.	తాజా సమాచారం చెబుతూ ఉండమని మనలని అడిగారు.
जितना तुमहारे लिए है.	నీకు ఎలా ఉననాయో నాకూ అలాగే ఉననాయి.
तो?	అయితే?
माँ, मुझे माफ कर देना.	అమమా, సారీ.
कुछ नहीं. इसलिए, मुँह बंद रखो.	ఏమీ లేదు కదా. కాబటటి, నోరు మూసుకుని ఉండు.
देखो, हमें उनहें यह दिखाना होगा कि यह बरिटिश है.	విను, మనం బరిటీష అనే విషయానని వాళలకి చూపించాలసిన అవసరం ఉంది.
एक ऐसा विमान सीधा उनकी राजधानी की तरफ बढता चला जा रहा है	ఒక సపందించని పరయాణికుల విమానం
तो पलीज हमें बताए.	దయచేసి మిమమలని మీరు పరిచయం చేసుకోండి.
अब गिनो.	ఇపపుడు లెకకపెటటు.
किसी के पास दवाई थी. हाँ?	ఎవరి దగగరయినా మందులు ఉననాయా. చెపపండి?
मैं बस घर जाना चाहता हूँ, दोसत.	నాకు కేవలం ఇంటికి వెళలాలని ఉంది, మితరమా.
तो तुमहारा धयान मुझ पर ना होकर किसी और पर होगा, तो सोचो?	నా పకకన వయకతి మీద దృషటి సారించు కానీ నా మీద కాదు, అపపుడు ఏం జరుగుతుందో చూడు?
चालाक.	తెలివెన వాడివి.
और इसे दबाऊँगा, ठीक है?	గటటిగా లోపలికి అదిమి నొకకుతాను, సరేనా?
वापस छावनी पर जा रहे हैं.	వెమానిక సథావరానికి తిరిగి వసతుననాం.
कया मैं तुमहें कुछ बता सकता हूँ?	నీకు ఒక విషయం చెపపనా?
वाईफाई दवारा कॉल किया जा रहा है. . .	వెఫె దవారా ఫోన కాల
चलो.	ఇదిగో వచచేశాం.
सुनो.	ఇలా చూడు. ఇలా చూడు.
साँस लेते रहो. साँस छोडो.	నువవు శవాస లోపలికి తీసుకోవాలి. శవాస విడిచిపెటటాలి.
