बैका. गारवी.	బెకా. గారవీ.
-ठीक है. -नहीं! धत!	-మంచిది. -అయయో! చెతతది!
-धनयवाद. -माफ करना.	-ధనయవాదాలు. -మననించండి.
यह बेहद रोमांचक है.	ఇది చాలా ఉదవేగంగా ఉంది.
कयोंकि वह काफी. . .	ఎందుకంటే అతను చాలా. . .
उसने यह बताने के लिए तुमहें कयों भेजा?	ఈ విషయం నాకు చెపపమని అతను నిననే ఎందుకు పంపాడు?
अब, वह खुद को इस पीडा में कयों डालेगी?	ఇపపుడు, ఆవిడ ఇలాంటి పనికి ఎందుకు ఒపపుకుంటుంది?
-बस इसमें मत पडो. -हमें जानकारी चाहिए.	-దాని నుండి దూరంగా ఉండు. -మనకి సమాచారం కావాలి.
वैसे, मेरी बहन मेरी पारटनर बनेगी.	కానీ, నేను నా సోదరితో భాగసవామిగా ఉననాను.
इसलिए तुमहें उसकी पैसों की तंगी के बारे में पता था?	తన ఆరథిక సమసయల గురించి నీకు అలా తెలిసిందా?
बारमेड के साथ फलरट करो. पता करो जेपी ने कया किया, किससे बात की, समझे?	బార లో అమమాయితో చనువుగా పరవరతించు. జెపి ఏం చేశాడో, ఎవరితో మాటలాడాడో తెలుసుకో, సరేనా?
तुम बहुत अचछे हो, रॉजर.	నువవు చాలా మంచివాడివి, రోజర.
भगवान, माफ कर दीजिए! ठीक है?	దేవుడా, కషమించు! సరేనా?
वह मुझे पैसे नहीं देगा.	వాడు నాకు డబబులు ఇవవడం లేదు.
-हमें तुमहारे लिए बेहद खेद है, मिस गारवी. -धनयवाद.	-మీకు కలిగిన విషాదానికి విచారిసతుననాం, మిస గారవీ. -ధనయవాదాలు.
किसी डरैगन की तरह.	ఆ చెతత డరాగన మాదిరిగా.
इसे देखो!	దీనని చూడు!
पकका उसे किसी और से मदद मिल गई होगी.	సరే, తనకి వేరే చోట నుండి సహాయం అంది ఉంటుంది.
माफ करना?	మళలీ చెపపు?
हे भगवान.	ఓహ, దేవుడా.
यह कितना पयारा है.	అది చాలా ముచచటగా ఉంది.
मुझे पता है. तुमने मेरी तरफ देखा था.	సరే, నువవు చూశావని తెలుసు. నువవు చూడటం చూశా.
नहीं, कल रात नहीं.	లేదు, నినన రాతరి కాదు.
हे भगवान.	ఓహ, దేవుడా.
मैं अपने चरच के दल के साथ सपताहांत बिताने बाहर जा रहा हूँ.	నేను మా చినన చరచ బృందంతో కలిసి వారాంతంలో వేరే పరదేశంలో బస చేయబోతుననాను.
कया? यह वही है जो तुमहें फोन करती है और संदेश भेजती रहती है?	ఏంటి? నీకు ఫోనలు చేసి సందేశాలు పంపిసతుననది తనేనా?
लडकियों को जीतने देकर खुशी हुई, जैरलड.	ఆడపిలలలు గెలవడం సంతోషం, జెరాలడ.
आओ. अपने नए घर में आओ.	ఇలా రా. నీ కొతత ఇంటలోకి రా.
-अब, कौन सी बात सही है, रेबेका? -हाँ. कौन सी बात सही है, रेबेका?	-అందులో, ఏది నిజం, రెబెకా? -అవును, ఏది నిజం, రెబెకా?
और आंटी बैका.	ఇంకా బెకా పినని.
यह कया है, जेपी?	ఇదేంటి, జెపి?
-नहीं? -नहीं.	-చూడలేదా? -లేదు.
तुम कमीने हो.	నువవు దుషటుడివి.
यह माइकरोफोन लो. वह गाना गुनगुनाओ!	మెకరోఫోన తీసుకోండి. పాటని కూనిరాగం తీయండి!
तो, सबसे छोटी बहन. मैंने उसे गूगल किया था.	సరే, వాళల చినన చెలలెలు. ఆమె గురించి గూగుల లో చూశాను.
उसके ननहें पेनसिल से.	తన చినన కతతి మొనతో రాశాడు.
माफ कर दो, माफ कर दो.	కషమించు, కషమించు, కషమించు.
और वह मैं नहीं हूँगी.	కానీ నా విషయంలో అలా జరగదు.
यह उसके लिए काफी मायने रखता है.	ఇది ఆమెకు చాలా ముఖయమెనది.
सच में? विशवास ही नहीं होता है.	నిజంగానా? అది గొపప విషయం.
-अरे, हाँ. इसके लिए खेद है. -हाँ.	-ఓహ. అవును. అందుకు బాధపడుతుంటాము. -అవును.
हाँ! मैं इसमें माहिर हूँ. कसम से.	అవును! ఇందులో నేను దిటటని. పరమాణపూరవకంగా.
कया?	ఏంటి?
हैलो.	హలో.
तुमसे ऑफिस में मिलूँगा, इवा.	ఆఫీసులో వరక కవిజ దగగర కలుదదాం, ఈవా.
तुम शानदार रहोगी, गरेस. शानदार गरेस.	నువవు గొపపగా చేయగలవు, గరేస. అదభుతంగా చేసతావు.
मुझे गुलाबी पसंद है.	నాకు గులాబీ రంగు నచచింది.
आ रही हूँ!	వసతుననా!
मुझे भी.	నాకు కూడా.
कया?	ఏంటి?
जेपी ने कहा कि उसने कभी नहीं कहा था वह तुमहें पैसे देगा.	అంటే, తను నీకు ఆరథికంగా సాయం చేసతానని ఎపపుడూ చెపపలేదని జెపి అంటుననాడు.
देखो, मुझे नहीं पता कया. . .	చూడు, ఏం జరిగిందో నాకు తెలియదు. . .
यह गलत है, गरेस.	ఇది చాలా ఘోరం, గరేస.
पर तुम नहीं आए.	మీరు రాలేదు.
बस यही सुनाई देता है, "अपनी जिंदगियाँ तबाह मत होने दो, थॉमस!	నాకు వినిపించేది, "మీ జీవితాలని నాశనం చేసుకోకండి, థామస! నాశనం చేసుకోకండి! "
कया?	ఏంటి?
-बस करो. -नहीं.	-ఆపు. -లేదు.
आउच.	అయయో.
कया हुआ?	ఏం అయింది?
-वह कया था? -मैंने लगभग पूरा गाना गया, जेपी.	-ఏంటి అలా చేశావు? -నేను దాదాపు పాట అంతా పాడేశాను, జెపి.
तुमने मुझे शरमिंदा किया.	నువవు ననను అవమానం పాలు చేశావు.
कया?	ఏంటి?
तो हम. . . तो हम कया करेंगे?	అయితే ఏంటి. . . మనం ఏం చేయబోతుననాం?
मैट.	మయాట.
-हम काम कर रहे हैं, जान. -धनयवाद, गरेस.	-మేము ఇకకడ పనిలో ఉననాం, బంగారం. -ధనయవాదాలు, గరేస.
उसे लगता था कि मेंढक गंदे होते हैं.	కపపలు చూడటానికి అసహయంగా ఉంటాయి అనుకునే వాడు.
-बहुत खूब. बधाई हो. शाबाश. -धनयवाद.	-అదభుతం. అభినందనలు. బాగా చేశారు. -ధనయవాదాలు.
माफ करना, मैं जवाब नहीं दे सकता. कृपया बीप के बाद संदेश छोडें.	మననించండి, మీ ఫోన కి అందుబాటులో లేను. దయచేసి టోన తరువాత మీ సందేశానని విడువండి.
पर, कठोर है. छिपकली की तरह.	కానీ ముభావంగా ఉంది. బలలి మాదిరిగా.
-ठीक है. . . कया वह. . . -उससे मेरा कोई लेना-देना नहीं है, टॉम.	-సరే. . . తను. . . -ఇంక దీనితో నాకు పని లేదు, టామ.
समय देने के लिए धनयवाद.	మీ సమయం ఇచచినందుకు ధనయవాదాలు.
हम एक-दूसरे को डेट कर रहे थे.	మేము పరేమించుకుంటుననాం.
तुम बहुत सुंदर हो. तुमहें संभोग करने का हक है.	నువవు ఆకరషణీయంగా ఉంటావు. శృంగారం చేయడానికి నీకు అరహత ఉంది.
-बिबी! -नहीं, माफ करना.	-బీబీ! -లేదు, ననను కషమించండి.
मैं बस कह रही हूँ कि जॉन पॉल के साथ यह पूरी घटना, यह. . .	ఈ జాన పాల కి సంబంధించిన మొతతం వయవహారం గురించి నేను చెబుతుననాను, ఇది. . .
-अरे, हाँ. -उसने एक कयूबिकल चुरा लिया.	-ఓహ, అవును. -కానీ, అతను ఒక కయుబికల దొంగిలించాడు.
-विशवास नहीं होता! -हाँ.	-నోరు మూయి! -అవును.
मैंने आपको नहीं देखा था.	నేను నినను చూడలేదు.
तो, मैं काफी कम पैसे माँग रही हूँ,	కాబటటి, నా ఆరథిక అవసరం వాసతవంగా చాలా తకకువ,
और दूसरे वाले को अंदाजा लगाना होगा, ठीक है?	మిగతా వారు అదేమిటో చెపపాలి, సరేనా?
मैं बस गला साफ कर रही हूँ. ठीक है.	నిజానికి నేను గొంతు సవరించుకుంటుననాను. సరే.
जिम में हो? वाह! मैं फरश धो रही हूँ. . . बिना कपडों के; )	జిమ దగగరా? వేడిగా! నేల కడుగుతుననా. . . నగనంగా
यह नाम सुंदर नहीं है, पर उममीद है तुमहें सवादिषट लगेंगे.	వీటి పేరు విచితరంగా ఉండచచు, కానీ వీటిని మీరు ఆసవాదిసతారు అనుకుంటుననాను.
तो यह जरूरी है कि कोई तुमहें सिखाए. और तुमहें पब ले चले.	ఎవరెనా నీకు కొనని పాఠాలు నేరపించాలి, పాఠాలు అంటే, నా ఉదదేశం, పబ లు అని.
-तुमने कहा था कि तुम बेसिसट हो. -मैं. . .	-నువవు బాస వాదయగాడు అని నాకు చెపపావు. -నేను అదే. . .
जलदी करो, आलसी कहीं की. हमें देर हो जाएगी!	పద, బదధకపుదానా. మనం ఆలసయం అవుతాం.
ओय! संभलकर.	ఓహ! గమనించుకో.
कया हो रहा है?	ఇదంతా ఏంటి?
-सभी "ऑ" कहो. -अलविदा.	-అందరూ "ఆహ" అనండి. -వీడకోలు.
मैं बेहद बुरी सथिति में हूँ, और तुम मेरी सथिति सुधारने में मदद कर सकते हो, मैट.	నేను దికకుతోచని పరిసథితిలో ఉననాను, నువవే ననను ఆదుకోగలవు, మయాట.
और गरेस के. मैं किसी को बताना नहीं चाहती थी. मुददा वह नहीं है.	గరేస కి కూడా తెలియదు. నేను ఎవవరికీ చెపపాలి అనుకోలేదు. కానీ అసలు విషయం అది కాదు.
अगर यह सही समय नहीं है, तो हम बाद में आ सकते हैं, मिस गारवी.	మీకు ఇబబందిగా ఉంటే మేము మళలీ రాగలము, మిస గారవీ.
तो, हर थेरेपिसट के साथ एक टरेनी होगी	కాబటటి, పరతి థెరపిసట కి తోడుగా ఒక టరెనీ ఉంటారు
-मुझे कुछ नहीं पीना. मैं बात करना चाहती हूँ. -माफ करना?	-నాకు డరింక వదదు. నేను మాటలాడాలి. -మననించు?
-तुमसे पयार है. -हमें भी.	-మిమమలని పరేమిసతాను. -మేము కూడా.
तुम कया कहते हो, जॉन पॉल?	నువవు ఏం అనుకుంటుననావు, జాన పాల?
पर विजेता की टरॉफी बस इसी आखिरी राउंड पर निरभर है.	కానీ విజేత టరోఫీని పెకెతతి పటటుకోవాలంటే, ఈ ఆఖరి రౌండ లో గెలవాలి.
और वह पानी गंदा है, तो, यह साफ है कि तुमहें कुछ नहीं पता.	ఆ నీళలు చెతతగా పసుపు రంగులో ఉంటాయి, కానీ ఆ విషయానని నువవు కనీసం గమనించవు.
तो, पेंट पर जाकर उसी से सलाह लो.	అయితే వెళలి ఏ పెయింట వేయాలో అతడినే అడుగు.
मेरा मतलब, उसने मुझे मुसीबत में डाल दिया.	నా ఉదదేశం, ననను సరవనాశనం చేశాడు.
इंसपेकटर लॉफटस बोल रहा हूँ.	నేను ఇన సపెకటర లోఫటస.
चलो भी!	ఇంక చాలు.
वह. . .	అతను. . .
वेतन का भुगतान करेगी.	థెరపిసట జీతాలు చెలలించవచచు.
हाँ, माफ करना तुमहें इंतजार करवाया.	అవును, మిమమలని నిరీకషణలో ఉంచినందుకు కషమాపణలు.
हे भगवान!	దేవుడా!
. . . बेवकूफ कहीं के.	. . . నువవు తెలివెన వెధవవి.
और दिवालियापन की घोषणा करके दोबारा शुरू कर सकते हैं.	అంటే, మనం దివాళా తీశామని పరకటించి, మళలీ కొతతగా వయాపారం పరారంభిదదాం.
यहाँ पीछे सुनाई नहीं दे रहा है!	వెనుక ఉనన వాళలకి నీ పాట వినిపించడం లేదు!
वह बस उसके झाँसे में आ जाती है.	అంటే, వాడు చెపపిందే నిజం అని నమమేసతోంది.
पर यह पता है कि मेरे पास आज रात उसकी बकवास के लिए समय नहीं है.	కానీ ఈ రాతరి వాడి సోది వినడానికి నాకు సమయం లేదు.
कया? मुझे लगा हम सैर पर निकले हैं.	ఏంటి? మనం మామూలుగా నడవడానికి వచచాం అనుకుననా.
-कया? -गैबरिएल के साथ.	-ఏంటి? -గాబరియేల.
तुमने कहा था. . .	నువవు చెపపావు కదా. . .
-हम आकर. . . -मेरे पास पैसे नहीं हैं! लीज तैयार है! मुझे. . .	-మేము అకకడికి వసతాము. . . -నేను దివాళా తీశాను! లీజు మీద సంతకం చేశాను! నేను. . .
कया वह लौटेगी? जॉरज की तरह.	తను కూడా తిరిగి వసతుందా? జారజ లాగా.
वह लोगों की जिंदगियाँ बरबाद कर रहा है! उसे मर जाना चाहिए!	నా ఉదదేశం, వాడు మన జీవితాలని నాశనం చేసతుననాడు! వాడిని భూమిలో పాతి పెటటాలి!
मेरी मदद करो.	సాయం చేయి.
माफ कर दो.	ననను కషమించు.
यहीं रुको.	ఇకకడే ఉండండి.
-कभी नहीं. -तुम मुझे दूर कर रही हो, इवा.	-అవకాశమే లేదు. -నువవు ననను బయటకు గెంటేసతుననావు, ఈవా.
-तुम मुझे अलग कर रही हो. -मुझे पता भी नहीं कि कयों मुझे. . .	-నువవు ననను వేరు చేసతుననావు. -నాకు ఇపపటికీ అరథం కావడం లేదు, నేనెందుకు ఇలా. . .
कयों? कयोंकि ऐसा नहीं होगा, समझी?	ఎందుకు? ఎందుకంటే అది జరిగే పని కాదు, సరేనా?
जेपी ने सारे मुफत के सैंडविच खाए,	ఉచితంగా ఇచచిన అనని శాండవిచ లు జెపి తిననాడు,
मेरी जिंदगी बिखर गई है.	నా జీవితం అసతవయసతం అయిపోయింది.
तुम बहुत अचछी हो.	నువవు దేవతవి.
मुझे बेहद खेद है.	ననను కషమించు.
भगवान. उस पब में.	దేవుడా. ఆ పబ.
मैं यह अकेले नहीं कर सकता.	కేవలం, నేను ఒకకడినే ఇదంతా చేయలేను.
-इस पल. . . -तुम तैयार हो?	-ఈ వేదిక మీద. . . -నువవు సిదధమేనా?
-तुम अपना खुद का सटूडियो चलाती हो? -अभी नहीं.	-మీరు మీ సటూడియో వెలుపల కూడా పనిచేసతారా? -పరసతుతానికి లేదు.
ठीक है, ठीक है. रुको.	సరే. కాసేపు ఆపు.
-तुम जा सकते हो. -धनयवाद, साईकलॉपस.	-నువవు వెళలవచచు. -ధనయవాదాలు, ఒంటి కనను రాకాసి.
कया उसे मुझे मनाने की कोशिश करते देखकर	వాడి మెపపు పొందడం కోసం నేను విపరీతంగా దేవురిసతుంటే
हे भगवान, बिबी. मैं किसी को मारने के विवरण नहीं सुनना चाहती.	దేవుడా, బీబీ. ఎవరినెనా మెడకి తాడు కటటి చంపడం గురించి నేను వినాలి అనుకోవడం లేదు.
वकील के सुरागों पर धयान देना, जो कया हैं?	లాయర పరసతావించని అంశాల మీద దృషటి పెటటు, అవేంటో తెలుసా?
उसने मेरे फोन में बेन के नाम पर अपना नंबर डाल दिया था.	వాడు తన పేరుని బెన అని నా ఫోన లో మారచాడు.
-तुमहें पूछना चाहिए था. -तुम बस यूँ ही आकर. . .	-నాకు కూడా ఒక మాట చెపపాలసింది. -మీరు ఇలా నడిచి వచచేయకూడదు. . .
-देश मत छोडना, मिस गारवी. -मैं जो मरजी हो, करूँगी.	-ఈ దేశం విడిచి వెళలకండి, మిస గారవీ. -నాకు ఏం కావాలంటే అది చేసతాను.
-कया बदबू है. -रेजर कलैम.	-ఇది కంపు కొడుతోంది. -రాజర కలామస.
टॉम, कया अब हम घर चल सकते हैं? यह जयादा हो रहा है.	టామ, దయచేసి నువవు ఇంటికి వెళతావా? ఇదంతా చాలా సంకలిషటంగా మారుతోంది.
हाँ, कोई बात नहीं. मैं बस दो बार भुगतान नहीं करना चाहता.	సరే, అదేం సమసయ కాదు. నేను ఆమె చికితసకి రెండుసారలు మాతరం డబబు ఖరచు చేయలేను.
तुम ऐसा कयों कह रही हो? यह. . .	నువవు అలా ఎందుకు అంటుననావు? అది కాదు. . .
-कमबखत कमीने! -मैं तुमहें चेतावनी दे रहा हूँ!	-చెతతవెధవా! -నినను హెచచరిసతుననాను!
तो, मसाज?	అయితే, మసాజ?
करता है.	అవును.
-तो? -तुम राजी हो?	-మరి? -నువవు చేరతుననావా?
-बस इतना ही. -तो, कुछ नहीं मिला. फिर से!	-అంతే. -అయితే, ఏమీ లేదు. మళలీ!
यह दयनीय है.	అది ఘోరంగా ఉంది.
हाँ, बिलली सबको दोबारा खुश कर देगी.	అవును, ఈ పిలలి మళలీ అందరినీ సంతోషంగా ఉంచుతుంది.
पर हमारे पास इसके लिए एक पेशेवर है.	కానీ మాకు ఒక నిపుణుడు ఫోన లో అందుబాటులో ఉంటాడు.
नहीं. कृपया मुझसे यह करने को मत कहो, टॉम. नहीं.	లేదు. దయచేసి ననను అడగకు, టామ. వదదు.
हम दूसरे तरीकों से तुमहारी मदद कर सकते हैं.	వేరే మారగాలలో నీకు సాయం చేయగలము.
-हैलो. -तुमहें 7 अप दिलवाता हूँ.	-అవును, హలో. -ఉహ, నీకు సెవన అప తీసుకుంటాను.
वह तुमहें निराश नहीं करेगी. वह जलद ही तुमहारे पैसे लौटा देगी.	తను నినను నిరాశపరచదు. తను చెపపినటలుగానే నిరణీత సమయానికి నీ డబబు తిరిగి ఇచచేసతుంది.
कभी बूढों के साथ कसरत मत करो.	వృదధులతో కలిసి ఎపపుడూ వయాయామం చేయకూడదు.
कया मैं नशे में हूँ?	నేను ఏమెనా డరగస కి బానిసనా?
-धनयवाद, डैड. -ए!	-ధనయవాదాలు, నానన. -హేయ!
-वाह. -अचछा था न?	-వావ. -హు? మంచిది, కదా?
हमें बात करनी होगी.	మనం మాటలాడాలి.
आवाज नीचे करो.	నీ గొంతు తగగించుకో.
बैंक से जयादा बयाज देंगे.	బయాంక కననా ఎకకువ వడడీ రేటు ఇవవచచు.
तुम उसके साथ संभोग करोगी?	నీ కురరాడితో శృంగారం చేయబోతుననావా?
उस गाने की तरह.	ఆ పాట లాగా.
देखो. ऐसा मत सोचो. . .	సరే, చూడు, అలా పరవరతించకు. . .
-हाँ. -हाँ!	-అవును. -అవును!
-तुम कमीने हो! तुम कमीने हो! -मैं बस. . .	-నువవు ఒక వెధవవి! నువవు ఒక వెధవవి! -సరే, నేను కేవలం. . .
बनाना चाहिए था. मैं कमजोर पड गई थी.	అది కూడా డోనల కి తెలియకుండా. కానీ అది నా బలహీనత.
रूम में नहीं है तो इसका यह मतलब नहीं कि. . .	అది గదిలో లేదు అననంత మాతరాన. . .
तुमहें यह गाना पता है?	ఇది నీకు తెలుసా?
ठीक है, बी.	సరే, బి.
तो फिर, यहाँ कयों आई हो?	సరే, అయితే ఇకకడికి ఎందుకు వచచావు?
वह चूक गया, और यह बेहद अजीब सथिति थी,	నా ఉదదేశం, తతను మిస అయయాడు, అది ఇబబంది అనిపించింది,
कया अरस ने जवाब दिया?	ఉరస నీకు మళలీ సందేశం పంపిందా?
इवा. कितना शानदार सरपराइज है.	ఈవా. ఎంత మంచి ఆశచరయం.
मैं नहीं बता सकती.	నేను చేయలేను.
और भी बात है.	ఇంకా చాలా కథ ఉంది.
ठीक है, यह जूप है.	సరే, అది జూప.
-शायद नहीं. -कयों?	-బహుశా అలా కాదు. -ఎందుకు?
उसके मेंढक के साथ.	తన కపపని పటటుకుని దిగాడు.
रुको, किसे पता है?	ఆగు, అది ఎవరికెనా తెలుసా?
-कृपया. -माफ करना.	-దయచేసి మెలలగా. -కషమించు.
मैंने बस अपना उपनाम नहीं बताया, बस इतनी सी बात है.	నా చివరి పేరుని నేను చెపపలేదు, అంతే.
पीडित का सीधे नाम ना लेना. उलझे हुए वाकय.	మృతుడి పేరుని నేరుగా పరసతావించకపోవడం. గజిబిజిగా మాటలాడటం.
हाँ, मैं काफी वयसत हूँ.	అవును, నాకు చేతి నిండా పని ఉంది.
पर मुझे लगा कि तुम. . .	కానీ నువవు ఇసతావని అనుకుననా. . .
तो, कया तुम मृतक के करीब थी?	అయితే, మీరు మృతుడికి దగగర బంధువులు కదా?
पर तुमहारे भाई को मेंढक पसंद थे, लॉरा.	కానీ నీ సోదరుడు, అతనికి కపపలు అంటే ఇషటం ఉండేది, లోరా.
यहाँ मेरे ऑफिस के लोग हैं. हम मेरी नौकरी के साथ मजाक नहीं करते हैं.	ఇది నా కారయాలయం. నా కారయాలయంలో మీరు ఆటలు ఆడకండి.
इसके बाद, मैं चाहता हूँ कि तुम उस पब में जाओ जहाँ जेपी अपनी मौत की रात को गया था.	ఇది అయయాక, జెపి చనిపోయిన రాతరి గడిపిన పబ కి నువవు వెళలాలి.
माफ करना. फोन का जवाब देना था.	కషమించండి. నేను ఒక ఫోన మాటలాడాలసి వచచింది.
छोडो.	వదిలేయ.
कयों?	ఎందుకు?
भुगतान नहीं करना चाहेगी, मैं कबर से लाश नहीं निकलवाऊँगा.	ఆ శవానని వెలికి తీసే పనిని నేను చేయలేను.
अब अपरिहारय, रोमांचक अंत होगा.	తపపనిసరిగా, దారుణమెన ముగింపునకు వచచేసింది.
. . . केवल दो टीमें बची हैं.	. . . పోటీలో ఉననాయి.
सह कहूँ तो. उसने सही कहा.	తను సరిగగానే చెపపింది. అది సమంజసమే.
और गरेस आज-कल इतनी खोई-खोई रहती है.	గరేస కూడా కొదదిరోజులుగా సరవం కోలపోయినటలు ఉంటోంది.
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన రచన
अगर तुम चाहती हो कि जैरलड तुमहें गंभीरता से ले, तो थोडी गंभीर बनो.	జెరాలడ మెపపు సంపాదించాలంటే దాని మీద శరదధ పెటటు.
हाँ, तुम हो. तुम शानदार हो.	అవును. నిజంగానే. నువవు తెలివెన దావిని.
कार लेकर आती हूँ.	వెళలి కారు తీసుకువసతాను.
जैसा कि तुम जानती हो, हम बस जॉन पॉल के दावे की जाँच कर रहे हैं,	మీకు తెలుసు, మేము జాన పాల బీమా కలెయిమ కి సంబంధించి అనని అంశాలను కషుణణంగా పరిశీలిసతుననాము,
नहीं? तुमहारा परिवार तुमहारे मसाज वाले काम का समरथन नहीं करता है?	లేదా? మీ మసాజ పనికి మీ కుటుంబం సహకరించడం లేదా?
बस भी करोगी? बस करो, ठीक है. चलो जशन मनाएँ.	మీరు కాసేపు ఆపుతారా? కాసేపు ఆపండి, సరే. మనం వేడుక చేసుకుందాం.
उसके कई दोसत और पहचान वाले हैं.	నా ఉదదేశం, తను చాలా పరిచయాలు ఉనన అమమాయి కదా.
फरक नहीं पडता कहाँ. . . बस. . .	అది ఎకకడిది అననది విషయం కాదు. . . కేవలం. . .
धनयवाद.	ధనయవాదాలు.
सच में!	మననించండి!
धनयवाद.	ధనయవాదాలు.
मैं तुमहें चेतावनी दे रहा हूँ.	నినను హెచచరిసతుననాను.
नहीं, नहीं है.	లేదు, అది తపపు కాదు.
तुम वहीं थी, गरेस. तुमहें पता है वह राजी हो गया था.	నువవు కూడా అకకడ ఉననావు, గరేస. అతను నా పరతిపాదనకి సరే అననాడని నీకు తెలుసు.
और अब आपने बस हार मान ली?	కానీ ఇపపుడు, నువవు దానిని వదిలేశావా?
-हम सभी को नहीं हुई है? -तुम अपनी बहनों से मदद नहीं माँग सकती थी?	-మన అందరికీ ఉండవా? -మీ అకకయయలని సాయం అడగలేరా?
पता नहीं.	నాకు తెలియదు.
जेपी, वह. . .	జెపి. . .
हाँ. हाँ.	అవును. అవును.
तुमहारी हँसी सबसे सुंदर है.	నేను ఇంత అందమెన నవవుని ఇంతవరకూ వినలేదు.
नहीं. मैं यह नहीं कर सकती.	వదదు. నా వలల కాదు.
जान, तुमने कयों. . .	బంగారం, నువవు ఎందుకు అలా. . .
-कयों? -थोडी जाँच करो.	-దేనికి? -ఏమెనా ఆధారాలు పసిగటటు.
सुंदर लडकी. आकरषक आँखें.	అమమాయి అందంగా ఉంది. ఆకటటుకునే కళలు.
अरस, तुम काफी चुप हो. मैं असहज महसूस कर रही हूँ.	ఉరస, నువవు, అంటే, చచచేంత ముభావంగా ఉననావు. ఇది నాకు చిరాకు పుటటిసతోంది.
हे भगवान. कब?	ఓహ, దేవుడా. ఎపపుడు?
मैं हताश हूँ. बेहद हताश हूँ.	నేను ఇకకడ నిరాశలో ఉననాను. నిరాశలో ఉననాను.
कुछ तो गडबड है.	ఏదో తపపు జరిగి ఉండచచు.
और चाहिए? कयोंकि मुझे पता है तुमहें भददा. . .	ఇంకాసత కావాలా? ఎందుకంటే నీకు ఇలాంటి చెతతవి ఇషటమని నాకు తెలుసు. . .
यह समय काटने का बेहूदा तरीका है.	కాలకషేపం కావడానికి పనికి రాని పనులు చేసతుననావు.
खासकर ऐसी जगह में ऐसे कमरे के लिए.	ముఖయంగా అటువంటి విశాలమెన భవనంలో, అటువంటి పరదేశంలో.
उसने गलत समझा होगा.	తను తపపుగా అరథం చేసుకుందేమో.
यह खुद को बचाना है.	అది మన మనుగడకు సంబంధించినది.
-मैट, कया तुम. . . -नहीं.	-మయాట, నువవు మొదలుపెడతావా. . . -లేదు.
समय खतम हुआ. समय खतम हुआ.	సమయం మించిపోయింది. సమయం మించిపోయింది.
तुमहें कया हुआ है?	నీకు ఏమెంది?
बदमाश.	చెతతగాడు.
हाँ.	అవును.
धत!	ఛ!
थोडा धीरे चलोगी?	నువవు కాసత నిదానించగలవా?
चलो पुराने तरीके आजमाएँ!	మనం పాత పదధతులనే అనుసరిదదాం, పిలలలూ!
मेरे बिना गुपत मीटिंग?	నేను లేకుండా ఏదెనా రహసయ సమావేశమా?
उसने गलत समझा.	తను అపారథం చేసుకుంది.
बैका, कृपया.	బెకా, దయచేసి విను.
छोड सकते हैं? हम नहीं छोड सकते, मैट.	ఆపడమా? మనం ఆపలేము, మయాట.
हाँ.	అలాగే.
हाँ.	అవును.
हाँ.	అవును.
वैन. . .	ఎలాగంటే. . .
कया हुआ?	ఏం జరిగింది?
धत.	ఛ.
हाँ!	అవును!
चुप रहो.	నోరు మూయండి.
चुप रहो!	నోరు మూసుకో!
-तुमहारे बायोडाटा के लिए. -अरे, भाड में जाओ, बिबी.	-నీ బయోడేటా. -ఓహ, నోరుమూయి, బీబీ.
कया तुम पब में गए थे?	నువవు కనీసం పబ దగగరకెనా వెళతావా?
और उसने गलत समझा.	తను తపపుగా అరథం చేసుకుంది.
कया हम बस यह होने देंगे?	ఇది ఇలాగే జరుగుతుంటే చూసతూ ఊరుకోవాలా?
हाँ, मुझे लगा मैं अपनी चाबियाँ यहाँ छोड गई थी तो. . .	అవును, నేను వదిలి వెళలానేమో అనుకుననా, నా తాళాలు ఇకకడ వదిలి వెళలానేమో అనుకుననా. . .
मुझे लोन देने का वादा करके बस मना कर दिया.	నాకు అపపు ఇసతానని హామీ ఇచచి, తరువాత ననను చెతతలో వేసినటలు పడేశాడు.
उसने आज रात के टेबल कविज के लिए	ఈ రాతరి జరిగే టేబుల కవిజ లో తన భాగసవామిగా ఉండమని
वह हमेशा उनमत रहता था, और हर जगह पेशाब करता था.	వాడి అంగం ఎపపుడూ సతంభించి ఉండేది ఇంకా వాడు ఎకకడపడితే అకకడ మూతరం పోసేవాడు.
वह कहाँ जा रही है?	కానీ, తను ఎకకడికి వెళుతోంది?
-संभोग? -नहीं, डेट के लिए पूछूँ.	-శృంగారం చేయాలా? -లేదా, అతడిని డేట కోసం అడుగుతాను.
उसे उभयचर पसंद नहीं थे.	అతను ఉభయచరాలకు తిండి పెటటేవాడు కాదు.
उसे अपनी जिंदगी खुद बनानी होगी, है न?	నా ఉదదేశం, తన జీవితానని తను సొంతంగా నిరమించుకోవాలి, అవునా?
बीमा वाले भाई?	మీరు ఇనసూరెనస సోదరులా?
फरश धो रही थी?	ఇలలు శుభరం చేసతుననారా?
पता नहीं. उसके संकेत समझना कठिन है.	నాకు తెలియదు. అతని ఆంతరయం తెలుసుకోవడం కాసత కషటంగా ఉంది.
वह बस सलाह दे रहा था.	అది మామూలుగా కొనని సలహాలు ఇచచాడు.
हँसना नहीं.	నవవదదు.
कल रात?	నినన రాతరా?
मैं भीख नहीं माँगूँगी.	నేను అడుకకోను.
