-रायन!	-రాయన!
मुझे तुमहारे दोसत पसंद हैं. खासकर हयूई.	నాకు నీ సనేహితులు నచచారు.
उन अपराधों को लेकर भी, जो तुमने किए थे.	నువవు చేసిన నేరాలను కూడా.
अगर तुमहें दिलचसपी हो तो.	నీకు ఆసకతి ఉంటే.
हम ऐसे दिखते हैं, इसलिए	చెడడవారు మనలని గాయపరచాలనుకుంటుననారు,
चलो. सोचो. . .	కానివవు. ఊహించుకో. . .
मैं चाहती हूँ कि तुम गवाही दो.	నువవు సాకషయమివవాలి.
अचछा लगा कि तुम यहाँ आए, सटैन.	మీరు ఇంత దూరం రావడం
मैंने तुमहारे लिए यह कभी नहीं चाहा था.	నీకలా జరగాలని అనుకోలేదు.
-अचछा है ना?	-చాలా బాగుంది, కదా?
अगर तुम सवयं भगवान को,	నువవు సవయంగా దేవుడిని తీసుకువచచినా,
टावर में तो तुमसे नहीं मिल सकता ना?	అంటే, ఇపపుడు నేను మీతో
ए, गोशत के साथ बिग होमी खाकर देखना.	హే, నువవు పంది మాంసంతో
मैं कैटस में सभी बिललियों के नाम	కయాటసలో పిలలుల పేరలు
धत तेरी!	అయయో!
माफ कीजिए.	పకకకు తపపుకోండి.
धत तेरी.	అయయో.
और फिर एक दिन, वह चली गईं	ఆ తరువాత ఒక రోజు ఆమె వదిలి వెళళిపోయింది,
कया हुआ?	ఏంటి?
एक हीरो को लेना शोधन है,	ఒక హీరో విడుదల,
मैं हमेशा ऐसा कहता हूँ,	"ఈ కొయోటీ ఎందుకిలా చేసతాడు? అనుకుంటా.
नोआर अब किसी काम का नहीं रहा.	నోయరలో సపందన లేదు.
. . . सटॉरमफरंट और	. . . ఆరోపిత నాజీతో సటారమఫరంట
चिंता मत करो.	కంగారు పడకు, పిచచోడా.
दो को लेना कमजोरी है.	రెండు బలహీనం.
तो फिर हिचकिचाए कयों?	సంశయం ఎందుకు?
दो को लेना कमजोरी है.	ఇదదరు బలహీనత.
उससे वॉट नहीं रुकेगा.	అది వాటను ఆపదు. కాంపౌండ వీనీ ఆపదు.
मेरे साथ चलो.	నాతో రా.
छोड इसे!	ఆమెను వదిలేయ!
हम यहाँ आपकी सेवा और हिफाजत के लिए हैं.	మేము ఇకకడ ఉననది మీ సేవకు
कहाँ जाना है?	ఎకకడికి?
और जब बेकका मेरे पास आकर भीख माँगेगी	రెబెకకా మా ఇంటికి వచచి
मैं कसम खाता हूँ.	నేను నీకు పరమాణం చేసతుననాను.
मुझे माफ कर दो, माँ.	ననను కషమించు. ననను కషమించు, అమమా.
वेट	వెయిట
तो, सटॉरमफरंट का तो बंदोबसत हो गया.	అయితే, అది సటారమఫరంట.
हमने डीप के पुनरसुधार में	డీప పునరావాసంలో
मैंने तुमहारी जान बचाई, कमीने.	నీ పరాణం కాపాడాను.
मर, साली!	చావు, చెతతముఖం.
मेरी अभी-अभी सटैन एडगर से बात हुई है.	సటాన ఎడగరతో మాటలాడాను.
तो तुमहें लगता है कि हम पीछे हट जाएँगे?	మమమలని తపపుకోమంటుననావా?
मैंने तुमहें "बुचर" कहते सुना कया?	నువవు "బుచర" అననావా?
यह तो पलान में शामिल नहीं था.	పరణాళిక అది కాదు.
अभी तक उनहें बताया नहीं.	ఇంకా చెపపలేదు.
नहीं, बेटा, माफी माँगने की जरूरत नहीं.	లేదు, మితరమా, బాధపడకు.
शायद इसलिए कि हालात	అందుకేమో కషటకాలంలో నిలిచి ఉంటాను,
ऐसा मत कहो! बस करो.	అలా అనకు. ఆపు. నువవు మాతో రావాలి.
पर अगर तुमहारे सामने एक कारय योजना होगी,	కారయాచరణ పరణాళిక దవారా,
उनके भी कुछ मारे गए.	వాళళవాళళు కూడా చాలా మంది చనిపోయారు.
मुझे अनुमान लगाने दो.	ననను చెపపనీ.
हाँ. इसकी वजह से	అవును. ఆ విషయాలేవీ ముఖయంకాదు
अभी!	ఇపపుడు!
-तुम ठीक हो?	-నువవు బాగానే ఉననావా?
बस करो!	ఆపు!
बस करो!	ఆపు!
और मुझे पता है कि तुम और मेव	నువవు, మేవ ఇదదరూ
मैंने यू मे बी राइट पर कलाबाजी की,	నేను యూ మే బి రెటకు
मैंने वादा किया था कि जैसे ही रायन	నాకు రాయన దొరకగానే,
सटॉरमफरंट के अतयाचार को देखते हुए,	సటారమఫరంట దురాగతాలు
मुझे माफ करना, डीप,	ననను కషమించు, డీప, ఒక ఖాళీనే ఉంది.
इससे पहले	గతంలో
सटारलाइट की मेहरबानी से, हमें पता है	సటారలెటకు ధనయవాదాలు,
हैलो!	హాయ! హాయ!
राजय?	రాషటరాలా?
मिसटर एडगर, आमतौर पर	మిసటర ఎడగర,
नहीं? तुमने कभी जिकर नहीं किया, इसलिए. . .	చనిపోలేదా? నువవు ఎపపుడూ
ऐसे मुशकिल वकत में	అతను ఈ కషటకాలంలో వాటకు మంచి ఆసతి.
उतने करीब नहीं है.	చాలా దగగరగా ఉండడు, నీకు తెలుసుగా?
और उसके बाद,	ఆ తరువాత అతనిని ఈ సారి
अचछी बात है. बस सबको पता चलना चाहिए	మంచిది. అందరూ నువవు
-बेडरूम में कोई नहीं है.	-బెడరూం ఖాళీ.
मुझे लगता है अब मुझे	ఇది నా కాళళ మీద నేను నిలబడాలసిన సమయం.
तुमहारा बहुत बडा परशंसक हूँ.	పెదద అభిమానిని.
यदि तुमने इन सुपरहीरो को मारा,	ఈ సూపలను చంపితే,
कंपाउंड वी को उपलबध कराने का काम	కాంపౌండ వీ విడుదల
लेना चाहोगे? दिल खोलकर खाना हो तो,	ఏదెనా ఆరడర ఇసతావా?
और वहाइट हाउस में	శవేత సౌధం
मुझे शहर के दूसरे कोने में जाना. . .	నేను నగరం దాటి. . .
देखो, मैं चाहता था कि वी एक राज ही रहता,	చూడు, నేను వీ రహసయంగా
और उसे मेरे पास वापस लेकर आओगे.	నాకు మాట ఇవవాలి.
निकाल दो, पलीज, मैं भीख माँगता हूँ.	దయచేసి విడుదల చెయ,
सभी का शुकरिया. माफ कीजिए. शुकरिया.	అందరికీ ధనయవాదాలు.
अब तुमहारी माँ तुमहारी हिफाजत करेंगी.	ఇపపుడు మీ అమమ నినను
दूसरी तरफ देखा जाए तो,	మంచి విషయం,
कोई हथियार उठाओ. तुमहारे टीचर के पास	ఆయుధాలు తీసుకోండి.
-हाँ.	-అవునవును.
माँ कहती हैं कि सीखना	అమమ నేరచుకోవడం ఒక వరం అంటుంది, అందుకే. . .
यह तो लॉटरी लग गई.	ఇది జాకపాట. బాగా చేశారు, ఇదదరూ కూడా.
यह सब कया हुआ?	ఏంటిది?
रुक जाओ.	ఆగు.
सटॉरमफरंट ने जो उस खास रिशते का,	నమమకంతో కూడుకునన
नयाय होकर रहेगा. उसे सजा दी जाएगी.	నయాయం జరుగుతుంది.
हमारी पहले बात हुई है और यह बहुत अचछी है.	మేము మాటలాడుకుననాము.
और मोका नोआर शेक, उसका तो जवाब ही नहीं.	ఇంకా మోకా నోయర షేక,
अपनी जान दे दोगे	నీ భారయను చంపిన ఆ చిననవాడి కోసమా?
कुछ पता चला?	హే, నీకు ఏమెనా తెలిసిందా?
केवल सटॉरमफरंट का हाथ था.	నమముతుననాము.
और अमरीकी सरजमीन पर	ఇక అమెరికా గడడ మీద సూపర విలనలు లేరు. . .
कयोंकि हालात बहुत बिगडे हुए हैं, और. . .	ఎందుకంటే పరిసథితులు
और मुझसे कहा था कि यह मेरी हिफाजत करेगा.	ఇది ననను సురకషితంగా
किसी सुपर बदमाश के आने की रपट मिलते ही	కరియాశీల సూపర విలన
रायन! ए.	రాయన! హే, హే, హే.
यही वह बंदा है?	ఇతనేనా?
तुमहें लगता है	తను వాళళ నాననలాగా మారతాడంటావా?
गवाही?	సాకషయమివవాలా?
शायद तुमहें शीशे में देखना चाहिए, दोसत.	బహుశా నువవు ఒకసారి
नहीं, बेकका नहीं.	లేదు, బెకకా కాదు. బెకకా నాతో ఉంటుంది.
तो मैं हर चीज को,	నేను అందరినీ, అననిటినీ నాశనం చేసతాను.
नहीं.	లేదు. లేదు.
माफ कर दो.	కషమించు. ననను కషమించు.
कनेकशन जुडा हुआ है वॉट के कमीने	కనెకట అయి ఉంది
और मैं वहाँ बैठा रो रहा था.	బాగా ఏడుసతూ.
तुमहारे आगे	అతీతశకతుల పరదరశన చూసతారు.
हमारे ऊपर मेरे	నా పరధాన సిబబంది మెదడులో కపపబడి.
उसने कहा था कि ईसट फलैटबुश में	ఈసట ఫలాటబుషలో
माफ करना, डीप, पर तुमहारा रवैया	కషమించు, డీప,
हम वॉट को	మనం వాటను కాంపౌండ వీను
बचपन में, मैं यही संगीत सुना करता था.	నా ఎదిగే వయసులో
हाँ, थे तो सही.	అవును.
चलो.	పద వెళదాం.
नाचने.	డానస చేయడానికి.
सकूल में सुपर बदमाशों का हमला हो तो,	బడిలో సూపరవిలన
कि इस अपरतयाशित दुराचार के होते हुए,	ఇలాంటి తీవరమెన
हमें देखना होगा	మనం సరెన వయకతులకు డోసులు అందేలా చూడాలి,
-हाँ!	-చాలా మంచిది!
माफ कर दीजिए.	కషమించు. నేనలా చెపపాలని అనుకోలేదు.
सटॉरमफरंट शायद 100 वरष की हो सकती है.	సటారమఫరంట వయసు
मुझे मंजूर नहीं.	చేయను.
धत तेरी!	ఛా!
कंपाउंड वी के	కాంపౌండ వీ వాడకానని అనుమతిసతుననాడు.
कंपाउंड वी से	కాంపౌండ వీ మా సటాక ధరను పెంచుతుంది.
माफ कर दो.	ననను కషమించు. ననను కషమించు.
एमएम, उसे लेकर	ఎంఎం, నమమకంగా నీకు మాతరమే అపపగించగలను.
जाओ!	వెళళిపోండి!
बदकिसमती से, सुपर बदमाश हमले की संभावना	దురదృషటవశాతతు,
मैं समझता हूँ कि वह तुमहारे दादा के	ఆమె మీ తాతయయ
सच?	నిజంగానా?
सच?	నిజంగానా?
मैं कहूँगा कि मैं तुमहारी बात समझा नहीं.	నాకు ఖచచితంగా
कि अपने अंदर कहीं खो जाना आसान है.	చాలా సులభం.
तो, बताओ,	అయితే, చెపపు, ఎందుకు ఎపపుడూ,
कयोंकि, तुमहें तो पता ही है,	ఎందుకంటే,
उसकी गलती नहीं है. तुम उसे यह जरूर बताना.	తన తపపు కాదు.
वह मेरे लिए	ఆమె అనధికారంగా నాకు సూపలపె నిఘా కోసం
तुमहारी माँ	మీ అమమ, కొనని మంచి విషయాలు చెబుతుంది.
-माँ.	-అమమా, అమమా, అమమా.
मेरी गाडी लो, दोनों को मैलोरी के पास	నా కారులో,
