इटली.	ఇటలీ.
वे लोग बहुत खतरनाक हैं.	ఈ మనుషులు చాలా సీరియస గా ఉంటారు.
सामान सुरकषा करमचारियों में से एक,	బయాగేజ సెకయూరిటీ సిబబందిలో
. . . अगर, तो कया करना होगा?	. . . చేసతే గనుక, అది ఎలా పని చేసతుంది?
कुल 90 मिनट की दूरी पर है जहाँ हम उनसे सीधे बात कर सकते हैं.	మనం నేరుగా సంపరదించడానికి అవకాశం ఉనన ఇంతకుముందు పాయింట కి అది దూరంగా వెళలింది.
-कम समय लगेगा. -नील.	- రెండు నిమిషాల లోపే. - నీల.
अभी, पलीज.	వెంటనే కావాలి.
मेरा यकीन करो.	ననను నమము.
तो आप एक फैन होने लायक ही नहीं हैं.	అసలు మరి దేనికీ అభిమానిగా ఉండే అరహత ఉండదు అంటారు.
कुछ तो गडबड है.	ఏదో పొరపాటు జరిగింది.
यह बात सही है.	అది నిజమే.
उसकी लाश सबसे पहले लूइस ने देखी थी,	ఆయనని మొదట చూసింది లూయిస,
जब उनहें लगा कि पीट पुलिस का खबरी बन गया है, उसके बाद से, लेकिन उसने किसी को कोई खबर नहीं दी.	అతను వాళలని మోసం చేశాడని అనుకుననారు, కానీ అతను ఎపపుడూ అలా చేయలేదు.
दो घंटे, 49 मिनट.	రెండు గంటల, 49 నిమిషాలు.
अपनी सीटों पर बैठे रहें. विमान की परिसथितियों में कोई बदलाव नहीं आया है.	మీ సీటలలోనే మీరు ఉండండి. విమానంలో పరిసథితి మారింది.
तो मैंने सुझाव दिया है कि वह यहाँ आ जाएँ.	దానితో ఆయననే ఇకకడికి రమమని అడిగాను.
हमें विमान को उतरने से रोकना होगा.	మనం ఈ లయాండింగ ని ఆపాలి.
मुझे बस अपने बचचे सही-सलामत चाहिए.	మా అబబాయిలు నాకు కావాలి.
मैं बस यही जानना चाहता हूँ.	నేను తెలుసుకోవాలి అనుకుంటుననది అదే.
हम सिरफ चिकितसीय मदद चाहते हैं.	ఇది కేవలం వెదయపరమెన సహాయం కోసమే అని చెపపాలి.
विनमर सधी हुई आवाज.	సథిరంగా నిదానంగా మాటలాడండి.
अपने परिवारों, अपने रिशतेदारों के साथ, वे यहीं आसपास के घरों में रहते हैं.	వాళల కుటుంబం, వాళల బంధువులు, అననీ ఈ పకకపకకనే ఉంటాయి.
वे खुद को किसी भी तरह के हिंसक हालात में नहीं देखना चाहेंगे.	వాళలు హింసాతమక సంఘటనలని ఎదురకోవాలి అనుకోరు.
-गयोर हवाई अडडे पर डॉकटर तैयार रहें. -और रनवे पर एक एमबुलेनस.	- గయేయర ఎయిర పోరటులో డాకటరలు సిదధంగా ఉండాలి. - ఇంకా రనవే మీద అంబులెనస తయారుగా ఉండాలి.
- हे! रुको! - बताओ मुझे, कया किया है तुमने?	- హేయ! ఆపు! - నువవు ఏం చేశావు?
- तो वे भाई हैं? - हाँ.	- అయితే వాళలు అననదమములా? - అవును.
कयोंकि हमें यहीं आना पडा.	ఎందుకంటే మేము ఇకకడ ఉండాలసి వచచింది.
आपने सही कहा.	అది నిజం.
और जॉन बेली-बराउन.	జాన బెయిలీ బరౌన యజమానులు.
और फिर हम साथ मिलकर इस पर बात कर सकते हैं.	అకకడ మనం కలిసి మాటలాడుకుందాం.
- मेरी बात समझ आ गई? - हाँ, कैपटन!	- నేను మీకు సపషటంగా చెపపానా? - చెపపారు, కెపటెన!
यह देखो. तुमहें महसूस हो रहा है?	చూడు. నీకు తెలుసతోందా?
एक बात साफ कर लेते हैं, मुझे लगा था कि हम इस बारे में नहीं सोच रहे हैं.	సపషటంగా చెపపాలంటే, మనం వాళల డిమాండలని పరిశీలించము.
देखो! एक बार उधर देखो.	చూడు! ఇలా చూడు.
मैंने माँ को फोन किया था.	అమమకి ఫోన చేశాను.
उसे एक कार में बैठाओ और जो पता मैं तुमहें भेज रही हूँ, उसे वहाँ ले जाओ.	ఆమెని కారులోకి ఎకకించి, నేను పంపించే అడరెస కి తీసుకువెళలండి.
फोन, वीडियो कॉल, किसी भी एनकोडेड माधयम पर.	ఆమె ఫోనులో, వీడియోలో ఎనకోడింగ ఉనన ఏ నెటవరక లో అయినా వసతారు.
दोबारा. सभी बल, विशराम.	రిపీట. అనని యూనిటలు, ఉపసంహరించండి.
हाँ?	సరేనా?
हाँ?	సరేనా?
हाँ.	అలాగే.
उनहें पीसना है	మనం వాటిని కరష చేసతే,
बहुत अचछा.	ఇంక అయిపోయింది.
बैठिए.	కూరచోండి.
और जो पीट के साथ हुआ, उसके बाद से, वे मुझ पर भरोसा नहीं करते.	పీట గొడవ తరువాత వాళలు ననను నమమడం మానేశారు.
एक घंटे से भी कम.	అంటే, గంట కననా తకకువ సమయం.
तुमहें यह सब. . .	నువవు ఇదంతా చేయడానికి. . .
एफपीसीसी वाले लाइन पर हैं, अभी.	నా దగగర తాజాగా, ఎఫ. పి. సి. సి. సమాచారం ఉంది.
तभी हम विमान को नीचे उतारने के बारे में सोचेंगे.	వాళలు డాకటరలని సిదధంగా ఉంచగలగాలి.
उसने ऐसा कहा?	డాకటర ఆ మాట చెపపాడా?
चलते रहो.	ముందుకు కదులు.
तुम सपीकर पर हो.	సపీకర లో మాటలాడిసతుననాను.
हमें तैयार रहना होगा.	మనం అననింటికీ సిదధంగా ఉండాలి.
मुझे लगता है तुमहें इस सवाल का जवाब मिल गया होगा.	నీ పరశనకి ఇది సమాధానం అనుకుంటా.
ताकि वह करमचारी अपहरणकरताओं को विमान पर चढने दे.	తదవారా ఆమె హెజాకరలని విమానంలోకి పంపించే వరకూ వీళలని బందీలుగా ఉంచి ఉండచచు.
तुम कोई भी बात अपनी तरफ से नहीं कहोगी, याद रखना? पहले तुम मुझसे पूछोगी.	నువవు వాళలు చెపపిన దానికి దేనికీ ఒపపుకోకూడదు, గురతుందా? ముందుగా నా అనుమతి తీసుకో.
नहीं.	చేసతాను.
यहाँ सशकत बल तैयार हैं.	గరౌండ లో సాయుధ బలగాలు సిదధంగా ఉననాయి.
कया तुम मुझे पानी दे सकती हो?	ఏమీ అనుకోకుండా నాకు కాసత నీళలు తెచచిసతావా?
इसे कहो!	అతనికి చెపపు!
सभी बल. . . विशराम.	అనని యూనిటలు. . . ఉపసంహరించండి.
मैं कुछ समझा नहीं.	సారీ, ఏంటి?
मैं जानता हूँ आपने खबर नहीं दी.	మీరు చేయలేదని నాకు తెలుసు.
पर मैं नहीं चाहती यह यहाँ रहे.	కానీ అతను ఇకకడ ఉండకూడదు.
लूइस की एक और कॉल.	లూయిస నుంచి ఇంకో కాల వెళలింది.
ऐसा करने को तुमहीं ने कहा था.	ఇది నీ ఐడియా కదా.
बस, थोडा सा बचा है.	చివరి చుకక.
मैं यह नहीं कह रहा हूँ कि हम यही करेंगे, मैं कह रहा हूँ यह एक विकलप है.	మనం చేదదాం అనడం లేదు. మనకి అది ఒక అవకాశం.
उसे मत उठाओ.	దానని అకకడ పెటటేయండి.
विमान उतारने की अनुमति ले रही है.	గయేయర ఎయిర పోరటు వారితో మాటలాడుతోంది.
ये खराब हो चुके हैं. मुझे अपने हेडफोनस चाहिए.	ఇవి పాడెపోయాయి. నాకు నావి కావాలి.
उसे वहाँ से निकालो, घर को सील करो,	ఆమెని అకకడి నుండి తీసుకురండి, ఆ ఇంటిని సవాధీనం చేసుకోండి,
इसमें कोई खतरा तो नहीं?	అది మంచిదేనా?
एक सेकंड रुकिएगा. पीएम कारयालय से पैटरिक का फोन है.	నాకు ఒక సెకను టెమ ఇవవు. పరధాని ఆఫీసు నుండి పయాటరిక ఫోన చేశారు.
जिससे यह पता चले कि ये कोरी धमकियाँ नहीं दे रहे हैं?	మన దగగర ఏమెనా ఆధారాలు ఉననాయా?
बुडापेसट, विमान में कुछ समसया हुई थी.	బుడాపెసట, విమానంలో మాకు ఒక పరిసథితి తలెతతింది.
उलटा करके.	దానని ఇలా తిపపితే.
जरूर.	తపపకుండా.
आप सभी को.	మీరు అందరూ వినండి.
फिर ये सफाईकरमी बाहर आए.	ఆ తరువాత ఆ పారిశుధయం కారమికులు బయటకు వచచారు.
उतारो.	లయాండ చేయి.
और मुझे लगता है इसमें से हमें ऐसी गतिविधियाँ मिल जाएँगी जिससे यह साबित हो जाएगा.	మీరు చెపపే విషయాలకు ఆధారాలు ఉంటాయని ఆశిసతాము.
वे फैसला बताने वाले हैं.	నిరణయం తవరలో.
वह कहाँ है?	ఆమె ఎకకడికి వెళలింది?
वे इसी सडक पर रहते हैं.	వాళలు ఈ వీధిలోనే నివాసం ఉంటుననారు.
वह तुमहें बचाना चाहता था.	అతను మిమమలని కాపాడాలి అనుకుననాడు.
यह सब काफी तकनीकी जानकारी है.	లయాండింగ పరోటోకాలస, ఇవననీ టెకనికల గా కలిషటంగా ఉంటాయి.
और यह कि वे इस वकत कहाँ हैं?	వాళలు ఎవరితో కలిసి పని చేసతుననారో చెబుతారా, వెంటనే?
और ना ही मैंने कभी कोई खबर दी.	కానీ నేను కూడా ఎపపుడూ వాళలని మోసం చేయలేదు.
बुडापेसट, मैं किंगडम 2-9 से बोल रही हूँ. कया आप मुझे सुन सकते हैं?	బుడాపెసట, ఇది కింగడమ 2-9. మా మాటలు వింటుననారా?
नहीं तो कया?	అలా చేయకపోతే ఏం అవుతుంది?
नहीं तो कया?	అలా చేయకపోతే ఏం అవుతుంది?
तुम भी इनके साथ चली जाओ.	కావాలంటే నువవు కూడా వాళలతో వెళలచచు.
हम सबके लिए.	మన అందరికీ ఇది సూసెడ మిషన.
और वकत की तलवार हमारे सिर पर लटकाकर तो कभी नहीं.	ఇంకా ఇంత తకకువ సమయంలో.
बताओ.	కొనసాగించు.
फिर वे गाडी में बैठकर चले गए.	ఆ తరువాత కారు డరెవ చేసుకుంటూ వెళలిపోయారు.
बरिटिश डरग तसकरों के लिए इस नेटवरक में जगह पाना मुशकिल होता है.	బరిటీష డరగ సమగలరలు ఆరంభశూరులు.
पहले इस बात का सबूत कि हमें उनकी इस बात पर यकीन करना चाहिए	ముందుగా ఆధారాలు, ఆ తరువాతే
तुमहें यह सब करने में कोई दिककत है?	నువవు ఇదంతా చేయగలవా?
आओ.	ఇలా రా.
फुटबॉल के बारे में?	ఫుట బాల?
हमें विमान को उतारने के लिए कोई चाहिए.	మనం విమానానని లయాండ చేయడానికి ఎవరో ఒకరి సాయం కావాలి.
-वह सथिर है. -वह मर रहा है.	- తన ఆరోగయం నిలకడగా ఉంది. - కషీణిసతోంది.
तुम जानना चाहते थे कि मैं कया जानती हूँ और मैं तुमहें बता रही हूँ.	నాకు ఏం తెలుసు అని అడిగారు, అది మీకు చెపతాను.
कहीं वे कोरी धमकियाँ तो नहीं दे रहे हैं?	వాళల బెదిరింపులని మనం సీరియస గా తీసుకోవచచా అని కదా?
अभी.	వెంటనే తీయ.
बाहर!	బయటకి వెళలండి!
आपके फैसले की परतीकषा में. . .	మీరు సానుకూలంగా సపందిసతారని ఆశిసతుననాం. . .
ये इसकी मदद कर रहे थे.	అతనికి సాయం చేయాలని వాళలు చూశారు.
- किसने? - हमने.	- ఎవరు చేశారు? - మన వాళలే చేశారు.
मुझे माफ कर देना.	సారీ.
जो बातें हम करेंगे, अनुमति लेने की, विमान उतारने के नियमों की,	మనం అడిగే, పరమిషన,
