साला!	అబబా!
जब मैं इसकी उमर का था,	వాడి వయసులో నేను ధవని అవరోధానని విచఛిననం చేసతుననాను.
चलो, इन बेवकूफों को	రండి, ఈ మూరఖుల ఆతమాభిమానానని సంతృపతిపరుచుదాం,
हमें तो यही लगता है	మనం అనుకోగలిగింది, అతను విసుగేసి వెళళిపోతాడు.
हाँ, देखा, मैंने वॉट की	సరే, చూడు, నేను వాట ఫోరెనసిక నివేదికను చూశాను ఇంకా. . .
तुमहें पयार का हक है, केविन.	నువవు పరేమించబడడానికి అరహుడివి, కెవిన. కానీ అది నీతోనే మొదలవుతుంది.
आगे मत बढना.	వదదు.
आलीशान शोक गुलदसता, साथ में	వెట చాకలెటలో ముంచిన అనాస పావురం బొమమలతో డీలకస బంధువియోగ పూలగుతతి.
कया आप द सेवेन की	సెవెన కొతత సభయురాలిని కలవడానికి సిదధమేనా?
यह बीच वाली कुरसी	ఈ మధయ కురచి ఇకకడనుండి తీసతారా? ధనయవాదాలు.
या तुमहें लगता है	లేదా నినను ఈసడించుకుంటాడని అనుకుంటుననావా?
कि उस सुपरहीरो ने	సూపర హీరో ఒక వృదధ మహిళను రెండుగా చీలచినా?
ये दोनों पहलू	ఎపపటికీ సుఖదుఃఖాలు రెండూ ఉంటాయి.
कंपनी ने तय किया है	సంసథ అతనిని ఇంకా బాధ పెటటకూడదని నిరణయించుకుంది.
मैलिसा डेबराओसकी के साथ	మెలిసా డబరోసకీతో కేవలం సననిహిత సంబంధం కంటే ఎకకువ, తెలుసా?
टोनी सिसेरोज	టోని సిసిరోస ఫయామిలీ రెసటారెంట
-मैं कहाँ हूँ?	-నేను ఎకకడ ఉననాను? -టోనీ సిసిరోసలో.
देखो, बात इतनी सी है	నువవు అణిచివేసిన శకతి చేత నిరోధించబడుతుననావు అంతే.
दोबारा मेरे और	నువవు మళళీ నాకూ నా భారయకు మధయ వసతే,
सच में, आने के लिए शुकरिया,	నిజంగానా, వచచినందుకు ధనయవాదాలు, కానీ నీకు ముఖయమెన పనులు ఉండి ఉంటాయి.
और अगर बनूँ भी तो	ఒకవేళ నేను చేరితే, నీకది ఇబబందిగా మారకూడదు.
. . . पिछले महीने की	. . . గత నెల నెలకొలపిన అతయధికం కంటే పది శాతం తకకువ.
तब मैं चाहता हूँ	నువవు ననను గురతుచేసుకోవాలి, దొంగమొహందానా.
और उनके नवजात बेटे,	ఆమె చంటి బాబుకు అపాయం తలపెటటినటటు ఆరోపణ, థియాడోర.
नहीं. मैं बडी बहन हूँ.	లేదు. నేను నీ అకకను. నీకోసం నేను తిరిగి రావాలి, కానీ. . .
-हाँ.	-సరే. -అవును.
दोपहर तक सथानीय चैनेल होंगे,	మధయాహనం వరకు దేశీ ఛానెళళు, ఒకకో దానికి పది నిమిషాలు, 2: 00 వరకు విదేశీవి.
फिर, तीन घंटे बाद,	మూడు గంటల తరువాత నేను టోనీ సిసిరోసలో మేలకొననాను.
-अचछी बात है.	-గురతుంచుకుంటాను. -అతని అచూకీ లేదు.
देखो, भाड में जाए यह दुनिया	చూడు, మంచిగా ఉండటానికి బాగుండటానికి మధయ గందరగోళపరిచే పరపంచం సంగతి వదిలేయ.
अचछा. हम यह खेल	సరే. మనమిది ఇదివరకు మాటలాడాము, ధనయవాదాలు.
तुमहें उसे साल की	నువవు ఆమెకు టీచర ఆఫ ద ఇయర అవారడు అందించాలసుంది,
तुमहें लगता है	నువవు ననను ఆశయరయపరచగలవని అనుకుంటుననావా?
कुछ बता सकती हो	అమమాయిలు అదెలా పూరతి చేసతారో తెలియచేసతారా?
बडे देवदार जूनिपर	లారజ పెనస జూనిపర కాలిబాట లేదు సెయింట అగసటీన గలాస
कुछ रातें पहले,	కొనని రాతరులకు ముందు, జెరసీలోకి సూప ఉగరవాది
कि तुमने उसे	పెటటావని సంతోషిసతాడని అనుకుంటుననావా?
कयोंकि मेरा बेटा	ఎందుకంటే నా కొడుకు ఈ భూమిపెన సాధారణ చిననపిలలాడిగా
हैलोथीन का टीका.	హలోథేన ఇంజకషన. నా వదద ఇవి రెండు మాతరమే ఉననాయి, హా?
उसने कभी नहीं सोचा	ఆమె ఎపపుడూ మరయాదగా ఉండాలని లేదా బాగుండాలని పటటించుకోలేదు.
चुप हो जाओ!	నోరు మూసుకోండి. నోరుమూసుకోండి అంతే!
भाड में जाओ तुम.	పోవే.
पोरटलैंड से सिएटल तक,	పోరటలయాండ నుండి సియాటెలకు, తరువాత ఏం రాబోతుందో చూసతుండండి, కేఎంఎఫటి.
जब आप गरह के	ఈ భూమి మీద పరతి ఒకకరికంటే ఉననతంగా ఉండటం
कयोंकि तुमने	ఎందుకంటే నువవు నీ పరియురాలిని చంపేశావు.
हमें सच में	మేము నీ గురించి చాలా ఆందోళన చెందాము.
आराम से बैठो.	కషణం విశరాంతి తీసుకోండి. నాకు కురచీ ఇసతారా?
-मुझे बाहर निकालो.	-ననను బయటకు రానివవండి. -నువవు మానుండి ఎపపటికీ తపపించుకోలేవు.
तुमहें पता था?	నీకది తెలుసా? ఎవరెనా తమకు తాము అలా చేసుకుంటారా?
मतलब, हमें तो बस	అంటే, మేము అందరం మా పనిలో సామరథయం కలిగి ఉండాలి అంతేగా?
-जबरदसत.	-అభి-మ-నోహరం. -చాలా మంచిది.
पर, मेरे पास	అయినా, నేను ఫోన చేయడానికి నాకు ఎవరూ లేరు.
वॉट की उपाधयकष	అతనిపె వాట ఉపాధయకషులు మాడలిన సటిలవెలను హతయ చేసి,
बगल के चरच में,	పొరుగున ఉనన చరచిలో దాదాపు రెండు డజనల పోలీసులు ఉననారు.
मुझे पता है	నేను మీకు ఏం చేశానో నాకు తెలుసు, సరేనా?
कहीं चली जाऊंगी	తీసుకుని పారిపోతాను, ఇక మీరు మమమలని ఎపపటీకీ కనుగొనలేరు.
मुझे तो यह	అవి ఎకకువ మతతునిసతాయని అనుకుంటుననాను.
अगर उसे कभी	అతను నీ గురించి ఎపపటికెనా తెలుసుకుంటే. . .
वह जिंदा है.	ఆమె బరతికే ఉంది. వాట ఆమెను ఎకకడో నిరబంధించాడు.
जब वह यह जानेगा	అబదదం చెపపావని తెలుసుకుననాక తనకెలా ఉంటుందని అనుకుంటుననావు?
अजीब बात है	నిజానికి, నీకిపపటికే ఒకటి లేకపోవటం బాగోలేదు.
यह देश अब	ఈ దేశం ఇపపుడు పరపంచానికంతటికీ శతరువు.
कम से कम,	ఇకకడ కనీసం ఒకరికి కొంచెం తెలివి ఉంది.
पडोस में	పొరుగువారిలో చెడడ పేరు పొందుతుననావు
पीला घर	యెలలో రాంచ హౌస సూరయుడికి 60 సె.
अरे. हाँ.	హే. అవును. కేపస ఫర కరెసట అపపటినుండి. అవును.
मान लो, अगर,	నీకు తెలుసా, ఒకవేళ సపోరటస ఇలసటరేటెడ తెలుసుకుందనుకో ఏమవుతుంది?
ए.	హే. హే. హే.
-कट.	-కట. -ఇంకా రికారడవుతుంది.
द	ది బాయస
अचछा.	సరే. నువవు నీ బూటలో ఏం పెటటుకుననావు?
-सच?	-నిజంగానా? -చాలా బాగుంది, కదా?
