और चाबियाँ?	మరి తాళాలు?
गति तीन किमी परति घंटा	వేగం గంటకు సుమారు మూడు కిలోమీటరలు
है ना?	కదా?
हाँ.	అవును.
हाँ, उनकी बडी मेहरबानी है.	అవును, అది ఆమె ఉదార సవభావానికి నిదరశనం.
हाँ.	అవును.
और यह केए29 का एक बॉरडिंग पास है.	అది కెఎ29 బోరడింగ పాస.
हाँ?	సరేనా?
और यह पहचान पककी है?	అయితే అది ఖచచితమెన ఐడి అంటావా?
हाँ?	చెపపు?
या तो तुम हमारे रासते से यह कबाड साफ करवा दो,	ఈ టరాఫిక నుండి ననను తపపించండి,
फिर एक और, फिर उसके बाद एक और.	ఇంకొకరు ఆపె ఇంకొకరు.
मैंने.	అది నేనే.
अपनी आँखें बंद कर!	కళలు మూసుకో!
उसका परिवार हमारी बंदूक के निशाने पर होना चाहिए.	వాళల కుటుంబసభయుల మీద గన పెటటాలి.
इस आदमी की वजह से ही सारी मुशकिलें खडी हो रही हैं. उनहोंने हमें यही बताया था.	అతనే అనని సమసయలని సృషటిసతుననాడు. మనకి చెపపింది అదే.
उतरो! मैंने कहा, नीचे आओ! उतरो!	కూరచోండి! కూరచోండి, నేను చెబుతుననాను! కూరచోండి!
हम इस फोन के पंजीकृत पते पर एक टुकडी भेज रहे हैं.	ఈ ఫోను రిజిసటరడ చిరునామాకి మేము పోలీసు బలగాలని పంపిసతాం.
मदद भेजो, मदद भेजो.	వెనకకి తగగండి, వెనకకి తగగండి.
इस फलाइट पर किसी और को मरने की कोई जरूरत नहीं है.	ఈ విమానంలో ఎవరూ చనిపోనవసరం లేదు.
अगर मेरी बात समझ आ गई हो तो बस सिर हिला दो.	నీకు అరథమెతే తల ఆడించు చాలు.
अचछा. बीच में बोलने के लिए	సరే. మీ పరసంగానికి అడడు వచచినందుకు సారీ,
ये इस देश के दो सबसे कुखयात मुजरिम हैं.	మన దేశంలో అతయంత కరడుగటటిన నేరగాళల జాబితాలో వాళలిదదరూ ఉననారు.
हाँ. मुझे यकीन है काम हो जाएगा.	అవును. ఇది పని చేసతుందని ఖచచితంగా చెపపగలను.
तो फिर जाओ.	అయితే, వెళలు మరి.
टारगेट अब दृशय में है.	నిఘా కెమెరాలలో టారగెట కనిపించింది.
हाँ, ठीक है, बोलो.	అలాగే, సరే, సరే, కొనసాగించు.
और मैं तुमहें तुमहारे करियर की एक बडी खबर देने जा रहा हूँ.	ఇది మీ జీవితంలోనే అతి పెదద సంచలన వారత.
माफ करना, कौन बोल रहा है?	సారీ, మీరు ఎవరు?
- तो आपको. . . - हमें इसे रोकना होगा.	- కాబటటి మీరు చేయవలసిందలలా. . . - మనం దీనిని వెంటనే ఆపాలి.
जिनके शेयरों की कीमतें	వచచే గంటననరలో,
कुरसी की पेटी खोलो! मैं कहता हूँ, उठो!	బెలటు తీయి! లేచి నిలబడు!
तुमने उस औरत को गोली मारी थी.	ఒక మహిళని కాలచావు.
जो कुछ भी है, वहाँ रकषा वाहन भेजो.	అవతలి వెపు. . . ఆ పొలాలకి అటు వెపు పరదేశానికి పంపిదదాం.
लेकिन वह काफी छोटा है, तो वहाँ जाने की संभावना कम है.	కానీ అది చాలా చిననది, అందువలల ఆ ఎయిర ఫీలడ ని వాళలు వాడుకోకపోవచచు.
तो वह बीच में आकर किसी को नाराज नहीं करना चाहतीं.	ఆమె జోకయం చేసుకోనని చెబుతోంది.
हमें जो तसवीर भेजी गई थी, उसका टैटू इसकी इनसटागराम की तसवीरों से मेल खाता है.	ఆ ఫోటోలో ఉనన టాటూ, ఇంసటాగరామ లో ఆమె ఫోటోలతో సరిపోలుతోంది.
मजबूत सथिति में है और यूरो के मुकाबले थोडा ऊपर चढा है.	ఇంకా యూరో కననా సవలపంగా పెరిగింది.
मुझे इससे कोई फरक नहीं पडता!	ననను రెచచగొటటదదు!
हाँ, बोलो.	చెపపు.
तो लड सकते हैं?	పోరాడాలా?
कौन सा कबाड साफ करवा दूँ?	ఏంటి తపపించాలి?
एफटीएसई 100 सूचकाँक पर दो ऐसी कंपनियाँ हैं,	ఫెనానషియల టెమస సటాక ఎకస ఛేంజ టాప 100 జాబితాలోని రెండు కంపెనీల షేరల ధరలు,
- विमान नीचे उतर आए. - बिलकुल.	- ఆ విమానం లయాండ అయయే వరకూ వేచి చూడాలి. - ఖచచితంగా.
वाहन अब दिखने चाहिए. पुषटि करो कि तुम उनहें देख पा रहे हो.	వాహనాలు మీకు కనిపిసతూ ఉండాలి. మీ నిఘానేతరాలు వాటిపె ఉననాయని ఖరారు చేయండి.
विततीय खबरों पर एक तेज नजर.	ఫెనానషియల వారతలని ఇపపుడు కలుపతంగా పరిశీలిదదాం.
हमारा यही समझौता हुआ था.	అది మన ఒపపందం.
हाँ, काट दो.	జాగరతత.
- डरोन भेजो, पलीज. - डरोन भेज दो.	- డరోన ని అటు వెవు మళలించండి, పలీజ. - డరోన ఆ దిశగా సిదధం.
या ये जलदी में हैं.	లేదా తపపించుకోవాలనే ఆతరుత కావచచు.
यही हुकम है.	అది మనకి ఇచచిన ఆదేశం.
चेहरा सामने!	ముఖం ముందుకు పెటటండి!
. . . समुदर सतरों में	. . . అనివారయమెనదాని గురించి హెచచరిక,
खुद को हमारे हवाले कर दो.	పరతిఘటించకండి.
तैयार हो?	రెడీ?
बेशक.	ఖచచితంగా.
अगले डेढ घंटे में एकाएक बहुत नीचे गिरने वाली हैं.	విపరీతంగా పతనం కాబోతుననాయి.
ठीक है. अब.	సరే. ఇపపుడు, ఇపపుడు.
निकटतम विकलप नफीलड के पास आरएएफ बेनसन है.	దానికి దగగరగా ఉండేది నయూ ఫీలడ పరిధిలోని రాయల ఎయిర ఫోరస బెనసన సథావరం మాతరమే.
वे कहाँ हैं?	వాళలు ఎకకడికి వెళలారు?
मेरी मदद करो!	ఎవరెనా నాకు సాయం చేయండి!
- तुमहें कया दूँ? - मैं कहता हूँ, दो.	- ఏం ఇవవాలి? - ఇవవు.
तुमहें?	నువవు చసతావా?
मैंने सुना तुमने कया कहा.	నేను విననాను.
हमें ये वाहन दूसरे रासते से भेजने होंगे.	మనం ఈ టరాఫిక ని వెనకకి పంపాలి.
बोलो!	మాటలాడండి!
ठीक है.	సిదధంగా ఉననాం.
उसने कहा था वह रहती है. उसने फोन पर ऐसा ही कहा था.	తను ఇలలు ఇదే అని చెపపింది. ఆమె ఫోనులో ఆ విషయం సపషటంగా చెపపింది.
हम चले.	మేము వెళతుననాం.
लेकिन धीरे-धीरे मानें.	కానీ నిదానంగా అరథం చేసుకుని మెలగాలి.
उनकी सीमा में रहना लेकिन पीछा टरैकर से करो.	మీరు ఆ పరిధిలోనే ఉండండి కానీ టరాకర మిమమలని గమనించేలా చూసుకోండి.
इंकार?	ఎదురుతిరగడమా?
तुम मेरी बात सुन रहे हो?	వింటుననావా?
किसने किया?	ఎవరు?
किसने किया?	ఎవరు?
और यह होगा कैसे?	అయితే ఇదంతా ఎలా జరుగుతోందో చెబుతావా?
चलो, चलो, चलो!	వెళలండి, వెళలండి, వెళలండి!
पलीज, एडगर.	దయచేసి నా మాట విను, ఎడగర.
डिटेकटिव सही कह रहा था. उनहें वापस बुलाओ.	ఆ డిటెకటివ చెపపింది నిజం. అనని దళాలని వెనకకి పంపండి.
लेकिन एफटीएसई 100 सूचकाँक सथिर बना हुआ है.	అయితే ఫెనానషియల టెమస 100 సంసథల షేరలు సథిరంగా ఉననాయి.
चलो.	వెళదాం పద.
अगर तुम देखने की जहमत उठाओ तो.	మీరు కొదదిగా తల తిపపి చూడగలిగితే బాగుంటుంది.
यह किसने किया?	ఎవరు?
अब	ఇపపుడు
तुमने वह खबर उसे दी थी.	కానీ దాని దవారా ముందు నువవు కొంత డబబు సంపాదించి తరువాత వారతని రాయనిచచావు.
बस.	అదీ, అంతే.
हाँ.	అదుపులోనే ఉంది.
अब इसे उसके सिर पर रखो.	ఇపపుడు ఆమెని పెకి కనిపించేలా పెటటు.
अपने घुटनों पर बैठो!	మీ మోకాళల మీద కూరచోండి!
धत तेरे की.	ఛ.
