जून लेंकर	జూన లెంకర
वह काफी जवान थी जब उसने तुमहें जनम दिया था.	మీ అమమ చినన వయససులోనే నినను కంది.
- कि यह बिलकुल सही समय पर हुआ है. - बस करो.	- వరుసగా జరుగుతుననాయి. - ఇక చాలు.
- मैंने उनहें उस मासूम बचचे को गोली मारते देखा था. - ठीक है.	- వాళలు ఆ పిలలాడిని కాలచడం నేను చూశాను. - సరే.
हम तुमहारी तरह लचीले नहीं हैं.	నీకుననంత అండ మాకు లేదు.
- यह कया है? - तुमहारी माँ देख रही हैं, ठीक है?	- ఏంటిది? - మీ అమమే చూసతోంది, సరేనా?
हम फलैट में घुसे. एक पडोसी ने 999 को फोन किया था.	మేము ఇంటలోకి పరవేశించాం. పొరుగున ఉండేవారు ఎవరో 999కి కాల చేశారు.
- हाँ, पर तुम. . . - सुनो.	- అవును, కానీ నువవు. . . - చూడండి.
कयों न हम तुमहारे रहने की जगह बदलने की कोशिश करें, हाँ?	నీ ఫలాట ని మారచే పరయతనం చేదదాంలే, ఏమంటావు?
मुझे इस सबके लिए बेहद खेद है.	నేను చేసిన దానికి కషమాపణ కోరుతుననానని.
उनहोंने उस बेचारी महिला के बेटे के साथ असल में कया किया था?	పాపం, ఆ అమాయక డోరిస కొడుకుని వీళలు ఏం చేశారు?
तुमहें विशवास होता है? उसकी सवीकारोकति पर?	అతని నేరాంగీకారానని నమముతుననావా?
कयोंकि उनहोंने यही कहा था. देखो.	అలా చేసతే కానీ నాకు నినను ఇవవమననారు. చూడు.
तो कहीं अगर उनहें तुमहारे घर का पता मिले, हमें तैयार रहना होगा.	వాళలకి నీ ఇలలు ఎకకడుందో తెలిసతే ఇక అంతే సంగతులు.
कुछ ऑन. . . कया?	ఏవేవో. . . అంటే ఏంటి?
गिरोह संबंधी चीजें. वे दिखा रहे हैं कि आगे वे कया करेंगे, समझी?	ముఠా అలలరలు. తరవాత వాళలు ఏం చేసతారో చూపుతుననారు.
मुझे पता था कि मुझे तुमहें मेरा बैमी और एसकोविच खिलाकर मोटा करना होगा.	నా సపెషల పరోటాలు, నెలలూరు చేపల పులుసు చేసిపెటటి నినను లావు చేయాలని నాకు అపపుడే అరథమెపోయింది.
- वे तसवीरें? - वे चेहरे.	- ఫోటోలా? - ముఖాలు.
मेरी कार जला दी गई.	నా కారు బూడిద అయిపోయింది.
जनमदिन मुबारक हो, माँ.	పుటటినరోజు శుభాకాంకషలు, అమమా.
अचानक आ धमकते हैं, आदेश देना शुरू करते हैं, हमसे डरगस बिकवाते हैं.	హఠాతతుగా వసతారు, ఆదేశాలు ఇసతారు, మాకు డరగస ఇసతారు.
फासीवादी लोग, कॉमबैट लीग.	ఛాందసవాదులు, ఏమెనా చేసతారు వాళలు.
हमारे पास एक चशमदीद गवाह है.	దానని కళళారా చూసిన వారు మాకు చెపపారు.
उसे बेहद गरव होता. हाँ, सच में.	మీ అమమ చాలా గరవ పడేది. నిజంగానే చెపతుననా.
मैं तुमहें दोबारा वह घटना दोहरा कर बताऊँ?	మళలీ ఆ రోజు జరిగిందేంటో చెపపనా?
हम ऐसी ही दुनिया में रहते हैं. इसके आदी हो जाओ, समझे?	మన పరపంచం ఇదే. దానికి అలవాటు పడు, సరేనా?
जाहिर तौर पर, तुम उसकी अनयतर उपसथिति की गवाही नहीं दे सके थे.	ఎరరొల నినను కలిశాడననది నిజం కాదని చెపపావట కదా.
तब दरअसल वह तुमहारी नाई की दुकान में काम के लिए पूछने आया था.	నీ బారబర షాప లోనే పని కోసం వచచాడని చెపతుననాడు.
"कृपया, माँ. बस पाँच मिनट. बस पाँच मिनट. "	"పలీజ, అమమా. ఒకక అయిదు నిమిషాలు, అయిదే నిమిషాలు, " అంటూ.
पर फिलहाल. . . जाँच चल रही है.	కానీ ఈ. . . ఈ దరయాపతు ఇంకా కొనసాగుతోంది.
हाँ.	హా.
हाँ.	హా.
किम, मैं यहाँ एक कॉल का इंतजार कर रहा हूँ.	నాకు ఒక ఫోన కాల రావాలి, దాని కోసం ఎదురు చూసతూ ఉననా, కిమ.
ठीक है. "हासाड"?	సరే. "హసాద"?
इंटरनेट पर ढूँढा, वगैरह-वगैरह. कयों?	ఇంటరనెటులో గాలించా, ఇంకా చాలా చాలా చేశా. ఎందుకు?
हाँ.	హా.
हाँ.	హా.
कोई नहीं.	ఎవరూ లేరులే.
हाँ.	హా.
हाँ.	హా.
पडोसी, वह झगडा, वह खून, शवपरीकषा.	పకకింటివాళల ఫిరయాదు, గొడవ, రకతం, పోసట మారటమ.
हाँ, और?	అయితే?
यह बस आम परकरिया है. बस इस पर धयान मत देना, ठीक है?	ఇది మామూలుగా జరుగుతూ ఉండేదే. నువవు ఆన లెన లో దీని కోసం చూడకు, సరేనా?
मैं तुमहारी रकषा करना चाहता हूँ.	నినను కాపాడాలనుకుంటుననా.
आरोप है कि तुमने कारयसथल पर किसी पर दादागिरी की.	ఆఫీసులో మీరు బెదిరింపులకు పాలపడడారట.
हाँ.	హా.
मरिया डी सूजा की. कलाइव सिलकॉकस केस.	మరియా డి సౌజాకి సంబంధించినది. కలెవ సిలకాకస కేసు.
आठ सालों से.	ఎనిమిదేళల నుండి.
हाँ.	హా.
तो सही हो या गलत, वे सजा के तौर पर या तो तुमहें मार डालेंगे	అది ఎలాగెనా కానీ, వాళలు నినను ఏమెనా చేయవచచు,
लगता है मैं उस सदमे से कभी आजाद नहीं हूँगा.	ఆ సంఘటనని నేను మరచిపోలేకపోతుననా.
समझ रही हो? वह सुरकषित है.	మీకు అరథమవుతోందా? అతనికి రకషణ ఉంది.
तो मैंने लैब से बात की.	నేను లయాబొరేటరీ వాళలతో మాటలాడా.
आपने कितने हमलावरों को देखा था?	మీరు ఎంత మందిని చుశారు?
आपको यहाँ आने की जरूरत नहीं थी.	మీరు రావాలసిన పని లేదు.
हाँ. हाँ, हम यहाँ बाहर हैं.	హా, మేము ఇకకడ ఉననాం.
जेनी, आइजैक की माँ, वह. . .	ఐసాక అమమ, జెననీ. . .
कया किसी ने आशरय गृहों में फोन करना शुरू किया? हमारी गुमशुदा महिला को ढूँढते हुए.	శరణాలయాలకు ఎవరెనా కాల చేసతుననారా? మనం వెతుకుతునన వయకతి కోసం.
शायद वह सहयोग करने के बारे में सोच रहा है. . .	ఇపపుడు సహకరిదదాం అనుకుననాడేమో. . .
कया आप बहरे हैं? मैंने कहा नहीं था कि उसे मैंने गोली मारी थी?	మీకేమెనా చెముడా? కాలచింది నేనే అని చెపపా కదా?
कयों न मैं आपको आपके घर छोड आऊँ? चलिए.	మిమమలని ఇంటలో దింపనా? పదండి.
उससे कहना. . .	అతనికి చెపపండి. . .
माफ करना, कया?	మననించాలి, ఏమననారు?
गिरफतार करने वाले ऑफिसर: डीसी टोनी गिलफॉएल	అరెసట చేసిన పోలీసు ఆఫీసర: డిటెకటివ కానసటబుల టోనీ గిలఫోయిల
हम उन सबसे सामने आने का अनुरोध करते हैं	మంగళవారం మధయాహనం రౌన టరీ పారక పరిసరాలలో ఉనన వారందరికీ
ठीक है, तो हमारी योजना कया है?	సరే, ఇపపుడు ఏం చేదదాం?
तो, कया बात है?	ఏంటి సంగతి?
मुझे माफ कर दो.	సారీ. సారీ.
दरअसल, तुमहें देखना चाहिए कि वे गरुप चैट में तुमहें कया बुलाते हैं. वे. . .	గరూప చాట లో నీకు పెటటిన పేరును నువవు చూడాలి. వాళలు. . .
माफ करना. आप वयसत हैं?	మననించాలి. మీరు బిజీగా ఉననారా?
उसने अपराध सवीकार कर लिया.	అతను ఒపపేసుకుననాడు.
जो सिसोन	జోయి సికకోన
एडालेइड बरौज की पयारी याद में	అడిలెడ బరోస జఞాపకారథం
आपका शुकरिया अदा करने के लिए.	మీకు థయాంకస చెపదామని.
- माफ करना, तुम ठीक हो? - हाँ, मैं ठीक हूँ. मैं तुमहारी कया मदद कर सकती हूँ?	- సారీ, మీరు బాగానే ఉననారా? - హా, బాగానే ఉననా. చెపపండి.
मैं किसी मुसीबत में नहीं पडना चाहता.	నాకు చికకులలో పడాలని లేదు.
यह थोडा सुविधाजनक नहीं है?	ఇది అంతా బాగా నమమడానికి బాగుంది కదా?
हैलो. मैंने राउनटरी पारक में हुई गोलीबारी के बारे में बताने के लिए फोन किया है.	నేను రౌన టరీ పారకులో జరిగిన కాలపుల విషయమె కాల చేసతుననాను.
हाँ, पर मैंने तुम पर दादागिरी नहीं की थी. मेरा मतलब, हे भगवान, कलोई.	హా, కానీ బెదిరించలేదు కదా. ఏంటి కలోయి అలా అంటావు!
ठीक है. खैर, तुमहें पैरों में काफी बुरी चोट आई थी.	సరే. నీ కాళల పరిసథితి దారుణంగా ఉంది.
मैं कोई नाम नहीं बताऊँगी!	పేరలూ, గీరలూ వదదు!
हैलो, जून. मैं बैका बोल रही हूँ,	హాయ, జూన. నేను బెకకాని,
तुम यह कब से कर रही हो?	ఈ పని ఎంత కాలం నుండి చేసతుననావు?
- तुम ठीक हो? - हाँ.	- నువవు బాగానే ఉననావా? - హా.
नौकरी से निकाल दिया.	అతడిని ఉదయోగంలోంచి తీసేశారు.
उससे संपरक नहीं तोड सकती थी.	మాటలాడకుండా ఉండలేను.
वहाँ.	ఇలా రా.
यह मजाकिया है.	ఏడిచావులే.
यह साफ है.	ఎందుకు తెలీదు!
सच में? निरदोष?	నిజంగా? ఏ హానీ జరగదా?
ढूँढना बंद करो.	నా కోసం వెతకడం ఆపండి.
वह दस सालों से सकेलेरोसिस से गरसत है.	పదేళల నుండి మలటిపుల సకలెరోసిస వయాధితో బాధపడుతుననాడు.
यहाँ से हिलना भी मत. तुम दोनों.	మీ ఇదదరూ ఇకకడే ఉండండి.
मेरा मतलब, वे हमारे साथ और कया बुरा कर सकते हैं?	ఇంతకననా వాళలు మనలని ఇంకేం చేయగలరు?
मैं पुषटि कर सकता हूँ कि एक आदमी को गिरफतार कर लिया गया है	ఈ కేసులో భాగంగా మేము ఒకరిని అరెసట చేసతాం,
यह निषपकष रूप से एक उचित धारणा है.	ఎవరెనా ఆ అంచనాకే వసతారు.
पर दूसरा हमलावर, जिसने बचचे को गोली मारी थी, वह शवेत आदमी था.	కానీ పిలలాడిని కాలచిన వయకతి మాతరం తెలలవాడు.
देखो, अपने बॉस की सलाह मानो. इस मामले की जाँच करना बंद कर दो.	చూడు, బాసుగా నేను చెపతునన మాట విను. వదిలేయ.
शायद मैं यह कहने की कोशिश कर रही हूँ कि. . .	నేనేం చెపపాలనుకుంటుననానంటే. . .
चलो भी. तुम हैकनी डाउनस के डिटेकटिवों को जानती हो.	భలేవారే. హయాకనీ డౌనస సటేషనులోని డిటెకటివస ఎలాంటి వాళలో మీకు తెలుసు కదా?
हाँ, उसे गोली लग गई, है न?	హా, ఆ తుపాకీ వలలే ఆ పిలలాడి గాయమెంది.
- आप यहाँ कयों आई हैं? - मैं यहाँ मदद करने आई हूँ.	- ఎందుకు వచచారు? - సాయపడదామని వచచా.
- पकका? - हाँ.	- అంతే అంటావా? - హా.
मुझे याद है जब एरॉल पहली बार तुमहारी माँ को लेकर आया था.	ఎరరొల మొటటమొదటిసారి మీ అమమని నా దగగరికి తీసుకొచచినపపటి సంగతి నాకు ఇంకా గురతుంది.
उसने उसे काटा!	అతను ఆమెని కొరికాడు!
चिंता मत करो. बस. . .	కంగారుపడిపోవదదు. మామూలుగా. . .
जानता हूँ.	తెలుసు.
तुमहें अपने हर दोसत की जरूरत पडेगी.	నీకు తెలిసిన మితరులందరి సాయమూ నీకు అవసరం అవుతుంది.
खासकर डोरिस जैसे लोग.	మరీ ముఖయంగా డోరిస లాంటి వాళలు.
तो. . .	అయితే. . .
हाँ, सवीकार कर रहा हूँ.	అంగీకరిసతుననాను.
हाँ, इस केस पर मैं इतना "समय" बिता चुकी हूँ कि मुझे सब याद हो गया है.	హా, నా బురరలో దానని "వృథా పరయాస"గా ఫీడ చేసేశాను.
ए. काम पर थोडा खाना बच गया था, इसलिए. . .	హేయ. నేను పని చేసే రెసటారెంటులో కొనని మిగిలాయి, కాబటటి. . .
- कया तुमने साकषातकार की टेप की समीकषा की? - हाँ.	- ఇంటరవయూ వీడియోను చూశావా? - చూశా.
बेशक, तुमहें जो भी सही लगे.	భలేదానివే, నీకు ఏం కావాలననా నేను సిదధం.
कृपया, यह बंद करो.	దయచేసి, ఇక ఆపండి. ఆపేయండి.
अगर आपको लगता है कि आपने कुछ सुना या देखा था,	మీరు ఏమెనా చూసినా, ఏదెనా విననా,
पर हमने उस आदमी को ढूँढ निकाला.	అతను ఎవరినెతే కలిశానననాడో, అతని వదదకి వెళలాం.
"निरदोष. " उसने यही कहा. "निरदोष. "	"ఏ హానీ జరగదు. " అతను అనన మాట ఇది. "ఏ హానీ జరగదు. "
जानती हो, बस यह उममीद मत करना कि यह करने के बाद कोई तुमहें पसंद करेगा.	కానీ, ఆ విషయంలో అందరికీ నువవు నచచుతావని అనుకోకు.
कृपया, यहाँ आओ.	దయచేసి ఇకకడికి వసతారా?
चौबीसों घंटे, यह सुनिशचित करने के लिए कि तुम अपना होमवरक पूरा करो.	నీ హోమ వరక పూరతయయే దాకా ఇకకడే, రోజంతా ఉంటాడు.
कि तुम आइजैक पर गोली चलाने वाले की जाँच न करो	ఐసాక ని కాలచినవాడిని పటటుకోవాలని చూసేవాళలని బెదిరించాలని చూసతుంటే,
कया? माफ करना, वह कया है?	ఏంటి? చెపపు ఏంటి?
मुझे माफ कर दीजिए, डोरिस.	మననించండి, డోరిస.
हाँ. मेरा वीआईपी फैसला लेगा.	నా వీఐపీ ఏదంటే అది.
जैसा कि वे कहते हैं, सब केवल अपने बारे में सोचते हैं, है न?	ఎవరిది వాళలే చూసుకోవాలి అనేది నిజమే కదా?
यह एक शानदार मानक है.	అది ఉంటే మిగతావననీ వృథా అననటటే.
कया उसने बताया था कि वह कया काम करती थी?	తను ఏం పని చేసేదో చెపపిందా?
- उसने इनकार नहीं किया. - विशवास ही नहीं होता है.	- కాదు అని అతను అనలేదు. - దేవుడా.
कयोंकि मेरा मतलब, अगर तुम यही करना चाहती हो, तो करो.	నీకు అదే చేయాలనుంటే, అలాగే కానివవు.
हाँ.	అవును.
तो, उस दूसरे लडके के चेहरे का हाल कैसा है?	నినను కొటటినవాడు ఎలా ఉననాడు?
अह-अह.	అహా.
वह कौन है?	ఇంతకీ ఎవరు ఆమె?
एरॉल ठीक था.	ఎరరొల కి పరవాలేదు.
अरे, हाँ.	అవును.
धत.	ఛ.
हाँ.	అవును.
हाँ.	అవును.
पैटरिक कया तुमहारा दिमाग खराब हो गया है? ? ? ? ?	పాటరిక నీకు పిచచి పటటిందా? ? ? ?
हे भगवान.	బాబోయ.
नहीं. उसने मेरा नाम एक सूची में डलवाया, बस इतना ही.	లేదు. ననను జాబితాలో చేరచాడు, అంతే.
वह दोबारा करेगा.	ఆ పని మళలీ చేసతాడు కూడా.
यहाँ. उततर में सथित रिओ गरांडे में.	ఇదుగోండి. ఉతతర భాగంలో ఉండే రియో గరాండేలో కలుసుకుననాం.
तुमहारे बचचे, आइजैक विटलो को.	అదే, ఐసాక విటలో అనే పిలలాడిని కాలచిన కేసులో.
मुझे यह कभी समझ नहीं आएगा	నువవు ఎందుకు వెళలిపోయి, వాళలలో చేరావు,
उसे नई जानकारी मिली है.	తన దగగర ఎవరికీ తెలీని సమాచారం ఉంది.
डॉरिस मैथिस: भरमित माँ?	డోరిసమయాథిస: భరమలో బతుకుతునన అమమనా?
उसने बस एक झूठी कहानी रची थी, समझे?	అతను ఒక కథ అలలాడు అంతే.
तुम यह अचछी तरह समझते हो, है न?	అది నీకూ తెలుసు కదా?
उनकी समीकषा जारी है.	వాటిని ఇంకా మేము సమీకషిసతుననాం.
हम पहले से ही नजरबंद हैं.	మనం ఇపపుడు ఎలాగూ గృహ నిరబంధంలోనే ఉననాం.
यह तुमहारे लिए सामानय बात है? तुमहारे और तुमहारे आदमियों के लिए.	అది మీకు మామూలేనా? మీకు, మీ పాత మితరులకి?
वह परेस कॉनफरेंस देखना चाहती थीं.	తను అది చూడాలనుకుంది.
और लोग,	ఇంకా జనాలు,
यह. . .	అపపుడు. . .
तुम अंतर नहीं कर पाए.	నీకు ఆ ముఖాలననీ ఒకేలా కనిపిసతాయి.
और यह वही है? जिसने गोली चलाई थी.	అతనేనా? కాలచిన వయకతి.
सजा दुकान से चोरी का संदेह	అపరాథము దుకాణంలో దొంగతనం చేసిందని అనుమానం
फिर भी, मेरा मतलब, चैबीसों घंटे सुरकषा करमी का साथ रहना बेहद शानदार है.	అయినా, రోజంతా ఇలా రకషణ అందించడం సూపర గా ఉంది.
- हमें सताते हो. कयों? - पीछे हटिए. नहीं, हम नहीं सताते हैं.	- ఇబబంది పెడతారేం? - ఆగండి. అదేం లేదు.
बिना मेरी मदद के.	కానీ, నా పాతరే లేదు అందులో.
बस अपारटमेंट में एक लडके से झगडा हो गया था.	అపారటుమెంటులోని ఒక వయకతిలే.
कया हुआ?	ఏంటీ?
कयों?	ఎందుకని?
उनहें कैसे पता?	ఆ విషయం వాళలకెలా తెలుసు?
और तुमहें पकका यकीन है कि वह हमारा मुसतफा है?	అతను మనం వెతికే మొసతాఫానేనా?
मुझे जवाब देना चाहिए.	ఫోన ఎతతుతాను.
डैड की यही खासियत थी कि उनहोंने कभी इस बारे में निरंतर शिकायतें नहीं की थीं.	కానీ నానన దాని గురించి పదే పదే గొణిగేవాడు కాదు.
पर अगर तुम मुझे बता दोगे कि गोली किसने चलाई थी, तो हम तुमहें सुरकषित रखेंगे.	ఎవరు కాలచారో చెపతే, నీకు ఏం కాకుండా చూసుకుంటాం.
पर सुनो, एक आदमी ने अभी-अभी मेरी आँखों में देखकर कहा	అయినా కానీ, ఒకడు నా కళలలోకి చూసి
बस अपने. . . समझे. . . बस अपने मनोरंजन के लिए.	అది కూడా. . . ఉతత పుణయానికే.
नहीं. पर उसे अपनी अंगरेजी सुधारना पसंद था.	తెలీదు. కానీ తన ఇంగలీషును మెరుగుపరుచుకోవాలని తనకి భలే ఆసకతిగా ఉండేది.
मुझे एक 17 वरषीय लडका दिख रहा है,	డబబులిచచి, బెదిరించి
पर आखिरकार उस मामले में परगति हो रही है.	కానీ పోలీసు శాఖలో పరిసథితులు ఇపపటికి మనకి సానుకూలంగా జరుగుతుననాయి.
तुम नहीं.	నువవు చెపపవదదు.
वह कौन था?	ఎవరది?
हाँ, जरूर.	అలాగే.
धत.	అబబా.
जो?	జోయి?
खैर, मैं साफ बता दूँ,	ఒకటి సపషటంగా అరథమయయేలా చెపతా, విను,
तुमहें पकका यकीन है?	అంతే అంటావా?
जब भी यहाँ आसपास कुछ भी होता है, तुम लोग हमेशा मेरे पास चले आते हो,	ఇకకడ ఏం జరిగినా, మీరు నా దగగరికే వసతారు,
भौतिक सबूत, शपथयुकत बयान.	ఆధారాలుననాయి, సాకషులు ఇచచిన వాంగమూలం ఉంది.
जाहिर तौर पर, उसने अपने पास रखा.	అతను ఉంచుకుననాడుగా.
वह निरदोष है.	అతని వలల ఏ హానీ జరగదు.
- जलदी करो. - पीछे हटो.	- తవరగా, తవరగా. - వెనకకి రా, వెనకకి రా.
जानती हो, जब मैंने उसे टीवी पर देखा. . . जब मैंने एरॉल को देखा,	నేను ఎరరొల ని. . . టీవీలో చూసినపపుడు,
किसे परवाह है? किसे परवाह वह कया चाहती है? सुनो, समझे? बस करो.	తనకేం కావాలో మనకి ఎందుకు? చూడు. ఇదే.
ए, भाड में जाओ. . .	దొబబేయ. . .
और फिर कया?	దాని వలల లాభం ఏంటి?
मूर सटरीट शेलटर से.	మూర సటరీట శరణాలయం నుండి చేసతుననా.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है, तो कयों न मैं तुमहारा नंबर ले लूँ?	సరే, నీ నంబరే నాకు ఇవవు.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
लोग अकसर आया करते थे.	ఎపపుడూ ఎవరోకరు ఇకకడికి వసతూనే ఉంటారు.
वे करूर होते हैं, है न?	చాలా కరూరులు.
हाँ. मैं कुततों के साथ आसानी से घुलमिल जाता हूँ.	హా. కుకకలకు నేను నచచేసతాను.
सिर पीछे.	తల వెనకకి వాలచు.
खैर, किसी ने तो कुछ जरूर कहा है. अगर हमने नहीं कहा, तो किसने कहा? डोरिस ने?	ఎవరో చెపపారు. మనం కాకపోతే, ఇంకెవరు? డోరిస?
- कौन? - जून लेंकर.	- ఎవరు? - జూన లెంకర ని అలా అననాలే.
बॉयफरेंड?	లవరా?
एरॉल ने दावा किया था कि जब उसकी गरलफरेंड की हतया हुई थी,	ఎరరొల, తన లవరుని హతయ చేసినపపుడు
देखो. वह मैं थी.	చూడు. ఆ ఫిరయాదు నేను ఇచచిందే.
वह उसी का हथियार था.	అది అతనిదే.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
तुम ठीक हो?	నువవు బాగానే ఉననావా?
तुमहें इसकी चिंता करने की जरूरत नहीं है.	కంగారుపడాలసిందేం లేదు.
टोनी की सबसे महतवपूरण बात यह है कि यह नौकरी ही उसकी जिंदगी है.	టోనీ, ఉదయోగమే పరాణంగా బతికే వయకతి.
मेरा मतलब, सवीकारोकति, यह किसी पेचीदा समसया का आसान हल है, है न?	నేరానని ఒపపుకుననాడు. అది చాలు, కదా?
मैं कभी नहीं चाहता था कि उसे गोली लगे.	ఆ తుపాకీ తూటా అతనికి తగలాలననది, అతను బలవవాలననది అససలు నా ఉదదేశమే కాదు.
जो कमबखत रेकसहैम वगरैह में रहता हो.	అది కూడా వరెకసమ లో.
हाँ, बेशक है.	హా, అందులో సందేహమే లేదు.
अरे, बस भी कीजिए.	ఇక చాలలే.
हाँ. तुम चाहते हो मैं बताना जारी रखूँ?	హా. ఇంకా చెపపమంటావా?
मुझे बताओ,	ఒక విషయం అడుగుతాను,
तुम ठीक हो.	నీకేమీ కాదు, మొనగాడా.
वह बौखला जाएँगे!	ఆయన అగగి మీద గుగగిలం అయిపోతాడు!
लगभग दो घंटे पहले,	సుమారుగా రెండు గంటల కరితం అనుకుంటా,
और उसकी ऊपर तक पहुँच है.	అతనికి పలుకుబడి ఉనన మితరులు కూడా బాగానే ఉననారు.
मैं नसलवादी नहीं हूँ. कसम से.	అలా అని నాకు జాతయాహంకారం ఏమీ లేదు. పరమాణపూరతిగా చెపతుననా.
निषपकष रूप से?	ఎవరెనా?
तो?	అయితే?
ए.	హేయ.
ए.	హేయ.
हाँ.	చెపపండి.
हाँ.	చెపపండి.
सचचाई यह है कि	నీ భరమల లోకంలో కాకుండా ఇకకడ,
ए.	హేయ.
डोरिस. अब वह तुमहारे लिए कौन सी नई मुसीबत पैदा कर रही है?	డోరిస. ఇపపుడేం కథ అలలుతోంది?
सच में! तुम जानती हो कया. . .	అసలు నీకు. . .
एक घटना के बारे में पूछताछ कर रहे हैं?	దరయాపతు చేసతుననాం.
सुरकषित?	అతనికి రకషణ ఉందా?
मुझे पता है कि यह कैसा सुनाई पडता है. मुझे पता है कि यह थोडा अजीब सुनाई पडता है.	ఇది కాసత వింతగా, విచితరంగానే ఉంటుంది.
टरकिश.	టరకిష అననమాట.
कैसी गडबडी?	అంటే?
नहीं.	లేదు. లేదు.
मैं तुमहारे साथ हूँ.	నాకు ఓకే.
हाँ.	పరవాలేదు.
कोई पुलिस ऑफिसर?	పోలీసా?
इसलिए यह धयान में रखना.	అదీ సంగతి.
हैलो, मैं कया मदद कर सकती हूँ?	హలో, చెపపండి.
ठीक है.	హా.
जो मंगलवार दोपहर को राउनटरी पारक इलाके में मौजूद थे.	మేము విననపం చేసతుననాం.
मुझे भी.	మిమమలని కలవడం కూడా.
अब कया?	ఇపపుడు ఏం చేదదాం?
तुमहें इस बात का पूरा यकीन है?	అంతే అంటావా?
कब से?	ఎంత కాలం నుండి?
नहीं. मैं कया मदद कर सकती हूँ?	లేదు. చెపపు.
दो.	ఇదదరిని.
फिर भी.	అయినా కానీ చెపతుననా.
नहीं.	లేదు, చెపపలేదు.
और?	నీకేం అనిపించింది?
