16 अपरैल, 2018	ఏపరిల 16, 2018
डरीमस एंड नाइटमेअरस मीक मिल की कहानी - डेटलाइन	డరీమస అండ నెటమేరస మీక మిల కథ - డేటలెన
जब उसे बंदूक रखने और नशा वितरण के लिए सजा हुई थी.	ఇంకా మతతుపదారథాల పంపిణీలో దోషిగా ఆరోపించిన సమయానికి వెళతుంది.
मीक ने मुझे बताया कि जेल में, उसे यह सपना आता रहता था	మీక, జెలులో ఉననపపుడు, నేను తనను హెలికాపటరలో తీసురావటానికి వచచినటటు
मीक ने अपने पोसट-कनविकशन रिलीफ पर सुनाए फैसले के खिलाफ अपील की है.	మీక తన నేరసథాపనానంతర ఉపశమన తీరపు కావాలని అపీల చేశాడు.
. . . सोमवार की सुबह, जब इलाके में गरम हवा चलेगी	. . . సోమవారం ఉదయం ఆ పరాంతం నుండి ఒక వెచచని తాకిడి లేసతుండగా
वह बसती से निकलकर यहाँ तक पहुँचा है.	తను మురికివాడల నుండి వచచాడు ఇకకడ దాకా వచచాడు.
खतम करो.	అది ఆపేయి.
मैं अपनी डेसक पर था,	నేను డెసక వదద కూరచుననాను,
वहाँ लोगों की भीड जमा थी.	అకకడంతా జనమే ఉననారు.
मीक को रिहा करो!	మీకను విడుదల చేయండి!
ठीक हूँ.	బాగుననాము.
तो तुमहें किस चीज की इजाजत है?	నువవు ఏం అవుతావో తెలుసా?
सिसटम से इतना दूर हुआ, कि उस पर से विशवास ही उठ गया.	అది ననను నాశనం చేసింది, నాకు దానిపె పూరతిగా నమమకం పోయేలా చేసింది.
कयोंकि तुम नशे के आदी हो या,	ఎందుకంటే మీరు మాదకదరవయ బానిసలు లేదా
तुमहारा पुलिस के साथ संपरक है.	మీకు పోలీస సంబంధం ఉందని.
लाखों-करोडों लोग जो तुम कह रहे हो, वह सुन रहे हैं.	లకషలాది జనం నువవు చెబుతుననది వింటుననారు.
आज, डीए लैरी करैजनर ने मिल को जमानत दिए जाने के	ఈ రోజు, డీఏ లారీ కరాసనర మళళీ మీకను బెయిల మీద విడుదల చేయాలనన
उनहें पहले ही नए मुकदमे की इजाजत मिल गई	వారికి ఇపపటికే పునః విచారణ లేదా
जो खुद के लिए इतना अचछा कर रहा है. . . मैं किसी अपराध में शामिल नहीं हूँ.	ఎవరెతే తనకు తాను బాగా బతుకుతుననాడో. . . నేను నేరాలలో లేను.
जेल से छूटने के बाद सोए हो?	నువవు జెలు నుంచి వచచాక పడుకుననావా?
एक सीओ मेरे दरवाजे के बाहर खडा, मुझे सामान बाँधने को कह रहा था.	సీఓ నా తలుపు దగగరకు వచచి, నా సామానలు సరథుకోమననాడు.
और वह दिखने में इतनी बुरी है.	ఆమె చాలా దారుణంగా ఉంది.
जिनकी किसमत में अपना बाकी जीवन जेल में काटना ही लिखा होगा.	చెరసాలలో వారి జీవితాంతం ఉండేలా నిరణయించబడడారు.
यह सिसटम एक धोखा है	వయవసథ అవినీతిమయం అయయింది
कि सब कुछ ऐसे ही आपसे छीना जा सकता है.	నీ దగగర నుండి అనని హఠాతతుగా తీసేసుకోవచచు అననటటు.
जो शकतिशाली और अमीर हैं,	శకతివంతులు, ధనికులు
और सिसटम मीक पर मुकदमा करने की कोशिश करता है,	ఇంకా వయవసథ మీక మిలను విచారణ కిందే ఉంచడానికి పరయతనిసతుంది,
तब मुझे लगा कुछ नहीं होने वाला कयोंकि वह अकड रही थी.	అయితే నేను ఇలా పని జరగదని గురతించాను, ఎందుకంటే ఆమెకు అహంకారం ఉంది.
लाखों लोगों को जेल से आजाद करवाना है,	సవేచఛ లభించేలా సహాయపడడం నీ లకషయం అని నువవు అనడం
और तुमहें एलबम के बारे में बोलने की तो जरूरत ही नहीं है.	నీకు నీ ఆలబమ గురించి మాటలాడాలసిన అవసరం లేదు.
बढिया. सामानय महसूस करके अचछा लग रहा है.	చాలా బాగుంది. మామూలుగా ఉండటం చాలా బాగా అనిపిసతుంది.
एंबुलेंस आ रही है, बचचे बस साँस लेते रहो	అంబులెనస వసతుంది, బంగారం ఊపిరి పీలచుకుంటూ ఉండు అంతే
उस बंदे का भागय उसकी सोच से कहीं बडा है.	అతను సాధించవలసింది అతను అనుకునన దానికంటే ఎకకువుంది.
जज बरिंकली ने आज जमानत की बात	నయాయమూరతి బరింకలీ కనీసం బెయిల గురించి
हम फेसटाइम पर थे, और उसने कहा, "ना, यह तो कमाल हो गया न? "	మేము ఫేసటెంలొ మాటలాడుతుననాము, తను "నా, ఇది అదభుతంగా లేదా? " అని అంటుననాడు.
जानता हूँ, यह पागलपन है! सोच ही नहीं पा रहा कि कया चल. . .	నాకు తెలుసు, ఇది అదభుతంగా ఉంది! నేను ఏం జరుగుతుందో ఊహించలేక పోతుననాను. . .
आज सुबह के मौसम की जानकारी के साथ मैं हूँ मौसमविजञानी लॉरेन केसी. . .	మీ వాతావరణ శాసతరజఞుడు లారెన కయాసీ మీ ఉదయం వాతావరణ. . .
अब जमानत का फैसला जज बरिंकली की बजाय	బెయిల నిరణయం నయాయమూరతి బరీంకలీ చేతులలో కాకుండా
24 जुलाई, 2019 को अदालत ने अपील की बिनाह पर उसकी 2008 की सजा खारिज कर दी.	జులె 24, 2019న, అపీల కోరటు అతని 2108 శికషను అధిగమించింది.
उनको कहना होगा अपनी बंदूक और नशा छोड दो	మీరు వాళళకు చెపపాలి తుపాకులు, మతతు పదారథాలను ఆపాలి
यकीनन, हम एक आपातकालीन निवेदन डाल रहे हैं,	ఖచచితంగా, వాళళు నినను వెంటనే విడుదల చేసి బెయిల ఇవవాలని
चलो चलें, यार.	పద వెళదాం, బంగారం.
उनकी जेल में 22 लाख लोग हैं.	వాళళు 2. 2 మిలియన మంది జెలలో ఉంచారు.
उस जज को अब कोई आदर नहीं मिलने वाला.	ఆమెకు ఇక మీదట గౌరవం ఇవవబడదు.
मीक अमरीकियों की उस शरेणी में आता है	ఎంతో మంది అమెరికనలలాగా మీకను
मुझे लगा मेरी कुछ जिममेदारी है,	నేను పరతయేకించి కొంత మంది వయకతులతో కలిసి
यही तो बात है, समझे. . .	అంటే, ఆ భాగమే, మీకు తెలుసా. . .
हमें यह आशा है कि	మేము జరగాలని అనుకుననది
द जसटिस हुआनीटा किड सकाउट सेनटर ऑफ करिमिनल जसटिस	జసటిస వునీటా కిడ సటౌట నేర నయాయ కేందరం
अनयाय का परदा फाश करना पेनसिलवेनिया विशवविदयालय	అనయాయానని వెలుగులోకి తీసుకొసతుననారు పెనసిలవేనియా విశవవిదయాలయం
तो, यदि आप अगले साल जून के लिए गोव बॉल को चाहते हो, या कोचेला को,	అందుకే, వచచే సంవతసరం జూనలో గవ బాలకు, ఇంకా కోచెలలా,
उनके उतसाह से उतसाहित होता है.	ఇతరుల శకతి నుండి తాను శకతిని పొందుతాడు.
यह नहाने जा रहा है, और फिर हमें जाकर इस खेल को जीतना है.	అతను సనానం చేయాలి, మేము వెళళి ఈ ఆట గెలవాలి.
हमें आशा है रैपर मीक मिल जेल से रिहा हो जाएगा.	మేము రయాపర మీక మిలను జెలు నుండి విడుదల చేసతారని ఆశిసతుననాము.
मैं सच में सदमे में था.	నేను నిజంగా దిగబరాంతి చెందాను.
पापी, तुम खुद, तुमहारा परिवार,	పాపీ, నేనూ, నా కుటుంబం,
जज बरिंकली तुरंत उसे जमानत पर रिहा करे,	అతనిని వెంటనే బెయిల మీద విడుదల చేయాలని ఆదేశించింది,
कैसे हो, यार?	నువవు ఎలా ఉననావు?
मैं सब कुछ सहने के बाद भी उन भागयशालियों में से एक हूँ,	నేను ఇవననీ అనుభవించినా కూడా అదృషటవంతుడిని,
उनके बिसतर पहले से तैयार हैं.	వాళళ భవిషయతతు మీద వాళళకు నియంతరణ లేదు.
कि सुपरीम कोरट तुरंत जमानत की कारयवाही करेगी.	సుపరీమ కోరటు బెయిల విషయంలో వెంటనే సపందిసతుందని ఆశిసతుననాను.
शुभकामनाएँ, जान.	శుభాశశీససులు, బంగారం.
मुझे समझ नहीं आ रहा कि वह ऐसा कैसे कर सकती है.	నాకు ఆమె అలా ఎలా చేయగలదో తెలియలేదు.
और मैं यही करने वाला हूँ.	అదే నేను చేయబోయేది.
जज बरिंकली के सामने	నేరసథాపానంతర ఉపశమన అపీలకు
बिना किसी गलती के कैद किया गया है, तो इसको एक शुरुआत समझो.	తపపుగా బంధించిన వారి కోసం, ఇది పరారంభం కాదు.
वह सच में एक धुंधला सा पल था.	అది నిజంగా చీకటి కషణం.
-कया वहाँ हेलिकॉपटर खडा है? -हाँ, वहाँ पर है!	-హెలికాపటర ఇకకడ ఉందా? -ఇకకడే ఉంది.
अब उस बेमिसाल बदलाव को लाने की जरूरत है.	ఇపపుడు నిజంగా సమయం అసాధారణమెన మారపును సృషటించబోతుంది.
18, 000 पारटी रिकॉरड बनाकर, अपनी आजादी के मजे ले.	18000 పారటీ రికారడులు చేసి సవేచఛను అనుభవిసతుంటే తనను తపపుపటటొదదు.
जब मैं घर आया, तो वैसा महसूस नहीं हुआ जैसा कि हुआ करता था.	నేను ఇంటికి తిరిగి వచచాక, నాకు ఎపపుడూ అనిపించిన దానికంటే భిననంగా అనిపించింది.
हमें इन सारे अशवेतों और सबके लिए	మాకు ఈ నలల జాతీయులందరికీ
मीक, जान!	మీక, బంగారం!
-आप कैसे हैं? -आप कैसी हैं? शुकरिया.	-అవును, ఎలా ఉననారు? -మీరు ఎలా ఉననారు? ధనయవాదాలు.
मुझे तुम पर बहुत गरव है.	నినను చూసతుంటే చాలా గరవంగా ఉంది.
मेरे लिए बहुत मायने रखता है.	నాకు చాలా పెదద విషయం.
जब मीक मिल जैसे रैपर ने सिसटम से जंग छेड दी.	వయవసథతో పోరాడడానికి సమయం పటటింది.
उसे पता है कि वह कहाँ पर है और उसके साथ कया हो सकता है,	తను ఎకకడ ఉననదీ, ఏం జరగవచచో అతనికి తెలుసు,
तो आज जो एक बेहद मशकिल लकषय लग रहा है,	అంటే, ఈ రోజు చాలా దూకుడు గల లకషయంగా కనిపిసతుననదానని
किसी भी दरद को नशा दबा नहीं सकता	పీటీఎసడీలు లేవు వాటికి మందులు హాయిగా ఉంటాయి
उसकी रिहाई के 18 से भी कम घंटों के बाद,	అతను విడుదలయయాక 18 గంటల లోపు,
'नहीं बुलाएँ' सूची के अफसर	'డు నాట కాల' జాబితాలో ఉనన అధికారులు
"पलीज, इसे जेल मत भेजिए. "	"దయచేసి అతనని జెలులో పెటటవదదు" అని.
कि इस सिसटम में ऐसे लाखों लोग फँसे हैं जिनकी जगह इस सिसटम में नहीं है.	ఈ వయవసథలో ఉండకూడని లకషలమంది ఇందులో పడి మగగుతుననారని.
सुनिशचित करने के लिए कि लोगों को जेल की कोठरी में हथकडी में न रखा जाए,	ఇంకా జనాలు డరట బెక నడిపారనో లేక పరకోసెట తీసుకుననారనో
कैसे हो? आप सब कैसे हो?	ఎలా ఉననావు? మీరందరూ ఎలా ఉననారు?
आवेदक को गैर जमानती बेल पर रिहा करने का ऑरडर तुरंत दें	పిటీషనరను పూచీకతతులేని బెయిల పె వెంటనే విడుదల చేయాలని ఉతతరవు జారీ చేయాలి.
आशा है कि वे आज उसे रिहा कर देंगे.	తనను ఈ రోజు వాళళు విడుదల చేసతారని ఆశిసతుననాను.
केविन हारट हासय-अभिनेता	కేవిన హరట కమెడియన
मीक मिल का साथ दो	మీక మిలకు అండగా నిలవండి
मैं उसे हासिल करने का रासता निकालना चाहता हूँ.	నేను సాధించగలనో లేదో చూడాలని ఉంది.
नीति और कारय परणाली बदलेंगे!	పదధతులను అందరికోసం మారచాలనుకుంటుననాము!
मतलब, आपके साथ वयवसायी, नौजवान और जे-जी	అంటే, ఇందులో వయాపారవేతతలు, యువకులు ఇంకా జే-జీ ఉననారు,
आपका साथ देने के लिए हैं.	ఇంకా మీ చుటటూ జరుగుతునన పోరాటమంతా.
और फिर, मेरी आँखों से आँसू बहने लगे.	ఆ తరువాత, కళళలలో నుంచి కనీళళు కారుతూ ఉననాయి అంతే.
जब अपनी रोज की 23 घंटे की कैद के बारे में और बार-बार	నేను నా 23 గంటల నిరబంధం ఇంకా గంట వయాయామం ఇంకా కషోభను అనుభవించడం గురించి
मैं किसी चीज का भी चेहरा नहीं बनना चाहता.	నేను దేనిలోనూ ముఖయుడను అవవాలని అనుకోవటం లేదు. నేను కేవలం
अपने बेटे से वापस मिलकर बहुत खुशी हुई.	నిజానికి నా కొడుకును కలవటం చాలా ఆనందంగా అనిపించింది.
कि वह सामने आता है,	అతను చాలా పరజాదరణ పొందాడు,
यदि परोबेशन मेरे पीछे आकर मुझे वापस सरकारी जेल में डाल सकता है,	ఒకవేళ పరిశీలన ననను రహసయంగా ఉంచి రాషటర చెరసాలకి
कि बाहर के इस तूफान और बादलों के बीच,	బయట ఈ తుఫాను మరియు మబబులలో,
मैं उन सबका शुकरिया करना चाहता हूँ जो मेरे लिए खडे रहे,	నేను నేర నయాయవయవసథలో చికకుకుననపపటి నుంచి
जिनका फैसला उसी कारण पर टिका था.	ఇతర పీసీఆరఏ కేసులతో సమానంగా వయవహరించడం లేదు.
-मीक मिल को रिहा करो! -सबको रिहा करो!	-మీక మిలను విడుదల చేయండి! -వారందరినీ విడుదల చేయండి!
नीचे खाई में न धकेलो.	ఏం లేని సథితికి తీసుకెళళొదదు.
यह. . . बहुत सी चीजें हैं.	అది. . . అవి చాలా విభిననమెన విషయాలు.
और जज ने अपनी आँखों की पटटी उतार दी है.	ఇంకా నయాయమూరతి, ఆమె ధోరణిలో ఆమె నిరణయాలు తీసుకుంటుంది.
यदि तुम सरकार की हिरासत में या संघ की हिरासत में जाते हो,	మీరు రాషటర జెలు లేదా ఫెడరల జెలుకు వెళితే,
आजाद, फिर भी आजाद नहीं!	బెటికొచచాను, ఇంకా విడుదల కాలేదు!
अपने लिए कुछ पैसा बचाओ धत, उसे पानी की तरह न बहाओ	ఆ డబబు ఆదా చేసుకో ఛ, ఆరభాటాలకు పోకు
मीक, यहाँ पर कया हुआ? कया हुआ?	మీక, ఇపపుడు ఇకకడ ఏం జరిగింది? ఏం జరిగింది?
यह बस. . . यदि इस केस में मैं जज होता. . .	ఇది కేవలం ఒక. . . ఒకవేళ నేను ఈ కేసుకు నయాయమూరతినె ఉంటే. . .
मीक इस फैसले के खिलाफ अपील कर सकता है.	మీక ఈ తీరపుపె అపీల చేయవచచు.
जब आप अदालत में जाते हैं, तब चाहते हैं कि आपके साथ भी वैसा ही नयाय हो	మీరు కోరటుకు వెళళినపపుడు, మీరు ఒకటే నయాయం అందరికీ
तुमहारे जीवन के ये पल,	మీ జీవితంలో ఈ పరతయేకమెన కషణాలు,
मीक मिल का साथ दो	మీక మిలకు తోడుగా నిలవండి
जब मैं इनमें से कुछ के साथ बंद था,	నిరభందించబడినపపుడు నాకో బాధయత ఉందని అనిపించింది,
वह घर आ जाएगा, और फिर यह. . .	తను ఇంటికి తిరిగి వసతాడు, ఆపపుడు అది. . .
. . . और तेज आँधी चलेगी,	. . . వరుసగా పెదద ఉరుములు మెరుపులు
बिलकुल नहीं.	లేదు, అససలు లేదు.
वह अपने उन जेल साथियों का चेहरा है जिनके पास उस जैसा समरथन नहीं है.	తనలా మదదతు లేని ఇతర ఖెదీలకు అతను ముఖయమెన వయకతి.
मतलब, जब डीए कह रहा है कि वे केस को खारिज कर जमानत देना चाहते हैं. . .	డీఏ ఈ కేసును కొటటేసి బెయిల ఇవవాలని అంటుననారు. . .
सिसटम में दिन - 4163	వయవసథలో రోజులు
हेलिकॉपटर तीन इस समय ऊपर से हालातों पर नजर रख रहा है.	మూడో హెలికాపటర ఇపపుడు ఇకకడే పెన ఉంది.
ताकि किसी और को वह सब झेलना न पडे, जो मीक ने झेला है.	మీక అనుభవించినది ఏవరూ అనుభవించకూడదని.
और यदि कोई आपको चुनौती दे रहा है,	ఎవరెనా మీపె దాడి చేసతే,
मीक वहाँ मौजूद नहीं था.	మీక హజరు కాలేదు.
करने से ही इंकार कर दिया,	చరచించాలనన భావనను కూడా నిరాకరించారు,
कि वे कया फैसला लेते हैं.	వాళళు నిరణయం తెలిపేదాకా వేచి చూడడమే.
तो हमारे सुपरीम कोरट को तो बीच में पडना ही पडेगा,	అందుకే సుపరీమ కోరటు కలపించుకోవాలి,
जेल से निकलने के बाद वे इसी तरह मेरे इंटरवयू ले रहे थे.	నేను జెలు నుండి బయటకు వచచాక ఆ తరువాత రోజు వాళళు నా ఇంటరవయూలు ఇలా తీసుకుంటుననారు.
जिला अटॉरनी नहीं लड रहा.	డిసటరిక అటారని పోరాడటం లేదు.
कि कितने लोग वाकई बाहर इस बारिश और तूफान में	ఎంత మంది నిజానికి భౌతికంగా బయట
पीछे हटो! तुरंत पीछे हटो!	వెనకకి వెళళండి! వెంటనే వెనకకి జరగండి!
एलम सटरीट का यह भयानक अनुभव तेरह तारीख शुकरवार को	ఎలమ వీధిలో శుకరవారం 13న పీడకల అది
जब तक इस सथिति से निकल नहीं जाता.	నా పరిసథితి గురించి నాకు మాటలాడటానికి భయంగా ఉంది.
"तो मैं जीवन में बहुत से अचछे काम करूँगा. "	చేరే దాకా, ఇంకా నేను జీవితంలో చాలా గొపప పనులు చేసే దాకా ఆగండి. "
नयाय और सममान चाहिए!	నయాయం, గౌరవం ఇంకా అననీ కావాలి!
ततकाल जमानत मंजूर.	వెంటనే బెయిల మంజూరు చేసింది
हाँ!	అవును!
उस दरद से गुजरने के बारे में सोचता हूँ,	ఆలోచించినపపుడు చాలా సారలు,
तुमहें 13वें संशोधन के बारे में पता है?	మీకు 13వ సవరణ ఏంటో తెలుసా?
मैं वकील को बोलने दूँगा. मैं चाहता. . .	లాయర మాటలాడతారు, నేను. . .
और अब कुछ तक पहुँच सकता हूँ,	తిరిగి కొంతమందినననా కలిసి, వాళళ పురోగతికి,
और हम चाहते हैं इस बात को लेकर इसी समय हंगामा हो जाए!	ఇంకా మనకు కొంచెం గోల కావాలి వెంటనే!
पेनसिलवेनिया राजय कारावास से फोन.	పెనసిలవేనియా రాషటర సంసకారక సంసథ నుంచి ఫోన వచచింది.
उनहें जेल से बाहर निकाला जाए.	ఈ జెలులో ఉండకుండా చూసుకోవడానికి అంకితమయయాడు.
मैं कभी किसी अदालत में नहीं गया,	నేను ఎపపుడూ, ఇంతవరకు ఎపపుడూ కూడా కోరటులోకి వెళుతూ
लाने की कोशिश नहीं करेंगे.	లకషలాది లాయరలను ఎవరి కోసమూ ఏరపాటు చేయము,
जिनकी परिसथिति मीक जैसी हो सकती है.	ముదదాయిలు ఎవరెతే ఇదే పరిసథితిలో ఉననారో వారి కోసం కూడా.
तुमहें लगता है तुम वह सब कह सकते हो, जो कहना चाहते हो?	మీరు చెపపాలని అనుకుననవననీ చెపపగలరా?
ए, कैसे हो?	హే, ఏంటి సంగతులు?
जहाँ इतने सारे लोग, इतनी अलग-अलग जिंदगियाँ जीने वाले लोग	ఇంతమంది వివిధ రకాల జీవన విధానాల వారు
और ऐसे लोग जो मेरे साथ जेल में थे,	నేను జెలులో ఉననపపుడు పరతి రోజు పకకన కూరచోవటం వలన నాకు
कि वह सबूत पेश करे जब मीक जैसे, दूसरे पूरव अभियुकत	బలవంత పెడుతుంది, మరోపకక మీకలాంటి
पोसट-कनविकशन रिलीफ अपील के लिए	జీనిస బరింకలీ ముందు
महीनों तक लगातार अंदर रहने के बाद,	ఒకేసారి కొనని నెలలు లోపల ఉననాక, జెలునుంచి బయటకు రావటం,
यदि वे ऐसा करते हैं,	ఒకవేళ వాళళు కనుక అది చేయగలిగితే,
उस हुक को गूँजने दो. वापस बजाओ.	ఆ అనుపలలవిని ఎకో వచచేలా పెటటండి. మళళీ వినిపించండి.
"हम मानते हैं कि यह सजा रदद कर देनी चाहिए,	"అతని శికషను రదదు చేయాలని,
"और उस पर नया मुकदमा चलना चाहिए,	"అతను కొతత విచారణకు అరహుడని, మేము అంగీకరిసతుననాము. "
उन लोगों के साथ जिनमें इस सबको सहने की ताकत नहीं थी,	నిబబరంగా ఉండలేని వారితో గడిపాను.
मैं सपनों में खोया रहता था	నేను సవాపనికుడను
पता नहीं उसे इस बंदे से कया चिढ है कयोंकि. . .	ఆమెకు ఇంత చినన దానికి అతనంటే ఎందుకంత కోపమొసతుందో తెలియటం లేదు ఎందుకంటే. . .
और जिनका वह परतिनिधितव कर रहा है.	ఇంకా తను సమరథించే విషయాలననిటిపె ఉండాలని పరారథిసతుననాం.
पर मेरी सथिति में,	నా విషయంలో,
मुझे सच में लगता है, यह उसके लिए बडा अहम पल है.	నేను అనుకోవటం. . . నిజాయితీగా చెపపాలంటే, బహుశా ఇది తనకు గొపప కషణం అనుకుంటాను.
अब, यह जज उसके केस पर दस साल, मतलब 2008 से है,	ఇపపుడు, ఇది వెనకకి 10 ఏళళ కరితం 2008లో ఈ నయాయమూరతి అతనని తుపాకీ కలిగి ఉండడం,
इस मंच पर होने से, और जो कुछ उसके साथ चल रहा है,	ఈ వేదికతో ఇంకా జరుగుతుననదంతా,
या उनकी सजा पलट दी गई है.	వారి నేరారోపణలు తొలగింపు మంజూరు చేయబడింది.
सबूतों की जाँच के लिए सुनवाई है,	సాకషి హియరింగ ఉంది,
मुझे लगता है हमारे साथ अनयाय हुआ है जब बात आती है. . .	మాతో తపపుగా వయవహరించినాగానీ. . .
हाँ. मतलब, हमें पूरी उममीद है	అవును. అంటే, మేము
-तुम संपतति हो. -एक गुलाम हो.	-ఆసథి. -ఒక బానిస.
हजारों लोग जेलों में कैद हैं,	కొనని వేల మంది జనం జెళళలలో, చెరసాలలో అకకడ ఉండాలసిన
सिरफ मीक के लिए नहीं, बलकि दूसरे अभियुकतों के लिए भी	కేవలం మీక కోసమే కాదు, కానీ ఇతర
सुधार अनयाय को रोशनी में लाएगा.	సంసకరణ అనయాయానని వెలుగులోకి తీసుకురావాలని కోరుతుననాము.
और फिर मुझे समझ आया,	కానీ నేను తరువాత గరహించింది ఏంటంటే,
मतलब, यह कया है?	అంటే ఎలా?
पता है, यार. काश, इस हफते कुछ हो.	అవును, నాకు తెలుసు. అనుకుననటలుగా, ఈ వారం ఏదోకటి జరుగుతుంది.
कुछ सचचे अनुभव किए,	కొనని నిజమెన అనుభవాలను చవి చూసాను,
सुनवाई केवल 14 मिनट चली.	విచారణ కేవలం 14 నిమిషాలు మాతరమే కొనసాగింది.
सबूत की "परचुरता" दवारा.	అతను నిరూపించుకోలేదు అని ఆమె వయాఖయానించారు.
उन सबको अपने गानों में डालो. मैं कह रहा हूँ.	నీ అనుభవాలను పాటగా రాయి.
ताकि वे तुरंत तुमहारी जमानत मंजूर कर, तुमहें रिहा कर दें.	అతయవసర మనవి అరజీ పెటటబోతుననాము.
और जेल से छूटना, उसमें 24 घंटे कैद रहने के बाद,	24 గంటలు నిరభంధంలో ఉననాక,
असली बदलाव लाएँगे,	నిజానికి అది అసలెన మారపు ఇంకా ఆశను
"कि सजा रदद हो जानी चाहिए, "	"నేరసథాపనను తోసిపుచచాలననదానికి సమమతిసతుననాము, " అంది,
वह ऐसा कुछ था जिसके साथ मैं बँधा हुआ था,	అదే ననను ఇరికించింది.
हम घर आ गए!	మేము ఇంటికి వచచేశాము!
मैं चाहता हूँ सबको पता चले,	మీ అందరికీ నేను ఒక విషయం తెలియజేయాలని అనుకుంటుననాను,
उसे इतने ऊपर ले जाकर,	ఇకకడ నుంచి మళళీ తిరిగి వెనుకకు తీసుకెళళి,
और जो इस समय हो रहा था, उस पर मुझे यकीन होने लगा,	నేను గతం నుంచి ఇపపటి దాకా
खडे हो सकते हैं.	ఇలాంటి గాలి, వానలో నిలబడతారననది.
यह बहुत ही निराशाजनक परिसथिति है.	అది నిరాశాజనకంగా ఉంది. నేనననది అరథమయయిందా? అది నిరాశాజనక పరిసథితి.
मीक मिल ऐसा है.	మీకు తెలుసా, అదే మీక మిల అంటే.
हजारों लोग उसकी तरफ से	కొనని వేలమంది జనాలు అతని కోసం మదధతు ఇవవటానికి
तब हम दोनों ने कहा,	ఈ వయవసథను సంసకరించడంలో మదదతునివవడానికి,
जिसे बदलने की ताकत हम में है.	ఉందనిపించింది.
कि आज मीक मिल ने खुद को नयाय सुधार के परति समरपित कर दिया है,	ఈ రోజు మీక మిల నయాయ సంసకరణకు,
एक नयायकरता के रूप में, चीजों को तोलना होता है,	నయాయాధిపతి విశలేషించి,
आप उसका इसतेमाल उस कबजे की तरह करें	నీ మీద భారం వేసి
मेबैक मयूजिक.	మేబయాక మయూజిక. మేబయాక మయూజిక.
और अचानक देखा तो	మీకు తెలుసా, తరువాత జరిగినది ఏంటంటే,
और यह सुनिशचित करने के लिए कि जिन लोगों को जेल में नहीं होना चाहिए,	ఇంకా ఈ జెలులో ఉండకూడని వారు,
मीक मिल को रिहा करो!	మీక మిలను విడుదల చేయండి! మీక మిలను విడుదల చేయండి!
इस समय, उसने सबूतों जाँच के लिए	ఇపపుడు, ఆమె
हम किसी के लिए भी अनगिनत वकील	ఈ కూటమిగా
कयोंकि उनहोंने एक डरट बाइक पर वहीली की थी या नशे की गोली खाई थी,	లేక గంజాయి తాగారనో,
या फिर चरस पी थी.	వారిని గొలుసులతో జెలు లోపల బంధించకుండా నిరధారించుకోవడానికి.
शाबाश.	చాలా బాగా నిరవరతించారు.
इस अलायंस के रूप में	మేము,
मैं यहाँ हूँ कयोंकि मैं मीक मिल को रिहा होते देखना चाहता हूँ. तो मुझसे कहा गया	నేనికకడకు మీక మిలను విడుదల చేసతే చూడాలని వచచాను.
