गरेस	గరేస
-करिसमस की बधाइयाँ, रॉजर. -करिसमस की बधाइयाँ, गरेस.	-హయాపీ కరిసమస, రోజర. -హయాపీ కరిసమస, గరేస.
-धीरे से. एक बार में एक ऊँगली. -. . . तुमहारी हिममत कैसे हुई?	-మెలలమెలలగా. ఒకసారి ఒక వేలు. -. . . నీకెంత ధెరయం?
वह वो लडकी नहीं रही, जैसी पहले थी. वह शांत और छोटी होती जा रही है.	తను ఇదివరకటిలా లేదు. కరమంగా మౌనంగా, సననగా అయిపోతోంది.
कया?	ఏంటి?
मैं सुंदर होना मिस करती हूँ.	నేను అందంగా కనిపించి చాలా కాలమెంది.
या चिपस.	లేదా చిపస.
-मुझे अचछी जैकेट कयों चाहिए? -नया बीमा दावा.	-మంచి జాకెట నాకు దేని కోసం? -కొతత ఇనసూరెనస కలెయిమ కోసం.
रुको.	ఆగు.
बोलो, इवा, जान.	చెపపేయ, ఈవా.
कंबल ले लिए?	దుపపటలు ఉననాయా?
बिलकुल नहीं.	ఖచచితంగా పంపను.
मैट, माफ कर दो. मैट. मैट.	మయాట, మననించు. మయాట.
बढिया तंग जैकेट.	చకకని బిగుతెన జాకెట.
मैट.	మయాట.
पर सुनो.	కానీ విను.
मैंने एक बेवकूफी की.	నేను ఒక పిచచి పని చేశాను.
कया?	ఏంటి?
हाँ, बेशक वे एलविस के लिए तो नहीं आए होंगे.	అవును, నిజం, వాళలు ఎలవిస కోసం ఇకకడికి వచచారని అనుకోను.
किसी की मौत हुई है. सच में, थोडा सममान करो.	ఒక వయకతి చనిపోయాడు. నిజంగా, కొదదిగా మరయాదగా పరవరతించు.
गाडी रोको. भगवान के लिए, गाडी रोको.	నువవు కారుని అలా పకకకు ఆపు. దయచేసి పకకన ఆపు.
मैडम जी, जाने का समय हो गया है.	మహారాణీ, ఇంక బయలుదేరాలసిన సమయం వచచింది.
उप-शीरषक अनुवादक: मून कलिता	ఉపశీరషికలు అనువదించినది సతీశ కుమార
अभी नौ भी नहीं बजे हैं.	ఇంకా తొమమిది కూడా కాలేదు కదా.
जूरी मुझे बेहद पसंद करती हैं.	నయాయం ననను ఇషటపడుతుంది.
तुम अब भी सुंदर हो.	ఇపపటికీ అందంగానే ఉననావు.
करिसमस की बधाइयाँ, मैमी.	హయాపీ కరిసమస, మామీ.
खैर, अब दोनों की बू आ रही है, बधाई हो.	సరే, మన ఇదదరం కంపు కొడుతుననాం, కాబటటి అభినందనలు.
बैका ने बताया नहीं कि हम अनाथ हैं?	మేము విషాదపు అనాథలం అని బెకా నీకు చెపపలేదా?
अभी और हमारी मृतयु के पल में, हम पापियों के लिए परारथना कीजिए.	మా పాపులను, ఇంకా మా మరణ సమయంలో మా కోసం పరారథించు.
वह चाहती है कि वह मरने के बाद भी आराम से रहे.	అతని పరలోక జీవితం బాగా సౌకరయంగా ఉండాలని ఆమె కోరుకుంటోంది.
भुगतान करने से पहले, हमें बस कुछ विवरण चाहिए.	మీకు డబబులు ఇచచే ముందు, మీ దగగర కొనని వివరాలు సేకరించాలి.
अगर तुम सटारटर बना रहे हो या बना चुके हो,	మీరు ఇపపటికే సటారటర వండినా లేదా వండటానికి సిదధమయినా,
नहीं. नहीं, मैं बस. . . मुझे. . .	లేదు, నేను కేవలం. . . నేను
नहीं. देखो, कुछ भी संदेहजनक नहीं मिला, पर फोटो देखो.	సరే, లేదు. చూడు, అనుమానాసపదంగా ఏమీ కనిపించలేదు కానీ ఆ ఫోటోని చూడు.
"नेकी और करुणा मेरे शेष जीवन तक मेरे साथ रहेंगी,	"ఖచచితముగా మంచితనము మరియు దయ నా జీవితమంతా ననను అనుసరించు గాక,
अगर अंतयेषटि में शराब ही परोस नहीं रहे हो, तो अंतयेषटि आयोजित ही कयों करना?	కారయకరమం ముగింపులో మందు లేనపపుడు, ఈ కారయకరమం పెటటడం దేనికి?
तुम ठीक हो?	బాగానే ఉననావా?
यह सही नहीं लग रहा है.	ఇది సరెనదిగా అనిపించడం లేదు.
सैंडविच गरल	శాండవిచ అమమాయి
यह बस बुरे, भददे जखम को कुरेदने जैसा है.	ఒక ఘోరమెన, దారుణమెన కేక మీద మంచు పూత మాదిరిగా ఉంది.
अरे. . . मेरा सिर!	చూడు. . . నా తల జాగరతత!
हम उसे खो रहे हैं.	మనకు తను దూరం అవుతోంది.
मुझे उससे नफरत है!	వాడంటే నాకు చాలా అసహయం!
मैंने बचपन से वहाँ एक बार भी तैरना नहीं चूका. मैं ठीक रहूँगी.	నా చిననతనం నుంచి నేను ఒకకసారి కూడా ఈతకి వెళలకుండా ఉండలేదు. నేను బాగానే ఉంటాను.
उसने उसे पजामा पहनाया है.	తను అతనికి పెజమా డరెససు వేసింది.
वैसे भी, उस दिन हम साथ समय बिताने की योजना बना रहे थे. कोई बात नहीं.	ఆ రోజు మనం కలుసుకుందాం అనుకుననాం కదా. అది మంచి ఆలోచన.
ठीक है, यह रहा एक और.	సరే, ఇకకడ ఇంకొకటి ఏదో ఉంది.
बस दिल का दौरा न पडवा लेना.	గుండె పోటు తెచచుకోకు.
सच में?	నిజంగానా?
किसमत वाली मैमी, हाँ?	అదృషటవంతురాలెన మామీ, అవునా?
-कमीने को मार दो. -कमीने को मार दो!	-ఆ చెతత వెధవని చంపాలి. -ఆ చెతత వెధవని చంపాలి!
कुछ गडबड है. अगर कुछ अवैध हुआ, तो हम भुगतान नहीं करेंगे.	అదేమిటో అరథం కావడం లేదు. అది సహేతుకమెనది కాని పకషంలో మనం డబబులు ఇవవబోము.
हे भगवान!	దేవుడా!
हाँ. बेकस, कृपया, कंबल ले लोगी?	ఉననాయి. బెకస, దయచేసి వాటిని తీసుకొసతావా?
-कया वह बीमार था? -नहीं.	-అతను అనారోగయంతో ఉననాడా? -లేదు.
उसका लिंग खडा था.	అతని అంగం సతంభించింది.
यह तुमहारा सैंडविच है?	ఈ శాండవిచ మీదేనా?
मुझे यह बेहद पसंद आया.	ఇది నాకు నచచింది.
अपनी औकात कम मत करो, गरेसी.	నీ పరమాణాలు ఎపపుడూ తగగించకు, గరేసీ.
पर मैं कुछ नहीं लाई. . . मुझे लगा हम अपने तोहफे कल देंगे.	కానీ నేను దీనిని తీసుకురాలేదే. . . మన బహుమతులు రేపు ఇచచుకుందాం అనుకుననాను.
-यह बेहद शानदार है. -"फरैंक. "	-మీ అందరితో, ఇలా చకకగా ఉంది. -"ఫరాంక. "
मेरे पास तुमहारा नंबर नहीं है.	మీ నెంబరు నా దగగర లేదు.
मंदी के दौरान, बिना पैसे के एक नया वयवसाय शुरू करने के नाम.	ఆరథిక మాందయం వలల డబబులు లేని సమయంలో కొతత వయాపారం పరారంభిసతుననందుకు అభినందనలు.
तो, एक बार और पढ लो. नहीं.	సరే, దీనితోనే కాలకషేపం చేయి. లేదు.
कल रात? नहीं.	నినన రాతరా? లేదు.
हाँ, आखिरकार.	అవును, మొతతానికి.
-किसी को और कुछ चाहिए? -नहीं.	-ఎవరికెనా ఇంకేమెనా కావాలా? -మాకు చాలు.
तुम कल हमारे साथ तैरने चलोगी?	రేపు మాతో పాటు నువవు కూడా ఈతకు వసతావా?
कया तुम बस मुझे खुश रहने नहीं दे सकती?	ననను మీరు సంతోషంగా ఉండనివవరా?
मुझे तुमहारे लिए बेहद खेद है.	మీకు కలిగిన విషాదానికి విచారిసతుననాను.
कृपया, जॉन. . . अगले करिसमस में.	దయచేసి కోపపడకు, జాన. . . . వచచే కరిసమస కి.
तुम कया करते हो?	నువవు ఏం పని చేసతావు?
-कया ढूँढ रहे हो? -मेरी गोलियाँ.	-దేని కోసం వెతుకుతుననావు? -నా మందు బిళలలు.
कया तुम कुछ बोलने से पहले थोडा सोचोगी?	నువవు ఏదెనా మాటలాడే ముందు నీ మెదడుని ఉపయోగించగలవా?
और उसकी बेटी, बलानड के लिए परारथना करते हैं.	గరేస, ఇంకా కుమారతె బలానడ కోసం ఈ రోజు మనం పరారథనలు చేదదాము.
उसे पता नहीं चलना चाहिए कि हमने कया किया.	మనం ఏం చేశామో ఆమె తెలుసుకోలేదు.
-ईशवर, हमारी परारथना सुनें. -माफ करना. माफ करना.	-పరభు, కరుణతో మా మాట విను. -కషమించు.
एक पिलला.	ఒక కుకకపిలల.
इसकी चिंता मत करो.	దాని గురించి ఆందోళనపడకు.
कया एक फलासक काफी है?	ఒక ఫలాసకు సరిపోతుంది అంటావా?
यहाँ आओ. शाबाश.	ఇలా రా. బాగా చేశావు.
पूरव-बॉस.	మాజీ యజమాని.
माफ करना.	నా కషమాపణలు.
विवरण?	వివరాలా?
डैड हिसाब में इतने भी माहिर नहीं थे, समझे?	నాననకి గొపప నెపుణయాలు ఉననాయి, కానీ అకౌంటింగ రాదు, సరేనా?
-वह हमेशा से ही शांत थी. -बकवास.	-తను ఎపపుడూ మౌనంగానే ఉండేది. -అది చెతత మాట.
-करिसमस की बधाइयाँ! -करिसमस की बधाइयाँ.	-హయాపీ కరిసమస! -హయాపీ కరిసమస.
तुमहारे वजन से घर को कषति पहुँचेगी.	నీ వలల మన ఇలలు కూలిపోవచచు.
-हे भगवान. -वह मजाक था?	-ఓహ, దేవుడా. -అది ఒక చెతత జోకా?
अब है, और हमेशा रहेगा, बिना अंत का संसार. "	ఇపపుడు ఉనన మాదిరిగా, ఎపపటికీ కూడా, పరపంచానికి అంతు లేదు. "
और उममीद है अपना रवैया भी ठीक कर लेगी, असभय कमीनी कहीं की.	తన పరవరతన కూడా మారచుకుంటుందేమో, చెతత మనిషి.
पर सच कहूँ तो, मैंने जयादा डरम बजाने वालों को डेट किया है.	నేను కొంతమంది డరమ వాదయగాళలతో డేటింగ చేశాను.
पकका कोई इस साल बहुत अचछी बनी रही.	ఎవరో ఈ ఏడాది చాలా మంచిగా పరవరతించినటలు ఉననారు.
कया लगता है विधवा कौन सी है?	వీళలలో మృతుడి భారయ ఎవరు అనుకుంటుననావు?
धनयवाद, नरस. इतनी जानकारी काफी है.	ధనయవాదాలు, నరస. ఇంక ఆపేయ.
पर अगर इससे भुगतान में परेशानी हुई तो? मेरा मतलब, मैं. . .	కానీ దాని కారణంగా బీమా కలెయిమ ఆగిపోతే? నా ఉదదేశం, అది లేకుండా నేను బతకలేను. . .
और मेरा भी.	నా యజమాని కూడా.
यह खतम हुआ.	ఇంక అయిపోయింది.
शायद, मैं बस घबरा गई थी. मैं. . . वह. . .	నేను ఊరికే కంగారుపడిపోయాను అనుకుంటా. నేను. . . అతను. . .
कैसी हो?	ఏంటి సంగతి?
हाँ. नहीं, बेशक.	అవును. లేదు, అది నిజం.
आप नहीं.	నినను కాదు.
परसों? तुम बताओ.	ఎలలుండి? మీరు చెపపండి.
तो पुलिस इसकी जाँच कर रही है?	అయితే పోలీసులు ఈ కేసుని పరిశోధిసతుననారా?
आज हम जॉन पॉल विलियमस और उसकी पयारी पतनी, गरेस,	జాన పాల విలియమస, అతని పరియమెన భారయ
इतने उतसाह के बाद, मेरे पास कुछ खबर है.	ఈ ఉతసాహం అంతా అయింది గనుక, నేను మీకు ఒక విషయం చెపపాలి.
तो, इसमें बस थोडा सा विनेगर और शैलट है.	అయితే, కేవలం కొదదిగా వెనిగర ఇంకా చినన ఉలలిపాయ నీ కోసం.
पर वह उसके विरुदध कुछ नहीं बोलती है.	తను కూడా వాడిని ఎదురించదు.
उसके टुकडों को मशरूम के बाग में दफनाती.	ముకకలుముకకలుగా చేసి కుకకగొడుగుల భూములలో పెటటాలని ఉంది.
बिग समोक में.	ఆహ, పెదద పొగ నగరం.
भगवान के लिए, ऐसा मत करो.	అలా చేయకు, దయచేసి.
तुमहारे पास पेपर पलेट है?	ఒక పేపర పలేట ఉందా?
-साथ ही उसकी सालियों के लिए भी. . . -ए.	-ఇంకా అతని మరదళలు. . . -హేయ.
-यहाँ आओ. -चलो यह घर में करें, ठीक है?	-ఇలా దగగరకు రా. -ఆ ముచచట ఇంటికి వెళలాక చేదదాం, సరేనా?
बदमाश	గుచచడము
-ईशवर, हमारी परारथना सुनें. -बैका. चलो भी.	-పరభు, ఆలకించు. -బెకా. చూసుకో.
चलो भी.	చాలు.
तुम सच में उदार हो, रॉजर.	నిజంగా నువవు బాగా ఆలోచించావు, రోజర.
कहाँ जा रही हो?	నువవు వెళలిపోతుననావా?
बीमा?	బీమానా?
बस शांत हो जाओ.	నువవు పరశాంతంగా ఉండు.
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన రచన
हाँ, पुलिस रिपोरट पढो.	సరే, పోలీస రిపోరట దగగరకు వెళలు.
हाँ, मैं बस. . . मैं अचछी तरह अलविदा कहना चाहता था.	అవును. నేను వెళతుననాను. . . కానీ సరెన విధంగా వీడకోలు చెపపాలి అనుకుననాను.
कृपया, कोई जरूरत हो तो बताना.	నేను చేయగల సహాయం ఏదెనా ఉంటే దయచేసి చెపపు.
अब नहीं रही.	ఇంక ఆ అవసరం రాదు.
है न, बलानड?	అవును కదా, బలానడ?
पजामा? कयों?	పెజామాలా? ఎందుకు?
कया तुम टकराना चाहती थी?	ఏంటి, కారు ఢీ కొటటాలని అనుకుననావా?
यह आखिरी वाला है.	ఇదే చివరిది.
थॉमस कलाफिन.	నేను థామస కలాఫిన.
यह करिसमस की पूरव संधया है. अब हम तुमसे मिल ही नहीं पाते हैं.	ఇది కరిసమస పండుగ. ఇంక నినను ఇపపటలో చూడలేము.
-तो फिर तुम हमें छोड आओ? -बेशक नहीं. मैंने खुद एक गिलास पी थी.	-సరే, అయితే నువవు డరెవ చేసి మమమలని దింపుతావా? -ఖచచితంగా, దింపలేను. నేను కూడా తాగాను కదా.
बलानड, तुमहारी माँ कहाँ है?	బలానడ, మీ అమమ ఎకకడ?
वाह. बढिया है.	అదభుతం. గొపపగా ఉంది.
कसम से, अगर उसने एक और बार उसे "मैमी" बुलाया. . .	తనని అతను మరొకకసారి "మామీ" అననాడంటే, దేవుడి మీద పరమాణం చేసతుననాను. . .
किन परिसथितियों में?	ఏ పరిసథితులలో?
धनयवाद.	ధనయవాదాలు.
धनयवाद.	ధనయవాదాలు.
और पवितर आतमा की जय हो.	మరియు పవితర ఆతమకూ కీరతి కలుగుగాక.
कया? कैसे? डैड कभी. . .	ఏంటి? ఎలా? నాననకి ఎపపుడూ ఇలా. . .
मेरे सौतेले भाई के साथ.	నా సవతి సోదరుడు.
बहुत-बहुत धनयवाद. करिसमस की बधाइयाँ.	మంచి ఆలోచన. హయాపీ కరిసమస.
बस एक नए दावे में कुछ समसयाएँ हैं.	అది కేవలం, ఒక కొతత కలెయిమ లో కొనని సమసయలు ఉననాయి.
पता नहीं.	నాకు తెలియదు.
हे भगवान.	అయయో, దేవుడా.
ठीक है. करिसमस की बधाइयाँ.	సరే. హయాపీ కరిసమస.
जिसमें पकका मैंने काफी समय ले लिया. मैं बस. . .	నేను ఇపపటికే ఎకకువ సమయం తీసుకుననాను, అనుకుంటా. నేను ఇంక వెళలాలి. . .
पता नहीं. उसे गठिया है. और वह अलसर भी.	నాకు తెలియదు. వాడికి పుళలు ఉననాయి. ఇంకా అలసర కూడా ఉంది.
या तुम खाली समय में जो भी करते हो. . . रुको.	లేదా నీ చినన ఇంటలో ఏం చేయాలనుకుననావో చేసుకో. . . ఆ తలుపు ఉంచండి.
कया हम. . .	మనం కలిశామా. . .
बस कुछ सवाल पूछने हैं.	అంటే, కేవలం కొనని పరశనలు అడగాలి.
-हाँ, पर मुझे. . . -तुम अभी काफी सदमे में हो. माफ करना.	-అలాగే, కానీ నేను మాటలాడాలి. . . -మీ మనసులో చాలా ఆలోచనలు ఉండి ఉంటాయి. కషమించాలి.
कयों न मैं तुमहें एक मुफत मसाज दूँ?	నీకు ఉచితంగా మసాజ చేయనా?
ये तुमहारे लिए हैं.	ఇవి నీ కోసమే.
अकेले खाना खाना. अब मेरे साथ भी यही होगा.	ఒకకరికే భోజనం ఉంది. ఇక నుండి నా పరిసథితి కూడా ఇలాగే ఉంటుంది.
मैं बाथटब में ही रहना चाहती हूँ.	నాకు కొదదిసేపు ఈ సనానపు తొటటెలోనే ఉండాలని ఉంది.
जो भी हो, सभी संगीतकारों में बेसिसट मेरे पसंदीदा हैं.	అది ఎంత విషయమో నాకు తెలియదు, కానీ రిథమ విభాగంలో బాస వాయించే వాళలంటే నాకు ఇషటం.
वह एक दुरघटना थी. कोई जाँच नहीं होगी.	అది ఒక పరమాదం. అకకడ. . . అంటే, అకకడ విచారణ ఏదీ జరగలేదు.
इसलिए ऐसा लग रहा है कयोंकि तुमहारा शरीर बेहद अजीब और लंबा है.	ఎందుకంటే నీ శరీరం విచితరంగా, పెదదగా ఉంది.
वह तुमहारे जीजाजी थे, बिबी.	అతను నీ బావ, బీబీ.
हाँ.	అవును.
काफी भीड है.	జనం బాగానే వచచారు.
कया हुआ?	ఏమిటా విషయం?
हाँ.	అవును.
हमारी सारी चिंताएँ दूर हो जाएँगी.	మన బాధలననీ సమసిపోతాయి.
इससे उनहें खाद मिल जाती.	అవి పెరగడానికి ఆ చెతత ఉపయోగపడుతుంది.
हरी भरी चरागाहों में मुझे सुख से वह रखते हैं,	పచచికబయళలలో ననను ఆయన ఉంచుతాడు,
मेरी संवेदनाएँ.	నా సంతాపం.
तुम?	నువవా?
कया पी रही हो?	నువవు ఏం తాగుతుననావు?
तुम कया करती हो?	నువవు ఏం పని చేసతుననావు?
-कया मतलब? -पर मैं अकेली थी.	-నీ ఉదదేశం ఏంటి? -కానీ ఒంటరిదానిని అయయాను.
-ईशवर, हमारी परारथना सुनें. -वे यहाँ गरेस के लिए आए हैं.	-పరభు, విను. -వాళలు గరేస కోసం వచచారు.
"यहोवा मेरे गडरिया हैं, मेरे पास सदा सब कुछ रहेगा.	"పరభువు నా కాపరి, నేను ఏదీ కోరను.
उसे एक नया विततीय निदेशक चाहिए,	ఒక కొతత ఫెనానషియల డెరెకటర కోసం అతను చూసతుననాడు,
शायद अब भी एक तोहफा बचा है.	కరిసమస చెటటు కింద మరొక బహుమతి ఉందనుకుంటా.
वरना मैं तुमहें जरूर देखती.	నినను ఎకకడో చూశానని ఖచచితంగా అనిపిసతోంది.
लोग हर दिन मारे जाते हैं.	రోజూ ఏదో కారణంతో జనం చనిపోతూనే ఉంటారు.
मेरी पतनी बिसतर से उठ नहीं सकती है.	నా భారయ మంచం పటటి ఉంది.
हाँ. हाँ. वह हमारे जीजाजी थे.	అవును. అతను మా బావ.
हाँ. तुम आ सकती हो?	అవును. నువవు ఇటు వెపు రాగలవా?
उसे यह सब पता है.	అతనికి ఆ విషయాలననీ తెలుసు.
यह देखकर मजा आया?	నీకు నచచినది ఏమెనా చూశావా?
तुम ठीक हो? बैका?	నువవు బాగానే ఉననావా? బెకా?
और अब, हम जॉन पॉल विलियमस को धरती को सौंपते हैं,	అందువలల, ఆ తండరి మరియు తనయుడు ఇంకా పవితర ఆతమలని సమరిసతూ జాన పాల విలియమస ని
हम उनहें पुलिस को इसमें शामिल करने नहीं दे सकते.	మనం ఇందులోకి పోలీసులని లాగలేము.
-सच में? -शायद. हाँ.	-అవునా? -అదే అనుకుంటాను. అవును.
वे और सवादिषट बन सकते थे.	అవి బాగా ఉననాయి.
मैं लंदन में था.	ఏమో, నేను లండన లో ఉననాను.
सतरियों में आप धनय हैं,	ఆడవారి యందు నీవు దెవాశీససులు పొందావు
मैं अलविदा कहने आया था.	సరే, నేను వీడకోలు చెపపడానికి వచచాను.
तुम गरभवती हो?	నువవు గరభవతివి అయయావా?
उसे गहरे पानी में डुबो देती.	లోతుగా ఉనన సముదరంలోకి వాడిని బలంగా తోసేయాలి.
संभलकर जाना.	జాగరతతగా చూసుకోండి.
अलविदा, जान.	వీడకోలు, నా పరియతమ.
जॉन पॉल चरच का सकरिय सदसय था,	జాన పాల మన చరచ లో కరియాశీలక సభయుడిగా ఉండేవాడు,
अब, चलो भी. सोचो.	ఇలా చూడు, ఇపపుడు. ఆలోచించు.
माँ रोना बंद ही नहीं कर रही हैं.	అమమ ఏడుపు ఆపడం లేదు.
अरे, धत तेरी की.	ఓహ, బాబోయ.
-हम आ गए! -येय.	-మనం ఇకకడ ఉననాం! -అవును.
कया हुआ?	ఏంటి?
कया हुआ?	ఏంటి?
बस मेरी पीठ में दरद है.	ఎకకువగా నా తుంటి భాగంలోనే నొపపి ఉంది.
-कृपया, अगर तुम इजाजत दो. -हाँ.	-దయచేసి, మీతో కలిసి తినే అవకాశం ఇవవాలి. -తపపకుండా.
हाँ. . . वे कितने पुराने हैं?	అది నిజం. . . వాటిని బయటకు తీసి ఎంతకాలం అయింది?
ईशवर, हमारी परारथना सुनें.	పరభు, దయతో విను.
नहीं है.	ఇది అలా కాదు.
और आपके गरभ का फल, यीशु, धनय हैं.	నీ గరభము నుండి వచచిన ఫలము దెవాశీససులు పొందినది, జీసెస.
अब बस हम चार हैं.	ఇపపటికి మన నలుగురమే మిగిలాం.
तुम और रुबेन जाओ. मजे करो.	నువవు, రూబెన వెళలండి. ఈ రోజుని ఆసవాదించండి.
अरे, मेरी बचची.	ఓహ, కోతి.
यह तुमहारे हैं.	ఇవి మీవే.
नहीं, मैंने बस. . . हाँ.	లేదు, నేను కేవలం. . . అవును, ఏదో చేశాను.
वह है.	అదిగో ఆమె.
अगर तुमहें परेशानी न हो तो.	మీరు ఏమీ అనుకోనంటే, నేను ఇకకడ ఉండగానే అడగాలి.
यह दो.	దగగరకు రా.
मैं टॉयलेट में जा रही हूँ, जेपी, तो हाँ.	అంటే, నేను టాయిలెట కి వెళతుననాను, జెపి, కాబటటి, నాకు ఏకాంతం కావాలి.
ए, चलो. वापस चलते हैं.	హేయ, ఇలా రా. నీతో తిరిగి పోటీ పడతాను.
हाँ. अब उसका घर है.	అవును. సరే, ఇపపుడు ఇది ఆమె ఇలలు.
बस दो बार.	కేవలం రెండుసారలు.
-हमारे पास ढेरों हैं. -तुमहारे पास काफी हैम है? ठीक है.	-మాకు ఇవే ఎకకువ. -నీకు హామ చాలా?
वह अगले दस सालों में मर सकता है.	వాడికి కడుపులో గయాస ఉంది, అందుకే మరో పదేళలలో చనిపోవచచు.
जो आज हमारे साथ मौजूद नहीं हैं,	మనం సమరించుకుందాం,
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
अरे. . .	ఓహ, బాబోయ. . .
ठीक है.	సరే.
ठीक है.	సరే.
एक समसया है.	మనకి ఒక సమసయ వచచింది.
-तो मैं उसके वॉलवो का बरेक खराब कर देती. -हाँ!	-నేను ఊడపీకేసతాను. -అవును!
अरे, धत तेरी की.	ఓహ, అయయో.
अरे, धत तेरी की.	ఓహ, అయయో.
और अब यह.	ఇంకా ఇపపుడు ఇది.
मैं अकसर उसके सिर के कोमल भाग में	వాడి తల మీద గటటిగా ఒక పిడిగుదదు గుదది వాడి మెదడుని కొటటాలని
-एक कुँवारी लडकी कयों. . . -"कुँवारी"? सभी सुनो, कुँवारी.	-నా ఉదదేశం, ఒక పెళలికాని వృదధమహిళ ఎందుకు. . . -"పెళలికాని వృదధమహిళా"? పెళలికాని వృదధ మహిళా, మాటలాడండి.
तुम मुझे उततेजित कर रही हो.	అవి చెతత మాటలు.
बेशक.	తపపకుండా.
अपनी बहनों के साथ थी.	నా చెలలెళలతో కలిసి ఉననాను అని చెపపాను.
अब और नहीं.	ఏది ఏమెనా, ఇంక చాలు.
यह लो.	ఇదిగో చూడు.
मैं उसे अकेले नहीं छोड पाई.	అతను ఒంటరివాడు అనే ఆలోచనని నేను భరించలేకపోతుననాను.
बस एक फोन ही काफी है.	కేవలం ఒకక ఫోన కాల కి అందుబాటులో ఉంటాను.
थेरेसा, मेरी बात सुनो.	థెరెసా, ఇకకడ నా అధికారానని పరకటిసతుననాను.
पर पब से लौटते समय वह गिर पडी.	కానీ పబ నుండి తిరిగివసతూ ఆమె కిందపడి దెబబ తగిలించుకుంది.
जिन और टॉनिक. डबल और सलिम.	జిన ఇంకా టానిక ఇవవండి. ఎకకువ ఇంకా తేలికగా ఉండేది.
मेरा घर काफी दूर है.	మీకు తెలుసు, ఇంటికి చాలా దూరం వెళలాలి.
आइए अब हम अपने निजी इरादों के लिए	మనందరి భావనల కోసం
मौन परारथना करें.	ఒకక కషణం నిశశబదంగా పరారథన చేదదాం.
अरे, नहीं.	అయయో.
नहीं है.	తనకి అవసరం లేదు.
ए.	హేయ.
वह तो रोएगी ही. . .	సరే, అదీ, నీకు తెలుసు, అది ఏంటంటే. . .
पगली.	పిచచిదానా.
सच में?	నువవు చూసతావా?
तो, बस.	సరే, ఇంక ఇంతే.
अभी	ఇపపుడు
नहीं है.	పెదదగా ఏమీ లేదు.
मैं बस जाकर. . .	నేను వెళలి దానని ఆపి వసతాను. . .
ए.	హేయ.
पर यह बेहद मजेदार है.	ఇది పెకి కనిపించే దాని కననా సరదాగా ఉంటుంది.
यह बहुत, बहुत बुरी बात है.	అవును, అది చాలా ఘోరమెన, దారుణమెన, విపరీతమెన సిగగుచేటు.
तुम गलत हो.	సరే, నువవు సరిగగా లేవు.
बकवास मतलब?	అందులో చెతత మాట ఏముంది?
हाँ, हाँ.	అవును, అందంగా ఉంది.
कयों न हम थोडी मदद कर दें?	నా ఉదదేశం, పరకృతికి మనం కూడా ఒక చేయి ఎందుకు అందించకూడదు?
यह लो.	ఇదిగో తీసుకో.
-वाह. -हाँ.	-తెలివెన నిరణయం. -అవును.
धत तेरी की!	అయయో!
धत तेरी की.	చెతత.
धत तेरी की.	చెతత.
टॉम. टॉम.	టామ.
बरेकसिट की वजह से.	బరెకసిట.
कया हुआ?	అకకడ ఏం చూసతుననావు?
पिता और पुतर,	లోకములనేలు తండరికీ, ఆయన బిడడకూ,
नहीं डरूँगा.	నేను దుషటశకతి గురించి భయపడను.
-सच में? -कैसे हो?	-ఇపపుడు జోక చేశావా? జోక చేశావా? -ఎలా ఉననావు?
ठीक है! अगर मुझे यह करना आता,	మంచిది! నేనేం చేసతుననానో నాకు తెలిసతే గనుక, వాడి చెతత వోలవో కారు బరేకులని
चिपस?	చిపస తెసతావా?
अचछा?	అది మంచిదేనా?
चलो.	లోపలికి రా.
दोनों में समानताएँ हैं.	పోలికలు.
बताओ.	అదేమిటో విందాం.
कया?	ఏంటి ఈ చెతత?
कहाँ?	ఎకకడికి వెళలాలి?
बेशक लगा.	అవును, నిజమే. మాకు గటటి దెబబ.
नहीं.	లేదు, సరిపోదు అనుకుంటా.
धत तेरी की.	ఛ.
