जेपी!	జెపి!
शायद उसने तुम पर दया की?	బహుశా అది అతని మంచితనం కావచచు కదా?
उममीद है हमारे पास बैकअप योजना है.	మనకి పలాన బి ఉందనుకుంటా.
जिसमें भी एलकोहॉल हो, जान.	ఆలకహాల ఉననది ఏదెనా ఫరవాలేదు, డారలింగ.
इसके नीचे घुस नहीं पा. . .	ఈ చెతత దాని కింద నేను పటటడం లేదు. . .
धनयवाद.	ధనయవాదాలు.
हाँ, बेशक जागते होगे.	అవును, నువవు ఖచచితంగా చేసతావు.
धनयवाद.	ధనయవాదాలు.
पर, हाँ, चिंता भी है.	కానీ, సరే, ఆందోళన కూడా ఎకకువే.
तो, कोई मुझे यह योजना समझाओ.	సరే, ఏవరెనా ఈ పలాన గురించి నాకు చెపపండి.
तो, अब यह मेरी गलती है, हाँ?	అయితే, ఇపపుడు ఇది నా తపపే అంటావు, అవునా?
बस. . .	కేవలం. . .
कयोंकि मुझे यह जानना है, गरेस,	ఎందుకంటే నేను ఒక అభిపరాయానికి రావాలి, గరేస,
सूजन बराबर होगी.	చెలలుకు చెలలు అవుతుంది.
ए, सिरी. सथानीय असपताल तक का रासता दिखाओ.	హేయ, సిరి. ఇకకడి నుండి సథానిక హాసపిటల కి నాకు దారి చూపించు.
पागल कहीं की.	చెతత పని.
चलो भी, कमबखत. . . बेवकूफ!	ఇంక రా, చెతత వెధవ!
हाँ. हाँ.	అవును. అవును.
पता नहीं.	నాకు తెలియదు.
पता नहीं.	నాకు తెలియదు.
तुमहारे पास अब भी. . . अरस!	నువవు ఇంకా ఇది పటటుకుననావేంటి. . . ఉరస!
पता नहीं.	నాకు తెలియదు.
तुमहें अपनी बहन के लिए बदला लेना चाहिए था.	అది మన అకక కోసం జరిగి ఉండాలి.
अरे, चलो. बस. . . चलो. चलो. . .	ఓహ, రండి. కేవలం. . . రండి. ఇది అందుకోండి. . .
नहीं आ रहा?	అతను రావడం లేదా?
शायद यह बेहतर होता अगर तुम नाव में जाते, हँ?	బహుశా నువవు ఈ రోజు నీ పడవని బయటకు తీసి ఉంటే, ఇంకా బాగుండేది, హు?
वैसे, मैंने ही तुमहें धकका दिया था.	కానీ, నేను నినను తోశాను.
कयोंकि, सच में, मैं ऐसे नहीं जा सकती.	ఎందుకంటే, నిజంగా చెబుతుననాను, నేను ఇలా తయారె వెళలలేను.
तो आज ही वह दिन है?	ఈ రోజేనా అది?
वाह. इसमें काफी एहसास छुपा है.	సరే, ఇంక. ఈ పాట చాలా మాటలు చెబుతుననటలు ఉంది.
वह इस पर पूरी तरह से निरभर है.	వాడు దేని కననా ఎకకువగా మందుల మీద ఆధారపడతాడు.
हाँ. तो, अरसला ने कहा कि वह असपताल से रोहिपनॉल की	అలాగే. ఉరసులా, రోహిపనాల సీసాని దొంగచాటుగా తన హాసపిటల నుంచి తీసుకురాగలనని
पीछे हटो. नरस को अपना काम करने दो.	వెనకకి వెళలండి. దీని యజమానురాలని ఈ పని చేయనివవండి.
पेशेवर देखभाल होगी.	నిపుణులు నీకు సేవలు చేసతారు,
-माफ करना? -सच में?	-కషమించండి? -నీకు అరథమయిందా?
खुद पर नियंतरण रखो.	నినను నువవు అదుపులో పెటటుకో.
अचछा? मुझे याद नहीं है.	నువవు ఉండేదానివా? నాకు గురతు లేదు.
-मिन, तुम ठीक हो? -हाँ.	-మిన, నువవు బాగానే ఉననావా? -అవును.
मैं सो भी नहीं रहा हूँ.	కాబటటి నాకు కొదదిగా కూడా నిదరలేదు.
और वह भी बिबी के हाथों वह हुआ.	ఇంకా, మన అందరిలో, టరిగగర నొకకిన బీబీ గురించి.
हाँ.	అవును.
मॉनिका को आराम करने के लिए	మోనికాకి పది నిమిషాలు విరామం ఇదదాం. . .
शायद तुम यह नहीं पीयोगी.	వీటిలో ఒకటి నువవు తీసుకోవు అనుకుంటా.
हम. . . हम करते हैं.	మేము. . . నేను పరయతనిసతుంటాను.
बिबी के बिना नहीं.	బీబీ లేకుండా మనం ఏం చేయదదు.
खुश है, महारानी की तरह बिसतर में लेटी रहती है.	తను చాలా సంతోషంగా ఉంది, బౌడికా మహారాణి లాగా మంచం మీద పడుకుని ఉంటుంది.
खुद से भी.	నాతో నేను కూడా.
आज रात बाहर से खाना मँगवाएँगे.	ఈ రాతరి బయటే తినాలి.
गरेस! गरेस, वापस आओ!	గరేస! గరేస! ఇకకడికి తిరిగి రా!
हाँ.	అవును.
केवल इसी तरह मुझे कोई लडकी मिलती.	ఒక ఆడపిలల మెపపు పొందడానికి నాకు ఉనన మారగం ఇదొకకటే.
पुरुषों की नाजुकता, है न?	పురుష దురబలతవం గురించి మాటలాడండి, హేయ?
तुमहें यहाँ किसी ने नहीं बुलाया.	నినను ఎవవరూ రమమనలేదు.
-वह लौट आया है. -कया?	-వాడు తిరిగొచచేశాడు. -వాడు ఏంటి?
भगवान. काश वे करते.	దేవుడా. నేను అదే ఆశిసతుననాను.
बस मुझसे बात करो.	ఊరికే నాతో ఒకసారి మాటలాడు.
यह कया हो रहा है?	ఏంటి ఇదంతా?
इवा यहाँ आओ	ఈవా ఇకకడికి వచచేయ
मैं इसलिए जेपी की आतमहतया की कोशिश के बारे में बात नहीं करती हूँ कयोंकि वह खुद इस पर बात नहीं करता था.	జెపి ఆతమహతయా యతనం గురించి నేను ఎందుకు మాటలాడనంటే అతను ఆ పని చేయడు.
जलदी करो.	తవరగా కానివవు.
मैंने ना नहीं कहा था, है न? तुमहारी नीली गोलियों को.	నేను ఎపపుడూ వదదని చెపపలేదు, అవునా? నీ చినన పిచచి నీలం టాబలెటలు వేసుకోనని చెపపానా?
तो, शायद हम जीत गए. है न?	సరే, ఎలా గెలిచినా గెలుపు గెలుపే. అవునా?
तुमने आखिरी बार कब. . .	నిజానికి నువవు చివరిసారి ఎపపుడు. . .
मेरी तुलना में, यहाँ आने वाले आखिरी संबंधित नागरिकों को	అంటే, నాలాంటి బాధయత పౌరులు చాలామంది
अलविदा.	వెళలొసతాను.
नहीं, बिलकुल नहीं. वह गे है.	లేదు, నిజంగా ఏమీ లేదు. అతను సవలింగ సంపరకుడు.
वैसे, ना भी नहीं कहा.	కానీ, ఆమె లేదు అని కూడా చెపపలేదు.
आमतौर पर, यही नहीं करते हैं?	అది సామానయంగా అందరూ చేసేదే అనిపిసతోంది, కదా?
अगर करेंगे, तो जाओ. मैं नजर रखूँगी.	సరే, చేసతుననాము అంటే, ముందుకెళదాం. నేను గమనిసతూ ఉంటాను.
तुम इसे यहाँ कयों लेकर आए?	అయితే దానిని ఇంతదూరం ఎందుకు తీసుకువచచావు?
कल? कया तुमहें पैसे चाहिए?	రేపా? దాని కోసం నీకు డబబులు ఏమెనా కావాలా?
जो पूरी तरह से कमीना न हो.	అతను అందరిలాగా చెతతవెధవ కాకుండా ఉంటాడేమో.
तुमहें कप फाइनल की टिकटें भेज दूँगा.	ఆ టోరనమెంట కప ఫెనల టికెటలు మీకు పోసటులో వసతాయి చూసుకోండి.
मुझे गले लगाओ, बेवकूफ.	ననను కూడా ఆలింగనం చేసుకో, చెతతదానా.
हाँ. जरूर.	అలాగే. తపపకుండా.
मुझे बताओगे कि कया कहा गया था?	నా గురించి ఖచచితంగా ఏం చెపపారో నాకు వివరించగలరా?
लगता है हाल ही में मैं ही सबसे दूर रही हूँ.	ఈ మధయ కాలంలో నేను పరతి విషయంలోనూ లకషల మెళల దూరంలో ఉననటలు అనిపిసతోంది.
कभी-कभी, लगता है वे अब भी करेंगे.	వాళలు ఇపపటికే అదే అనుకుంటారని అపపుడపపుడు అనిపిసతుంది.
शायद तुम सीधे कहने के लिए माफी चाहूँगा, जवाब टाल रही हो.	నేను కఠినంగా అడుగుతుననందుకు కషమించండి, కానీ నా ఉదదేశంలో మీరు విషయానని పూరతిగా చెపపడం లేదు.
मेरी मदद करोगी, गरेस?	ఈ విషయంలో నాకు సాయం చేసతారా, గరేస?
गरेस, तुम पैदाइशी आकरषक हो.	గరేస, నువవు సహజంగానే చాలా ఆకరషణీయంగా ఉంటావు.
आज कया कर रहे हो?	ఈ రోజు నీకు ఏం పనులు ఉననాయి?
कया तुम पैंट पहनोगे?	నీకు పయాంటు వేసుకునే ఉదదేశం ఉందా?
तुमहें लगता है वे इस तरह हसतकषेप करते?	వాళలు ఆ విధంగా నీ జీవితంలో జోకయం చేసుకుంటుననారని అనుకుంటుననావా?
और कितना नीचे गिरोगी?	నువవు ఇంతకననా ఎంత తకకువ దిగజారగలవు?
आज अकेले आए हो.	ఈ రోజు మీరు ఒకకరే వచచారు.
बदमाश.	కొంటెదానా.
कया मैं ही वजह थी?	అది నా కారణంగానే జరిగిందా అని?
कया मतलब?	నీ ఉదదేశం ఏంటి?
तो यह सही नहीं है.	అది చాలా మూలయం చెలలించుకోవడమే.
कयों? कया बदल गया?	ఎందుకు? ఇపపుడు ఏం మారిపోయింది?
-हे भगवान! -छी.	-దేవుడి దయ కలగాలి! -ఘోరం.
छी.	నీచం.
और शायद मुझे कोई	ఇంకా బహుశా నేను సంగీతమో ఏదో
हाँ, बेहतर होगा हम बस एक मोमबतती जलाएँ,	అవును, మనం కేవలం ఒక కొవవొతతు వెలిగించి, అతను రాతరి వేళ సనానం చేసతూ
-कैसे हो? -बेहद बेचैन हूँ.	-ఈ ఉదయం నీకు ఎలా ఉంది? -నాకు ఆందోళన పోయింది.
-धत. -बस. . .	-చెతత, ఆహ! -కేవలం. . .
सब ठीक है?	అంతా బాగానే ఉందా?
कारण मैं खुद हूँ.	నేను నేనే.
कुछ भी करने की जरूरत नहीं है.	ఏ విషయంలోనూ కూడా.
सच में.	ఇది బాగుంది.
घाट पर दिन अचछा बीता.	రేవు దగగర ఈ రోజు చాలా బాగా గడిచింది.
एक माँ आ नहीं पाएँगी.	మా జటటు సభయులలో ఒకరి అమమ రావడం లేదు.
इसलिए तुम डरग सटोर तक मेरा पीछा कर रहे थे.	అందుకే కదా, నువవు ననను దొంగచాటుగా మందుల దుకాణం వరకూ అనుసరిసతూ వసతుననావు.
वाह.	అదభుతం.
जान.	బంగారం.
ठीक है.	సరే.
उसकी वजह से?	అకకడ ఆ వయకతి గురించా?
धयान से.	ఇపపుడు జాగరతత.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
धीमे से.	కేవలం కొదదిగా.
अब तुम बॉस बनोगे?	ఇపపుడు నువవు నాకు బాస అవుతావా?
तो, छोडो उसे.	అయితే, ఆమెని మరచిపోదాం.
किसी को पता नहीं चलेगा.	అది మిస కాదు.
संगीत वगैरह सुनाई देगा.	వింటూంటానేమో.
तुमहारे पास केवल एक-दूसरे का ही साथ है.	మీరు ఒకరికొకరు ఉననారు.
थॉमस जवाब देने के लिए सलाइड करें	థామస సలయిడ టు ఆనసర
अरे, धत तेरी की.	ఓహ, చెతత.
आमतौर पर, जो भी मेरे बिसतर में होता है, उनहें वह पसंद नहीं आता है.	వాళలు నా పకకలో ఎవరు ఉననా అంగీకరించరు.
गैबरिएल गे है.	గాబరియేల సవలింగ సంపరకుడు.
अचछा? पता नहीं.	బాగుందా? నాకు తెలియడం లేదు.
और आप मुझ पर ढेरों पैसे खरच करेंगी.	ఇంకా నీ నుంచి ఎకకువ డబబులు గుంజడానికి ఇది కేవలం ఒక సాకు మాతరమే.
हे भगवान.	చెతత.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
दूसरा कारण है, मैं सोचती हूँ. . .	ఇంకొక కారణం ఏమిటంటే, నా అంతరంగంలో, నేను ఆలోచిసతూ ఉంటాను. . .
तुम ठीक हो?	నువవు బాగానే ఉననావా?
तुम ठीक हो?	నువవు బాగానే ఉననావా?
सबको बिना मेहनत किए ही पैसे चाहिए.	పరతి ఒకకరూ ఏమీ చేయకుండానే లకషలు సంపాదించేయాలని కోరుకుంటుననారు.
कितना भददा शोर है.	ఏంటి ఈ ఘోరమెన, ఘోరమెన శబదకాలుషయం.
और इसलिए टालने में	అందుకే వివరాలను కలుపతంగా చెబుతాము
भयानक?	భయంకరమెనదా?
मिल गया. वह यहाँ है.	నాకు దొరికింది. ఇకకడ ఉంది. ఇకకడ ఉంది.
घर जाओ.	ఇంటికి వెళలు.
कमीने कहीं के.	నువవు ఒక చినన చెతత పోగువి.
बेचारी.	పాపం పిచచిది.
कया इसका कोई कारण है?	సరే. . . అంటే, అందుకు ఏదెనా కారణం ఉందా?
यह देखने की जरूरत नहीं थी.	ఆ అవసరమే లేదు.
यह हाँ जैसा नहीं लगता है.	ఆమె సపషటంగా అవును అని చెపపినటలు అనిపించడం లేదు.
गरेस, नहीं. कभी नहीं.	గరేస, లేదు. నీ విషయంలో ఎపపుడూ అలా జరగదు.
तो फिर, आओ.	నువవు కూడా చేయి, మరి.
वह कमीना बचचे जैसा है.	ఆ చెతతవెధవ ఒక చిననపిలలాడు మాదిరిగా ఉంటాడు.
वह सूंघ लेगा.	వాడికి ఈ వాసన తెలుసతుంది.
जैरलड आता ही होगा.	జెరాలడ ఏ కషణాననయినా ఇకకడికి రావచచు.
अरस, कया तुमहें मुझसे कोई परेशानी है?	ఉరస, బాగానే ఉననావా?
काश वह बस दवाइयाँ आजमाता.	అతను టాబలెటలు వేసుకోవాలని ఆ దేవుడిని కోరుకుంటాను.
सुपरभात.	అందరికీ శుభోదయం.
और सवाल?	మరికొనని పరశనలా?
ए.	హేయ.
ए, बेशक, यह मैं हूँ.	హేయ, నిజానికి, నేనే మళలీ ఫోన చేసతుననాను.
कभी नहीं.	ఏమీ పరయోజనం ఉండదు.
बेशक नहीं थी.	ఖచచితంగా తను సంతోషించలేదు.
कृपया.	దయచేసి విను.
वरना वह नहीं बचेगी.	ఆమెలో కొదదిగా కూడా ఆతమవిశవాసం మిగలలేదు.
कया आप चल सकेंगी?	నువవు వసతావేమో అడుగుదాం అనుకుననాను?
शायद. . .	నేను అనుకునేది. . .
मजे करो.	సరదాగా ఆసవాదించు.
नहीं, नहीं, मैं पता लगाता हूँ. मैं पता लगाता हूँ.	లేదు, నేను కనుకకుంటాను.
सेकस करते हो?	ఇంకా శృంగారం చేసుకుంటుననారా?
माँ. बेचारी.	అమమా. నువవు ఒక పిచచిదానివి.
चुप रहोगी?	నువవు నిశశబదంగా ఉంటావా?
चलो भी.	పద.
हाँ, पर उसका आकार भी.	అవును, కానీ పరతి విషయంలో ఆమెకు ఎకకువ జాగా కావాలి.
आठ हजार.	ఎనిమిది వేల డాలరలు.
जरा सोचो, रॉजर.	నీ మనసులో మాట ఏమిటో నాతో చెపపు, రోజర.
उसकी बात छोडो.	నేను ఏం అంటానంటే, ఆమెను అలా వదిలేయ.
खैर, धनयवाद.	సరే, ధనయవాదాలు. నేను ఆలోచిసతాను.
दस मिनट दो.	తను శరీరానని కదిలించుకుంటుంది.
चलो.	లోపలికి రా.
दुःख की बात है.	పాపం.
बेशक है.	నేను తపపకుండా పటటించుకుంటాను.
बस?	ఇంక అంతేనా?
