एमबुलेंस	అంబులెనస
और थेरेसा ने मुझे आबराकबाबरा से कबाब लाने को कहा है,	ఇంకా థెరెసా ననను అబరకెబాబరాకి వెళలి మాంసం కెబాబ తీసుకురమమని అడిగింది,
बैका, तो मैं विकलो में उस पब में गया था जहाँ जेपी ने अपनी आखिरी रात बिताई थी.	బెకా, జెపి తన చివరి రాతరి గడిపిన వికలో పబ కి నేను వెళలాను.
कया देख रही हो?	నువవు ఏం చూసతుననావు?
मुझे पता है.	నాకు తెలుసతోంది.
बारमेड ने गलत कहा.	బార మెయిడ తపపు చెపపింది.
यह बेहद अचछा है.	ఇది బాగుంది.
अंदर आओ! इतनी बडी है.	లోపలికి రా! ఇది చాలా పెదదది.
यह विशाल है.	ఇది భారీగా ఉంది.
जब से जॉन पॉल मरा है,	జాన పాల చనిపోయిన రోజు నుంచి,
-और कयोंकि. . . -नहीं! बस. . .	-ఇంకా ఎందుకంటే. . . -లేదు! ఇంక చాలు. . .
तुम कया कह रहे हो?	నువవు ఏం మాటలాడుతుననావు?
-गरभपात के लिए? -हाँ.	-ఆ గరభసరావం గురించా? -అవును.
कया हुआ?	అయితే?
-कोई बात नहीं. -तुम जाओ.	-ఫరవాలేదు. -వెళలు.
कया तुम. . .	నీకు. . .
कया तुमने वह लिया?	సరే, వాటిని తీసుకుననావా?
चलो!	పద!
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన సృజన
इस पर मेरे हसताकषर हैं जैसे कि मैंने इसकी सहमति दी थी.	నేను అంగీకరించినటలు దాని మీద సంతకం ఉంది.
अगर मैं तुमहारे लिए कुछ भी मायने रखती हूँ. . .	నా మీద నీకు ఏ మాతరం ఇషటం ఉననా. . .
लडकियाँ कैसी हैं?	తలలీకూతుళలు ఎలా ఉననారు?
शायद कुछ लोग इसे गलत मानते हैं.	చటటపరంగా అది పెదద నేరమే అవుతుంది అనుకుంటా.
कया तुमने मेरे लिंग के बारे में अपनी बहनों से बात की?	నా అంగం గురించి మీ సిసటరస తో మాటలాడావా?
पर मैं अभी थोडी वयसत हूँ.	నేను ఇపపుడు కొదదిగా బిజీగా ఉననాను.
और वह मुझसे बेहद नाराज हो गया.	అతను నా మీద కోపపడడాడు.
मेरे जेल जाने से पहले?	నేను జెలుకు వెళలే లోగా అంటావా?
तुम उस रात कहाँ गए थे?	ఆ రాతరి నువవు ఎకకడికి వెళలావు?
तो फिर. . .	సరే, అయితే. . .
हमने लाश खोदकर निकलवाई, टॉम. . . अरे, धत!	మనం ఆ శవానని వెలికి తీయించాం, టామ, దయచేసి. . . ఓహ, చెతత!
कयोंकि वह कमीना था.	ఎందుకంటే వాడు ఒక చెతతవెధవ.
अब दोबारा तुमहारा वजूद है.	నీ ఉనికి మళలీ ఉంది.
हमारे पास कोई चारा नहीं है. यहाँ नहीं रह सकती.	మాకు మరో మారగం లేదు. ఇకకడ ఉండటానికి అయయే ఖరచుని నేను భరించలేను.
बारमेड ने कहा कि उसे पकका यकीन नहीं है कि तुमहारा पति वहाँ आया था या नहीं.	మీ భరత అకకడికి వచచాడో లేదో తను సపషటంగా చెపపలేకపోయింది.
तो, हाँ.	అయితే, సరే.
कुछ नहीं. बस राजनीति पर.	ఏమీ లేదు. ఊరికే రాజకీయాల గురించి.
तुमने मुझ पर दोष डाला!	ననను నిందించావు!
हमें विलियमस दावे का भुगतान करने की जरूरत नहीं है, टॉम.	మనం విలియమస కలెయిమ చెలలించనకకరలేదు, టామ.
कया मैंने उसका बलातकार किया? नहीं. ऐसी महिलाओं का बलातकार नहीं किया जाता है.	నేను రేప చేసతానా? లేదు. అటువంటి ఆడదానని ఎవరూ రేప చేయరు.
गरेस, तुम ठीक हो, जान? तुम ठीक हो?	గరేస, నువవు బాగానే ఉననావా, బంగారం? కుదుటపడడావా?
फरक पडता है! बेशक, फरक पडता है!	అదే అసలు విషయం! అవును, ఖచచితంగా, అదే విషయం!
उसने हम सभी की बरदाशत की हदें लाँघी.	నా ఉదదేశం, అతను మనలని అందరినీ విపరీతంగా వేధించాడు.
एहसास नहीं हुआ था कितना तरसी थी.	ఎంత మిస అయయానో తెలియదు.
मैं गंभीर हूँ.	అది తపపదు.
मुझे माफ कर दो.	చాలా, చాలా కషమించాలి.
और मुझे याद है मैं उसे देखकर मुसकुराई, पर बस. . .	అతడిని చూసి నవవాను, కానీ కేవలం. . .
पर वह. . .	కానీ అతను. . .
कयों?	దేనికి?
-चलो! -पानी में उतरो!	-దూకేయ! -వచచేయ!
गंदगी के लिए माफ करना.	అంతా చిందరవందరగా ఉంది, మననించు.
तो मैं एक सथानीय परिवार, विलियमस परिवार का बीमा संभाल रहा हूँ.	నేను విలియమస ఫయామిలీ పాలసీని డీల చేసతుననాను.
हाँ, नहीं, उसकी पतनी के कारण. उनके बचचे के कारण.	అవును, లేదు, అతని భారయ. వాళల బేబీ.
तुमहारा वॉश-बैग कहाँ है?	నీ వాష బయాగ ఎకకడ?
तुमहारे. . . तुमहारे डेसक पर कलम नहीं है.	నీ. . . నీ డెసక మీద పెన లేదు.
मुझे बस. . .	నేను కొదదిగా. . .
-कया कह रहे हो? कौन आदमी? -पता नहीं.	-నువవు ఏం మాటలాడుతుననావు? ఏంటి బాబు? -నాకు తెలియదు.
घर में ही पहनकर घूमी थी.	వీటిని తొడుకకుని ఇలలాంతా తిరిగాను.
किस बारे में झगड रही हो?	మీరు దేని గురించి గొడవ పడుతుననారు?
कया हुआ, गरेस? तुम ठीक हो?	ఏం అయింది, గరేస? నువవు బాగానే ఉననావా?
हम मिलकर सामना करेंगे, एक-दूसरे की रकषा करेंगे.	మనం అంతా కలిసికటటుగా, ఎదురకొందాం.
कुछ चिकितसीय समसया है, तो मैं वहाँ जाने वाला हूँ.	వాళలకి కొదదిగా సీరియస అయింది, అందుకే నేను కాసేపటలో అకకడికి వెళతుననాను.
ईरषया करती रहो, कैरी बरेडशॉ.	కేరీ బరాడషా కూడా అసూయ పడేంత పెదదగా ఉంది.
मैट का फोन है.	మయాట ఫోన చేసతుననాడు.
तुमसे पयार है.	నినను పరేమిసతుననాను.
देखा? अब तुम परछाई भी नहीं हो.	చూశావా? నువవు ఇపపుడు కనీసం నీడవి కూడా కావు.
उनहें वह पेड से टकराया हुआ पडा मिला.	వాళలు అతడిని చూసేసరికి, చెటటుకి ఢీ కొటటి కనిపించాడు.
पता नहीं कब तक, पर मैं संपरक में नहीं रहूँगा.	ఎంత కాలమో తెలియదు కానీ నేను కొననాళలు ఎవవరికీ కనిపించకుండా పోతాను.
मजे करना.	సరదాగా గడుపు.
-ए! -चलो!	-ఓయ! -ఇలా రా!
तो, तुम दोनों पर आँख मूंदकर विशवास किया जा सकता है,	అయితే, మీరిదదరూ ఒకరినొకరు నమముతారు,
मुझे बाथरूम जाना याद है.	నేను బాత రూమ కి వెళలినటలు గురతుంది.
बला, तुमसे पयार है.	బలా, ఐ లవ యూ.
और उसने मुझे फँसाया, और. . .	ఆ తరువాత తను ననను మభయపెటటి, ఇంకా అది. . .
तुमहारे पडोसी ने कहा कि तुमहारे पति ने उस पर बचचों के परति आकरषित होने का आरोप लगाया.	మీ ఎదురింటి ఆయన ఒక పీడోఫెల అని మీ ఆయన ఆరోపించాడని చెపపాడు.
वह बलातकार, वह यातनाएँ.	ఆ రేప గురించి, అతని హింసల గురించి.
उनहें लगता है कि जेपी की हतया हुई थी.	జెపి చనిపోవడంలో ఏదో కుటర జరిగిందని వాళలు అనుకుంటుననారు.
वह मर गया.	అతను చనిపోయాడు.
वह मर गया.	అతను చనిపోయాడు.
कया हुआ?	ఏం జరిగింది?
कृपया, अब यहाँ से जाओ.	నువవు మా ఇంటి నుండి దయచేసి వెళలు.
हाँ.	అలాగే.
जब मैं नशे में था.	నేను తాగిన మెకంలో ఉననపపుడు.
हाँ.	అవును.
तो उसे कया पता है?	అయితే తను ఏం తెలుసుకుననాడు?
मुझे पता था कि मुझे वापस पयार के रासते पर चलने की जरूरत थी, समझे?	నేను మళలీ పరేమగా ఉండాలని భావించాను, తెలుసా?
विलियमस की मनोरोग रिपोरट के लिए "धनयवाद" के रूप में.	విలియమస సెకియాటరిక రిపోరట ని నాకు ఇచచినందుకు అతనికి "థాంకయూ" చెబుతూ ఇవవాలసినవి.
पर जब वह हुआ था मैं उसके साथ थी. वह टूट चुकी थी.	కానీ అది జరిగినపపుడు నేను తనతోనే ఉననా. తను పూరతిగా బాధలో మునిగిపోయి ఉంది.
कयोंकि मैं एक भी और मिनट तुमहारे बगल में लेटना बरदाशत नहीं कर पाया.	నీ పకకన మరొకక నిమిషం కూడా నేను ఉండలేకపోయాను.
जो उसने कहा, मैंने वह नहीं किया.	అతను నేను చేశానని చెపపిన పనిని నేను అసలు చేయలేదు.
केवल तुम ही इतनी पागल हो कि यह अकेले करोगी.	సొంతంగా ఏదెనా చేయగల మానసిక సథయిరయం ఎవరికెనా ఉందంటే, అది నీకే ఉంది.
बस भुगतान करने से पहले कुछ जाँच कर रहा हूँ.	మేము డబబు చెలలించడానికి ముందు కొదదిగా ఇతర విషయాలని పరిశీలిసతుననాం.
हे भगवान. मैं अभी आता हूँ.	ఓహ, దేవుడా. నేను ఇపపుడే బయలుదేరుతుననాను.
नहीं, ठीक है.	లేదు, మీరు కూరచోండి.
हाँ, पर अब ठीक नहीं रहेगी.	అవును, అంటే, ఇంకో నిమిషంలో తను బాగుండదు.
बरोफी बिक गया	బరోఫీ వికరయించబడింది
बस, चुप रहो. अंदर चलो.	కాసేపు నోరు మూసుకో. లోపలికి వెళలు.
यह पागल है!	తను ఒక చెతత సెకో!
और वह मुझे देख रहा था.	అతను కింద పడి ఉనన ననను చూసతుననాడు.
वे ऐसा कयों सोचेंगे?	వాళలు అలా ఎందుకు అనుకుంటుననారు?
मैं. . . मैं नशे में थी. हाँ.	నేను. . . నేను తాగి ఉననాను. నేను తాగి ఉననాను.
कह दो कि बस तुम और मैं हैं.	ఈ రోజు నువవు నేను మాతరమే గడుపుతామని చెపపు.
उसके वॉकिंग बूट.	అతను నడక కోసం వాడే బూటలు.
उममीद है, कोई खबर होगी.	ఏదెనా వారత చెపతారు, అని ఆశిసతుననాను.
हाँ, जानता था.	అవును, ఒకపపుడు తెలుసు.
उस विकृत कमीने के साथ	అందుకు ఆమె చాలా అరహురాలు ఎందుకంటే
तुम झूठे हो.	నువవు అబదధాలకోరువి.
ए. वह ठीक है?	హేయ, తను బాగానే ఉందా?
बैका कहाँ है?	బెకా ఎకకడికి పోయింది?
कया कह रही हो? कया मतलब है? "कोशिश की"?	మీరు ఏం మాటలాడుతుననారు? మీ ఉదదేశం ఏంటి? "మేము పరయతనించాం" అంటే?
तुम दोनों की गलती नहीं है.	మీ ఇదదరిదీ కాదు.
हे भगवान. तुमने अपनी मरजी से गले लगाया.	దేవుడా. సవచఛంద కౌగిలింత.
किसका इंतजार है?	దేని కోసం ఎదురుచూసతుననావు?
कोई भी ईमेल आए तो जवाब देना.	నా ఇన బాకస లో వచచే పరతి సందేశానికీ జవాబు ఇవవు.
पर जो तुमने किया,	. . . కానీ నువవు చేసిన సాయం,
-और कुछ? -पता नहीं, मैट.	-ఇంకా ఏమెనా ఉననాయా? -నాకు తెలియదు, మయాట.
धत.	చెతత.
इसलिए.	అదే కారణం.
धत.	చెతత.
धत.	చెతత.
तो, तुम कया करोगे?	అయితే, ఇపపుడు ఏం చేయబోతుననావు?
धत!	చెతత!
और अब वह बेहद खुश है.	కానీ తను ఇపపుడు చాలా సంతోషంగా ఉంది.
उनहें पता नहीं कि वे. . .	తను బతుకుతుందో లేదో చెపపలేం అంటుననారు. . .
देखो कहीं पडा होगा.	అకకడే ఎకకడో ఒక పెన ఉంటుంది చూడు.
उसमें पेंटो रखा है.	అందులో పెంటో మందులు కూడా ఉననాయి.
और मैं बेहोश हो गई थी, या खडी नहीं हो पा रही थी,	కానీ అకకడ నేను మతతులోకి జారిపోయాను, లేదా లేవలేని సథితిలోనో మరేదో పరిసథితిలో ఉననా,
तो फिर तुमहें जो भी पता चला, उसे खुद तक ही रखो. कृपया.	ఈ విషయానని దయచేసి నీలోనే ఉంచుకో.
उसने मुझे फँसाया.	అది ఒక వల.
कया हुआ? तुमहें लगता है कि अगर हम यहाँ बैठे रहेंगे,	ఏంటి? ఇకకడ ఎకకువసేపు కూరచుంటే,
मुझे उस रात इसलिए जाना पडा	నేను ఆ రాతరి నినను వదిలి ఎందుకు వెళలిపోయానంటే
माफ करना मैं तुमसे मिलने नहीं आई.	నినను కలవలేకపోయాను.
अंदर आओ.	లోపలికి వెళలు.
ठीक है.	సరే.
इवा ने.	ఈవా.
इवा ने?	ఈవా?
ठीक है.	సరే.
तो, शायद कोई रासता होगा.	కానీ, బహుశా దీనికి ఏదో మారగం ఉండే ఉంటుంది.
कया मतलब?	మీ ఉదదేశం ఏమిటి?
लोग पयार में अजीब चीजें करते हैं.	పరేమలో ఉననపపుడు కొందరు విచితరమెన పనులు చేసతారు అనుకుంటుననా.
मैं अंदर आ सकता हूँ?	నేను లోపలికి వసతే మీకేమెనా అభయంతరమా?
जरूर.	తపపకుండా.
पीछे बैठो.	వెనుక సీటలో కూరచో.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
अब काफी देर हो चुकी है.	అదంతా ఆలోచించడానికి చాలా ఆలసయం అయిపోయింది.
तुम कहाँ थी?	నువవు ఎకకడికి వెళలావు?
यह लो.	ఇదిగో చూడు.
किस अपराध का?	ఏ నేరం?
मैं नहीं कर पाई. माफ कर दो मैं नहीं कर पाई.	నేను చేయలేకపోయాను. నేను చేయలేకపోయాను. ననను కషమించు. ననను కషమించు. నా వలల కాలేదు.
-कया ढूँढ रहे हो, जान? -पाजामा.	-నువవు దేని గురించి వెతుకుతుననావు, బంగారం? -జామ. . . జామస.
कया कहा?	ఏంటి అంటుననావు?
यह नोरा का अपमान है.	నోరా తరపున నేను అవమానంగా భావిసతుననాను.
तुम में से किसी ने?	మీలో ఒకరా?
-तुमसे पयार है, गरेसी. -मुझे भी.	-నినను పరేమిసతుననాం, గరేసీ. -నేను కూడా మిమమలని పరేమిసతుననాను.
मुझे कुछ पीना है.	నాకు డరింక లేదా ఇంకేదయినా కావాలి.
ए.	హేయ.
मत चिललाओ!	వదదు.
माफ कर दो.	సారీ.
ठीक है. तुम जा सकती हो. तुम जा सकती हो.	సరే. నువవు వెళలచచు.
पर यह सच है.	కానీ నినను పరేమిసతుననాను.
कलम मिला?	నీకు పెన దొరికిందా?
हाँ. रुको. मैं ले आती हूँ.	అవును. ఉండండి. నేను కింద సామానల గదిలో ఉననాయేమో చూసతాను.
यह अचछी बात है.	మంచిది.
कृपया.	దయచేసి వెళలు.
कृपया.	దయచేసి వెళలు.
-झाँको मत. सोचो. . . -जाओ!	-తొంగి చూడకు. అలాంటి ఆలోచనలు పెటటుకోకు, బాబు. . . -వెళలు!
हाँ.	గురతుంది.
आओ भी.	ఇలా రా, నువవు.
कब?	ఎపపుడు?
मुझे माफ कर दो. मुझे माफ कर दो.	ననను కషమించు.
मुझे खेद है.	సారీ.
हाँ.	అతను చనిపోయాడు.
