पैनिक	పానిక
-हंट की? -बलैकमेल?	-అది హంట ఆలోచనా? -బెదిరింపా?
वह बस परेशान थी.	ఆమె కాసత నిరుతసాంగా ఉంది.
कल रात?	రేపు రాతరి?
और यह जो अंदर वाला था,	ఈ లోపలి వయకతి,
अगर सवाल का जवाब नहीं आता, तो मैं जवाब नहीं दे सकती.	నాకు సమాధానం తెలియకపోతే చెపపలేను.
पर यह एक चाल भी है.	కానీ ఇందులో మోసం కూడా ఉంటుంది.
हाँ, पता है.	అవును, నాకు తెలుసు.
मैं ठीक हूँ.	నేను బాగానే ఉననాను.
हमारे बीच में जयादा फरक नहीं रह जाएगा.	మనిదదరం ఒకేలా అయిపోతాము.
गडबड करती रही तो,	నువవు ఇబబందులలో పడుతూ ఉంటే,
अदला-बदली.	పరతిఫల సిదధాంతం.
आज मेरा सिर फटा जा रहा है.	నాకు ఈ రోజు తల పగిలిపోయేంత తలనొపపిగా ఉంది.
वह उस आदमी के साथ जा फँसी जिससे हर कोई नफरत करता है,	ఆమె అందరూ దవేషించే మనిషితో ఉంది,
कया यह टरेन है?	అది రెలా?
हैलो!	హే!
तुमहें भी गुड मॉरनिंग.	నీకూ శుభోదయం.
जब तक हमें तुम पर भरोसा नहीं होता.	మేము నినను నమమేదాకా?
पता नहीं. बस. . .	నాకు తెలియదు. నేను కేవలం. . .
बस. . . पता नहीं.	నేను కేవలం. . . నాకు తెలియదు.
तो, अब तुम कया करोगी?	అయితే, నువవు ఇపపుడు ఏం చేయబోతుననావు?
तुम यहाँ कैसे?	నువవు ఇకకడేం చేసతుననావు?
संभलकर रहना,	జాగరతత,
-अचछा. -चलो.	-సరే. -నువవు వెళతావు.
ठीक है.	సరే.
डेना, न?	తను డేనా, కదా?
यह बस एक खेल है. तुमहारे लिए कमरा नंबर 107 है.	ఇది ఆట మాతరము. నీ గది 107.
जरूर.	తపపకుండా.
हाँ, पकका.	అవును, ఖచచితంగానే.
-और पैसों के बारे में भी. -हे भगवान.	-ఇంకా డబబు. -దేవుడా.
जरूर.	తపపకుండా.
इसलिए शहर लौटा है.	అందుకే అతను తిరిగి నగరానికి వచచాడు.
नहीं बताई.	లేదు.
वह रहा.	అదిగో వసతుంది.
शेर?	ఒక పులా?
दो सौ?	రెండు వందలు?
दो सौ.	రెండు వందలు.
कोई मदद कर सकता हूँ?	ఏం కావాలి?
मसती बहुत हुई.	అంటే, సరదా ఇపపుడే అయిపోయింది.
तनाव?	ఏదో ఒతతిడా?
तो मुलाकात तय रही!	ఇది డేట!
साला.	ఛ.
और पढाई?	మరి సకూల సంగతి ఏంటి?
कसम से,	దేవుడి మీద పరమాణం,
खरीद?	పందెం మొతతమా?
वह चला.	అదిగో వెళళిపోతుంది.
सही है.	నయాయంగానే అనిపిసతుంది.
धत तेरी.	ఛ.
घूमो.	తిరుగు. తిరుగు, తిరుగు.
