पलीज. पलीज.	పలీజ. పలీజ.
आप इसमें बेहतर कयों नहीं हो पाते हैं?	మీకు ఎంత కాలమెనా సకెటింగ ఎందుకు రావడం లేదు?
-हाँ, मेरे लिए टैप डांस नया है. -थोडा. हाँ.	-అవును, టయాప చేయడం నాకు కొతత. -కొంచెం కొతత. అవును.
-यह बेघरों का आशरय है. -वे हमें देख नहीं सकते हैं.	-ఇది నిరాశరయుల ఆశరయం. -వాళలకు మనం కనిపించం.
यह औरत उतनी दयालु है जितना कोई भी इंसान हो सकता है	ఈ అమమాయి చాలా మంచిది మనుషులు అందరిలో మంచిది
हम इतनी मेहनत कयों करते हैं? हम वह लहरों के लिए करते हैं.	మనం ఇంత కషటపడి ఎందుకు పని చేసతుంటాం? తరంగాల కోసం.
लेकिन तुम कैसे. . . तुमहें पता भी कैसे चला कि तुम बदल गए?	కానీ నీకు. . . కానీ నువవు మారినటటు నీకెలా తెలుసు?
अरे, कया हो रहा है? कया तुमने अपने भविषय में कुछ देखा है?	హేయ, ఏం జరుగుతోంది? నువవు నీ భవిషయత లో ఏం చూసావు?
दिखाने का समय आ गया हम कया कह रहे हैं इस बदलाव को करके दिखाना है	మన లకషయానని చేధించడానికి బయలుదేరాలి ఈ విధానానని మారచాలి
तो आप सैंटा कलॉज, यीशु और मराया कैरी के दुशमन हैं. और वह. . .	వారు శాంటా కలాస, ఏసు కరీసతుకు అలాగే మరియా కేరికి శతరువులు అంట. అది. . .
और मैंने सोचा कि अगर वह देख पाए कि मैं भी ना सुधर पाने वाला था. . .	అందుకని నేను కూడా వాడిలాగే విమోచింపలేని వాడిగా ఉండేవాడినని వాడికి తెలిసతే. . .
कैरन बलानसकी	కేరెన బలాంకసకి
उससे मुझे चोट पहुँची है.	అలా అంటే నాకు బాధగా ఉంటుంది.
समझ गई.	అలాగే.
हमें आज कोई मुसीबत नहीं चाहिए.	దయచేసి ఇవాళ మమమలని ఇబబంది పెటటకండి.
मैं करूँगी. मैं वादा करती हूँ, मैं करूँगी!	తపపకుండా. ఒటటేసి చెపతుననాను, తపపకుండా దిదదుకుంటా!
शाबाश, कैरन!	అదభుతం, కేరెన!
कैरन बलानसकी	కేరెన బలాంకసకి
हम जंगली थे. एक बार हमने एक करूज का जहाज चुरा लिया था.	పిచచి ఎకకించేవారం. ఒకసారి మేము ఒక కరూజ షిప ని దొంగిలించాం కూడా.
आपकी फाइल में लिखा है कि आपको करिसमस की पुडिंग पसंद थीं.	మీ ఫెల లో మీకు ఫిగగి పుడడింగ అంటే ఇషటం అని ఉంది.
आप वापस धरती पर जाकर इंसानों वाले काम करना नहीं चाहते?	మళళీ భూమిపెకి వెళలి మనుషులు అనుభవించే వాటిని అనుభవించాలని లేదా?
लेकिन अगर हम इसे बदलते हैं, कया यह असली बदलाव लाने लायक परभाव बना पाएगा?	కానీ మనం వీడిని మారచిన తరవాత కూడా, సమాజానికి మంచి చేయగల నిజమెన మారపును తీసుకురాగలమా?
मुझे पता नहीं.	నాకు తెలీదు.
अगर ऐसा है, तो मैं अपना रिटायरमेंट लेना चाहूँगा.	అలా అయితే, నేను నా రిటెరమెంట పయాకేజి తీసుకొని వెళళిపోతా.
दिसंबर	డిసెంబర
"वह कहाँ चली गई? "	"ఆ అమమాయికి ఏమెంది? "
रुको, कलिंट, पलीज. कया हम रुककर जरा देर इसके बारे में बात कर सकते हैं?	ఆగు, కలింట, పలీజ. ఒక కషణం నిలబడి ఈ విషయం గురించి మాటలాడతావా?
मुझे पता नहीं.	నాకు తెలీదు.
ओह, धत. यह अचछी बात नहीं है.	ఓహ, దేవుడా. ఇదేం బాలేదు.
मैं यहाँ पहली बात में अटका हुआ हूँ.	నాకు ఒక విషయం అరథం కావడం లేదు.
चलो शुरुआत करते हैं उस हरे वाले से.	ఆ పచచని దానిని ముందు తెరుదదాం.
अगर बंद करने पर कलिक की आवाज नहीं आती है, तो उससे सारी गरमी बाहर निकल जाती है	దానిని మూసినపపుడు తలుపు కలిక అవవకపోతే, ఇంటలోని వేడి బయటకు పోతుంది,
-यह तुमहारे लिए नहीं है. इसके लिए है. -यह कौन है?	-అది నీకోసం కాదు. అది ఆమె కోసం. -ఆమె ఎవరు?
नहीं. नोरा. अरे. चलो भी.	లేదు. నోరా. హేయ. అలా అనొదదు.
मैं बताता हूँ.	ఒకటి చెపపనా?
मुझे नहीं पता.	నాకు తెలీదు.
गुड आफटरनून.	ఇక ఉంటాను అని.
भाड में जाओ.	ముదదు పెటటుకో.
"वापस सो जाओ. " मैं. . .	"వెళలి పడుకోండి. " నేను. . .
ठीक है. योजना के अनुसार.	సరే, అలాగే. సకరిపట లో రాసతా.
बढिया.	మంచిది.
उसके वापस आने से पहले मेरी बात सुनो. समय आ गया है कि मैं कुछ चीजों की वयवसथा कर लूँ.	అమమాయి వచచేలోపు నేను చెపపేది విను. నేను కొనని ఏరపాటలు చేయాలసిన సమయమెంది.
-ठीक है. कया तुम खुद को संभालोगे? -खैर, नहीं, वह बेवकूफ लग रहा था.	-సరే. కాసత మాములుగా పరవరతిసతావా? -అంటే, లేదు, వాడు నిజంగానే వెరరోడిలా ఉననాడు.
मैं बताऊँ? तो बात यह है.	ఒకటి చెపపనా? అసలు విషయం ఇది.
. . . की सारी देखरेख एक सवतंतर. . .	. . . ఒక సవతంతర కాంటరాకటర. . .
तुमहें आने की जरूरत नहीं है.	నువవు రావాలసిన పని లేదు.
ठीक है. तैयार हो जाओ.	సరే. సిదధంగా ఉండు.
मुझे पता नहीं.	నాకు తెలీదు.
-बस थोडी सी अचछाई चाहिए होती है -बस थोडी सी अचछाई	-కొంచెం మంచి చేసినా చాలు -కొంచెం మంచి చాలు
हर साल सताने के दौरान, तुम बात करने की कोशिश करते हो और कोई आवाज नहीं आती है.	పరతీ ఏడాది పీడించే సమయానికి, నువవు ఏమెనా మాటలాడడానికి పరయతనిసతుంటావు, కానీ ఏమీ మాటలాడలేవు.
हाँ, मैंने उसके बारे में सुना. वही है ना जब लोग इसतेमाल करते हैं. . .	అవును, దీని గురించి నేను విననాను. ఇందులోనే కదా జనం హాష. . .
ठीक है. बिली आईलिश और एड शीरन की लडाई को दोनों तरफ के	సరే. బిలలీ ఎలలిష మరియు ఎడ షీరన మధయ జరగబోయే వాగవాదానికి ఇరువురి
और तारीफ के लिए भी. मुझे अभी दोनों की जरूरत थी.	మెచచుకుననందుకు కూడా థాంకస. నాకు అవి చాలా బలానని ఇచచాయి.
यह "भाड में जाओ" जैसा है लेकिन थोडी कलास के साथ	అలా అనడం "పోయి చావు" అనడంతో సమానం కాకపోతే మంచిగా అననటటు
अह-अह. अरे, नहीं. तुम जानते हो मुझे उससे तकलीफ होती है.	ఆహ-ఆహ. ఓహ, లేదు. ఆ మాట నాకు నచచదని నీకు తెలుసు.
तुमहें बस इसे ले लेना है और तुम रिटायर हो जाओगे.	దీనిని తీసుకుంటే నువవు రిటెర అయిపోయినటటే.
एक समसया है और मैं उसे तुरंत सुलझा दूँगा.	ఒక చినన సమసయ ఎదురెంది, దానిని వెంటనే పరిషకరిసతా.
-मुझे उसकी जगह दे दी गई. -हे भगवान.	-ననను ఈ పని చేయమని అడిగారు. -ఓరి, దేవుడా.
-तुम लडना चाहते हो? -नहीं, मैं. . .	-గొడవపడాలని ఉందా, వెధవా? -లేదు, నేను. . .
-तुमहें देखकर अचछा लगा. -तुमहें भी.	-నినను చూడడం సంతోషం. -నినను చూడడం సంతోషం.
और जब वह बडा दिन आखिरकार आ जाता है	ఆ పరాముఖయమెన రోజు వచచిన తరవాత
कुछ वैसी चीजें करने की कोशिश करना जो मैं पहले नहीं कर पाया	ముందు చేజికకించుకోలేకపోయిన అవకాశాలను తిరిగి ఒడిసిపటటుకునే సమయమెందేమో
इनमें से हर एक ऐसी आतमा है जिसे हमने सुधारा है. साथ मिलकर.	మనం విమోచించిన పరతీ ఒకక ఆతమ ఇకకడ ఉంది. మనం ఇదదరం కలిసి విమోచించినవి.
ओह, भगवान, यह एक करिसमस तरासदी है.	ఓహ, అయయో, ఈ కరిసమస ఏం బాలేదు.
अरे, यह करिसमस है. करिसमस है.	హేయ, ఇవాళ కరిసమస. ఇది కరిసమస రోజు.
और जब वह बडा दिन आखिरकार आ जाता है	ఆ పరాముఖయమెన రోజు వచచిన తరవాత
"कभी नहीं बदलते हैं"? अब मैं वाकई इस आदमी को डराना चाहता हूँ.	"ఎపపటికీ మారరా"? ఇపపుడు నాకు వాడిని పీడించాలని ఉంది.
तो तुमहें कुछ कडवे सचों को सवीकारना पडेगा और वह. . .	నువవు కొనని అసౌకరయంగా నిజాలను అంగీకరించాలసి ఉంటుంది, అది. . .
कया लोग वाकई बदल सकते हैं? मेरा मतलब असली, लंबे समय तक टिकने वाले, सकारातमक बदलाव से है.	మనుషులు నిజంగానే మారతారా? అంటే, నిజమెన, శాశవతమెన మంచి మారపు వారిలో వసతుందా?
मैं बात कर रहा हूँ आपके डराइंग रूम में एक असली पेड की.	నేను మీ ఇంటలో, ఒక నిజమెన చెటటు ఉండాలి అంటుననా.
मैं पकका नहीं कह सकती, कयोंकि वह असल में बहुत अचछा है.	నాకు నమమకం కలగడం లేదు, వాడు చాలా మంచి కురరాడి.
हे भगवान. यह शानदार है.	ఓరి, దేవుడా. ఇది భలే విషయం.
तुमहारी बाकी की जिंदगी में दोबारा कभी "हमबग" नहीं कहा.	మిగిలిన జీవితం అంతా ఒకకసారి కూడా తపపు చేయలేదు.
-तुम मजाक कर रहे हो? -नहीं.	-జోక చేసతుననావా? -లేదు.
-गुड आफटरनून. -गुड आफटरनून!	-ఇక ఉంటాను. -ఇక ఉంటాను!
मुझे ना का एहसास हो रहा है.	వాళలకు నచచలేదు అనుకుంట.
-लेकिन वे शायद नहीं चुनेंगे. -शायद नहीं.	-కానీ నినను వారు ఎననుకోకపోవచచు. -ఎననుకోకపోవచచు.
यह हँसोड है, यह लंबा है इसका दिल अचछा है	చలాకీగా ఉననాడు, ఎతతుగా ఉననాడు మంచి మనసు ఉననవాడు
अगर हम पयार और खुशियों के नशे में हों, वह इसलिए	సంతోషం ఇంకా సంబరాలతో నిండిపోయి ఉంటే, అది
या तुमहारे पारसल चुराने के बाद भी?	పయాకేజీలు దొంగిలించినా కూడా నాతో ఆడతారా?
और वह खुद को रोक नहीं पाया, मेरे साथ फलरट करने लगा.	వాడిని వాడు అదుపుచేసుకోలేక నాతో పరిహాసాలు ఆడడం మొదలుపెటటాడు.
ठीक है, होनहार सिंह.	సరే, తెలివెనవాడా.
यह बहुत मजेदार है	ఇది చాలా సరదాగా ఉంది
-हाँ. -मैंने वहाँ बीच में गडबड कर दी थी.	-అవును. -మధయలో కొంచెం శృతి తపపాను.
-मैं तुमहें थपपड लगा दूँगा. -नहीं. मैं जाकर उससे बात करूँगा.	-నీ నెతతి పగలగొడతాను. -కాదు. నేను ఆమెతో మాటలాడతాను.
-बहुत कुछ है. तुमहें बहुत पसंद आएगा. -इस सबके लिए हमारे पास परयापत लोग नहीं हैं.	-అననీ చేసతుననాం. నీకు బాగా నచచుతుంది. -మన దగగర అంతమంది సిబబంది లేరు.
हम चल रहे सव-देखभाल कारयकरम के बारे में बाद में मिल रहे हैं.	అలాగే సవీయ సంరకషణ పరోగరామ గురించి మనం తరవాత కలవాలి.
मैं एक नजर डालूँ?	నేను ఒకసారి చూడొచచా?
तो, अब चलो भी. हिममत बाँधे रखो. जिममेदार बनो.	సరే, ఇక పదా. విశవాసంతో నిలబడు. పెదదమనిషిలా వయవహరించు.
अरे, किमबरली. मैं अपनी कंपनी शुरू कर रहा हूँ.	హేయ, కిమబెరలి. నేను నా సొంత కంపెనీని పరారంభిసతుననాను.
हमें सिरफ अपनी परवाह होती है	మనం మన కోసం మాతరమే ఆలోచించుకుంటాం
अगर यह कहानी का महतवपूरण हिससा बन गया जिसके पीछे हम जाना चाहें तो.	మనకు తరవాత అవసరమయయే వేరే విషయం ఏమెనా తెలిసే అవకాశం ఉంది.
-कया? कैसे? किसके साथ? -मेरे साथ.	-ఏంటి? ఎలా? ఎవరితో? -నాతోనే.
तो, तुमने बस एक दिन फैसला कर लिया	అంటే నువవు ఉననటటుండి ఒక రోజు
नहीं. मैं करता हूँ. मैं. . .	లేదు. నాకు అనిపిసతుంది. నాకు. . .
-नहीं! मजाक कर रहे हो. -हाँ.	-లేదు! ఇది నమమలేకపోతుననా. -అవును.
जब मैं तुमहारे सारे कलाइंट अपने साथ ले जाऊँगा.	నీ కలయింటస అందరినీ నాతో తీసుకుపోతా కదా.
-और करो बस वह जो कर सकते हो -करो जो कर सकते हो	-నీకు చేతనెంది చేసతే చాలు -చేతనెంది చెయ
ओह, यह बेशक बहुत आसान होगा तुमहारी बाजार की हिससेदारी बढाना	ఓహ, అలా చేసతే, మీ మారకెట వాటా అమాంతం పెరిగిపోతుంది
मतलब, मुझे कलिंट से पयार है. वह बहुत अचछा है. मैं उसे एक दोसत मानती हूँ.	అంటే, నాకు కలింట చాలా ఇషటం. గొపపవాడు. ఒక సనేహితుడిగా చూసతాను.
तुम किसी ऐसे को बचाने के लिए बस के सामने कूद गए जिसकी तुम परवाह करते हो.	నువవు నీకు ఇషటమెన ఒక వయకతిని కాపాడడానికి బససు ముందుకు దూకావు.
या आप खेलना चाहती हैं?	లేక మీరు కూడా మాతో ఆడతారా?
ठीक है. रुको.	సరే, ఆగండి.
मानवजाति की भलाई के लिए तुमहारे समरपण में कोई शरम की बात नहीं है.	మానవజాతి మంచి కోసం నువవు తాపతరయపడడంలో ఎలాంటి తపపు లేదు.
. . . मैं यहाँ आई. . .	. . . ఇకకడికి వచచింది. . .
कलिंट. हाँ.	కలింట. అవును.
हाँ. खैर, जरा यह सुनो.	అవును. సరే కానీ, ఇది విను.
-नहीं, हम यह बात नहीं करेंगे. -मेरे जाने के बाद. . .	-లేదు, మనం ఇది చూడకూడదు. -నేను చనిపోయాక. . .
हाँ, कलिंट, लेकिन उसका दिल अचछा है. . .	అవును, కలింట, కానీ దాని మనసు. . .
तो, तुमने सोचा यह बहुत अचछा आईडिया होगा	అంటే, నీ గతానికి వాడిని తీసుకొచచి
या मैं हमेशा के लिए रहूँगा	లేక నేను ఎపపటికీ ఇలాగే
ओवेन मामा! आप ठीक हैं?	అంకుల ఒవెన? బాగానే ఉననారా?
-थोडा सा काफी है -थोडा सा काफी है	-కొంచెం చేసినా చాలు -కొంచెం చేసినా చాలు
असली पेडों की माँग कम हो रही है. तुमहारी बिकरी कम होती जा रही है.	నిజమెన చెటలు కొనే వారి సంఖయ రోజురోజుకు తగగుతుంది. మీ సేలస తగగుతూనే ఉంటుననాయి.
रुको. कया? रुको. कयों नहीं?	ఆగండి. ఏంటి? ఆగండి. ఎందుకు కాదు?
और लहरों को फैलते हुए देखूँ	ఆ రాయి సృషటించే తరంగాలను చూడాలని
तुम करिसमस बरबाद कर रही हो!	నువవు కరిసమస ని పాడు చేసతుననావు!
और लहरों को फैलते हुए देखूँ	ఆ రాయి సృషటించే తరంగాలను చూడాలని
यह वयापार समूह किसी फैंसी नयूयॉरक मीडिया सलाहकार को पैसे नहीं दे सकता.	ఈ సమయంలో నయూ యారక నుండి వచచిన ఈ ఫానసీ మీడియా కనసలటెంట కి పెటటుకునే సతొమత మనకు లేదు.
कलिंट, तुम मुझे बेवकूफ नहीं बना सकते. मैं जानती हूँ तुम इस सबके नीचे कैसे इंसान हो.	కలింట, ననను వెరరిదానిని చేయడానికి చూడకు. నీ మనసు ఎలాంటిదో నాకు తెలుసు.
खैर, अब यह सब मेरा है दरवाजे पर है नाम मेरा	ఇపపుడు అలాంటి పరదేశంలో నేను ఉననా తలుపు పె నా పేరుతో
हाँ, दो छोटे से शबद पूरा मिजाज बदल सकते हैं	అవును, రెండు చినన పదాలు పరిసథితిని మొతతం మారచేయగలవు
मैं सच में अपने सारे कपडे जरमनी से नहीं खरीदता हूँ.	నిజానికి నేను జెరమనీ నుండి బటటలు కొనుకకోను.
-तुमने मेरे सबसे अचछे दोसत की नौकरी छुडवा दी! -हाँ!	-నా బెసట ఫరెండ పని మానేసేలా చేసావు! -అవును!
जो चिडचिडे होंगे, है ना? अपने बचचों पर गुससा निकालते होंगे.	అసంతృపతితో నిండిపోయి ఉంటారు, కదా? వాళళ పిలలలపె ఆ కోపానని చూపిసతుంటారు.
और तुमहें इसी का फायदा उठाना है अगर तुमहें यह लडाई जीतनी है	కాబటటి ఈ పోటీలో మీరు గెలవాలంటే మీరు తెలివిగా, మంచి నిరణయాలు తీసుకోవాలి
मेहनत से एक वयकति के अतीत, वरतमान और भविषय को फिर से बनाना.	ఆ వయకతి గతానని, వరతమానానని అలాగే భవిషయతతుని ఎంతో కషటపడి పునఃసృషటించాం.
छोडो भी. सच में?	ఊరుకో తలలి. నిజంగా?
सच में. दोनों तरफ बहुत गुससा है.	అవును. ఇరు వరగాలు నిపపులు కకకుతుననారు.
तुम यहाँ कलिंट को सताने आए होगे.	కలింట ని పీడించడానికి వచచినటటు ఉననావు.
वह बहुत गंदा है - हैशटैग बहिषकृत	వాడు దారుణమెన వాడు. #కయానసిల చేయబడడాడు
-गुरुतवाकरषण. -हाँ.	-గరావిటీ. -అవును
वह टाइनी टिम था!	వాడి పేరు టెని టిమ!
हैलो. दूसरी वाली कहाँ है? कया तुम भी एक. . .	హలో. ఇంకొక భూతం ఎకకడ? నువవు కూడా. . .
कयोंकि मुझे उस असलियत में ही रहना है.	ఎందుకంటే నా జీవితంలో అది తపపని భాగం, మితరమా.
मुझे तुमहें रिटायर होने देना चाहिए था	నువవు అడిగినపపుడే అనవసరంగా ఇలాంటి విమోచనశకయం
सोने की एक घडी है, सेफोरा का एक गिफट कारड है	ఒక గోలడ వాచీ, సెఫోరా గిఫట కారడు ఇచచి,
हर दिन उठो, बिसतर से निकलो और तय करो,	అంటే, పరతీ రోజు నిదర లేచి, మంచం దిగిన తరవాత,
बाहर जाने के रासते की तरफ इशारा कयों नहीं करते, हँ? कया वही है? वहाँ?	అయితే బయటకు ఎలా వెళలాలో చూపించవచచు కదా? అంతేనా? అటువెపేనా?
इस जगह को देखो, दोसत.	ఈ పరదేశానని చూడు, మితరమా.
-गुड आफटरनून -गुड आफटरनून	-ఇక ఉంటాను -ఇక ఉంటాను
-गुड आफटरनून -गुड आफटरनून	-ఇక ఉంటాను -ఇక ఉంటాను
ठीक है. जो भी हो. कया मुझे इस बचचे को जानना चाहिए?	సరే. ఏదోకటి. ఈ కురరాడు ఎవరో నాకు తెలియాలా?
आओ, मैं मदद करती हूँ.	ఇలా రా, నేను సహాయం చేసతా.
-तो थोडी अचछाई फैलाओ -अरे	-కాబటటి మంచి చెయ -హేయ
रॉनी! अंदर बाथरूम है.	రాని! ఇంటలో బాత రూమ ఉంది.
जरूर. अगर आप चाहती हैं तो.	అవును. మీకు ఆడాలని ఉంటే ఆడొచచు.
लेकिन, पता है, पिछले हफते,	కానీ ఒకటి తెలుసుకోండి, గత వారం,
हमने उनके साथ समझौता कर रखा है.	మాకు వాళళతో ఒక డీల ఉందిలే.
-हम परिवार हैं. मैं तुमहारे लिए कुछ भी करूँगा. -शुकरिया, ओवेन.	-మనం ఒక కుటుంబం. నీకోసం ఏమెనా చేసతాను. -థాంకస, ఒవెన.
-चलो तुमहें ऑफिस ले चलें इससे पहले कि तुम. . . -यह कबूलने में कोई शरम नहीं है कि तुम डरते हो.	-ఇంకేమెనా జరగడానికి ముందు ఆఫీసుకు. . . -నీకు భయంగా ఉందని ఒపపుకుంటే తపపేం లేదు.
कया ऐसा लगता है मैं मजाक कर रहा हूँ?	ననను చూసతుంటే బుకాయిసతుననటటు కనిపిసతుననానా?
आप मराया को नाराज नहीं करना चाहेंगे.	మరియాకి కోపం తెపపించడం మంచి విషయం కాదు కదా.
माफ करना. बहुत विसतारपूरवक बनाया है.	కషమించాలి. కానీ ఇకకడ అననీ ఎపపటిలాగే ఉననాయి.
तुमहें इसकी आदत डालनी पडेगी. सच में.	అది నీకు తవరలోనే అలవాటు అవుతుంది. నిజంగానే.
अरे. अरे. अरे, अरे, अरे, अरे, अरे, अरे, अरे. तुम.	హేయ. హేయ. హేయ, హేయ, హేయ, హేయ, హేయ. నిననే.
यह तुमहारे फिर से जिंदगी से भागने के बारे में है.	నువవు మళళీ నీ జీవితం నుండి పారిపోతుననావు.
छोटी रेबेका और उसका भाई, रेजी या रॉबरट या. . .	చిటటి రెబెకకా ఇంకా దాని అనన, రేజజి లేదా రాబరట లేదా. . .
हम नहीं हारेंगे. चलो भी. मैं इस बंदे को संभाल सकता हूँ.	మేము విఫలం కాము. ఒపపుకో. నేను వాడిని మారచగలను.
एक-एक कडी उस आतमा से बनी, जिसे मैंने सताया है.	నేను వేదనకు గురి చేసిన ఆతమలతో దీని లింకులు ఏరపరచబడడాయి.
और मुझे दिन के अंत तक नई मारमिक भावनाएँ चाहिए.	అలాగే సాయంతరానికి కొతత హృదయ తీగలు అననీ నా ముందు ఉండాలి.
अपनी भूमिका निभा रहे हैं, मन बदल रहे हैं एक-एक करके	మా కరతవయానని నిరవరతించి, ఒకకొకకటిగా మనుషుల మనసులు మారచుతుననాం
तो, आप 46 सीजन से रिटायरमेंट लेने के हकदार रहे हैं.	మీరు రిటెరమెంట తీసుకోవడానికి అరహత పొంది 46 ఋతువులు పూరతయయాయి.
वह आ गए. चलो उनका जोर-शोर से सवागत करें.	ఆయన వచచేసాడు. అందరం కలిసి ఆయనకు సవాగతం పలుకుదాం.
ओह, गुजरे जमाने की आरामदेह दमक	ఓహ, ఒకనాటి మన పరపంచ వెభవం ఎంత గొపపది
साथ ही, तुम जानते हो यह पहले किया जा चुका है.	అంతేకాదు, ఇలాంటి కేసును ఇంతకు ముందు కూడా చేధించాం కదా.
देखो, मुझे एक और मीटिंग के लिए जाना है और मुझे देर हो गई है.	చూడు, నేను వెళళడానికి లేట అయినా ఇంకొక మీటింగ ఉంది.
तो, कलिंट मामा,	అంటే, అంకుల కలింట,
-बना सकती हूँ. . . -सौ परतिशत.	-సహాయం చేయగలను. . . -100%
-पता है, बहुत परभाशाली है, वहाँ. . . -हाँ.	-నువవు వెళలే ఆ సకూల లో. . . -అవును.
किमबरली विरोधी पकष के बारे में रिसरच करेगी. जिसका मतलब अपरिय जानकारी निकालेगी.	కిమబెరలి కొంచెం రీసెరచ చేసతుంది. అంటే వాడి లొసుగులను వెలికితీయడం.
जरूर.	అవును.
तुम कर सकते हो.	నువవు ఇది చేయగలవు.
पलीज कह दो तुम मजाक कर रही हो.	దయచేసి నువవు జోక చేసతుననా అని చెపపు.
मैं चाहता हूँ तुम वापस जाओ और उसे उसका अतीत दिखाओ.	నువవు వెంటనే వెనకకి వెళలి వాడికి తన గతానని మొతతం చూపించి రా.
अब मैं देख सकता हूँ.	నాకు ఇపపుడు అరథం అయింది.
सोच रहा हूँ उसके साथ सब कैसा रहा था.	ఆమెతో నీ బంధం ఎలా నిలబడుతుందో.
तुम यह 200 सालों से कर रहे हो.	నువవు ఈ పనిని 200 ఏళలుగా చేసతుననావు.
गुड आफटरनून!	ఇక ఉంటాను!
चियरस.	చీరస.
जब तुम निराशा में घिरे हो और मिजाज ठीक करने की जरूरत हो	నీ మనసు విచారంతో నిండి ఉననపపుడు నీకు ఉతసాహానని కలిగించేవారు కావాలి
गुड आफटरनून.	ఇక ఉంటాను.
गुड आफटरनून.	ఇక ఉంటాను.
यह मेरे काम का हिससा है.	అది నా వృతతిలో భాగం.
गुड आफटरनून.	ఇక ఉంటాను.
गुड आफटरनून.	ఇక ఉంటాను.
गुड आफटरनून.	ఇక ఉంటాను.
गुड आफटरनून!	ఇక ఉంటాను!
गुड आफटरनून!	ఇక ఉంటాను!
गुड आफटरनून, गुड आफटरनून	ఇక ఉంటాను, ఇక ఉంటాను
गुड आफटरनून, गुड आफटरनून	ఇక ఉంటాను, ఇక ఉంటాను
गुड आफटरनून.	ఇక ఉంటాను.
गुड आफटरनून.	ఇక ఉంటాను.
रुको. मैं जानता हूँ तुम कया करने की कोशिश कर रहे हो. चलो भी.	ఆగు. నువవు ఏం చేయాలని చూసతుననావో నాకు తెలుసు. ఆపు.
असली @जॉशहाबिंस	నిజమెన @జాష హబబినస
अलविदा जॉश	వీడుకోలు జాష
या मुझे सीखना होगा हमेशा के लिए रहना	లేక ఎననటికీ ఇలాగే మిగిలిపోతానా
तुम जानते हो तुम पा सकते हो कुछ बहुत अदभुत	నువవు గొపప కారయాలను సాధించగలుగుతావు
अगला भूत. . . भविषय हमेशा बदलता रहता है.	తరవాత రాబోయే భూతం. . . ఫయూచర కాసత అసథిరమెన వాడు.
-हाँ. -मैं देख सकती हूँ.	-అవును. -తెలుసతుంది.
-मतलब, किमबरली. . . -रुको, तुमने पोसट नहीं किया?	-అంటే, కిమబెరలి. . . -ఆగు, పోసట చేయలేదా?
माफ करना, कलिंट. यह सब कया है?	ఏమయయా, కలింట. ఇదంతా ఏంటి?
हाँ, जरूर.	అవును, అంతే.
तब हम करिसमस पर पारटी करते हैं	అపపుడు ఈ కరిసమస పారటీకి అవధులే ఉండవు
-दोसतों, इसे बस बहादुर होना कहते हैं -इसे बस बहादुर होना कहते हैं	-సనేహితులు, దానినే ధెరయంగా అడుగులేయడం అంటారు -దానినే ధెరయంగా అడుగులేయడం అంటారు
मैं चाहूँगा कहीं औसत से कम हो, तो तुमहें अरधवारषिक परीकषा में फेल होना पडेगा,	ఒక డి గరేడ వచచినా మంచిదే, కాబటటి ఈసారి వచచే పరీకషలలో బాగా రాయకు,
कुछ दिन तुम बहुत अचछे काम करोगे और कुछ दिन हो सकता है फिसलने लगो	కొనని రోజులు నువవు ఆకాశానికి ఎగరవచచు కొనని రోజులు జారి పడిపోతుననా అనిపించవచచు
-हाँ, शुकरिया. लेकिन वहाँ एक बचचा है. . . -यहाँ कुछ भी वासतविक नहीं है.	-అవును, థాంకస. కానీ ఇకకడ ఒక బిడడ ఉంది. . . -ఇదేం నిజం కాదు.
शायद किसी शांत इलाके में एक पुराने ढंग का घर खरीद लूँ.	బహుశా నేను పరశాంతంగా ఉండే ఒక వీధిలో చకకని ఇలలు కటటుకొని ఉంటానేమో.
हम में वह करिसमस की सुबह वाली भावना है और यार, वह मजेदार है	మాలో కరిసమస రోజు సంతోషం ఉంది అది ఎంతో గొపప అనుభవం
आखिरी बार, मिसटर बरिगस, यह मेरे बारे में नहीं है.	చివరిగా మళళీ అడుగుతుననా, మిసటర బరిగస, నా గురించి వదిలేయండి.
हम में वह करिसमस की सुबह वाली भावना है और यार, वह मजेदार है	మాలో కరిసమస రోజు సంతోషం ఉంది అది ఎంతో గొపప అనుభవం
और बाकी सभी संसकरणों की तरह जो किसी ने माँगे नहीं थे.	అనవసరంగా వాళళు తీసిన ఇతర అనుకరణ సినిమాలలాగే.
हम दिन में बस एक बार लिफट का इसतेमाल कर सकते हैं. तो, चलो इसे जाने नहीं देते हैं. बाय, दोसतों.	మాకు రోజుకు లిఫట ఒకసారి మాతరమే దొరుకుతుంది. కాబటటి ఇందులోకి ఎకకేదదాం. పదా, బె.
मैं अतीत के करिसमस का भूत हूँ. तुमहारे अतीत का.	నేను ఘోసట ఆఫ కరిసమస పాసట ని. మీ గతానని.
और मैं वही करता रहूँगा जो मैं करता हूँ.	నేను ఎపపుడూ చేసే పనినే చేయబోతుననాను కాబటటి ఏమో.
और अभी मेरे चौथे सवाल का जवाब भी दे दिया.	ఇపపుడు నాలుగవ దానికి కూడా చెపపావు.
मैं पूरे रासते तुमहारे साथ रहूँगा.	ఈ పరకరియ జరుగుతుననంత సేపు నేను నీతో ఉంటా.
मैंने तुमसे कितनी बार कहा है कि अंदर आने के बाद किचन का दरवाजा बंद किया करो?	ఇంటలోకి వచచిన తరవాత మళళీ వంటగది తలుపు వేయమని ఎననిసారలు చెపపాలి?
