मैमी?	మామీ?
जॉरज ने यह सब इकटठा किया. जॉरज मेरा पति है.	జారజ ఇవననీ సేకరించాడు. జారజ నా భరత.
-मैं नहीं बनना चाहती. -मॉली, कृपया!	-నాకు చూసుకోవాలని లేదు. -మోలీ, దయచేసి విను!
-मॉम? -अरे, माफ करना, जान.	-అమమా? -ఓహ, ననను కషమించు, బుజజీ.
दरअसल, डॉनल घर लौट आया है.	అది, డోనల మా కోసం ఇంటికి వసతాడు.
हमें बस एक-दूसरे से बात करते रहना होगा.	మనం కేవలం మనలో మనం సరిచూసుకుంటూ ఉంటే సరిపోతుంది.
तुमहारे सिवा किसी ने इस पोसटमॉरटम का अनुरोध नहीं किया है, शरी कलाफिन.	ఈ పోసట మారటమ ని మీరు తపప ఇంకెవవరూ కోరలేదు, మిసటర కలాఫిన.
तुम दोनों किस बारे में बात कर रहे थे?	మీరిదదరు ఏం మాటలాడుకుంటుననారు?
मेरी अपनी योजनाएँ हैं, धनयवाद.	నా సొంత పనులు నాకు ఉననాయి, ధనయవాదాలు.
और माइकल को फलान चाहिए, अरसला.	మెఖేల కి కూడా ఐస కరీమ కావాలి, ఉరసులా.
आमतौर पर लैकटिक एसिड जमा होने से होता है. ऐंठन.	సాధారణంగా లాకటిక యాసిడ ఎకకువయితే వసతుంది. కండరాలు పటటేయడం.
तो इनमें से एक तुमहें मार सकता है.	అపపుడు ఈ చిటటి హంతకులు ఎవరనయినా చంపేసతాయి.
नशे में. नशे में.	తాగండి. అందరూ తాగండి.
सोचा नहीं था कि इतनी ठंड में आने के लिए भी बताना पडेगा.	నా పిరుదులు చలిలో గడడకటటిపోవడం కోసం నేను సపందించాలని నాకు తెలియలేదు.
मेरी जांघ में दरद है.	నాకు తొడ కండరాలు పటటేశాయి.
"हमें इतना पता था कि". . . मैं भूल गई हूँ. . .	"మనకి చాలా తెలుసు ఆ కల గురించి". . . నేను మరచిపోయాను. . .
और फिर, एक दूसरा उपाय है.	రెండవది, దీనికి మరో ఉపాయం ఉంది.
बेशक, मैंने अपने हाथ धोए!	అవును, నేను చేతులు కడుకకుననాను!
मैं बस, मैं. . . मैं सोच रहा हूँ. . .	నేను ఇపపుడే, నేను. . . నేను ఆలోచిసతుననాను. . .
मैं बस. . . मैं बस सोच रही थी. . . मैं बस सोच रही थी तुम. . . तुम कैसी हो.	నేను కేవలం. . . అంటే, నేను ఆలోచిసతుననాను. . . నువవు. . . నువవు ఎలా ఉననావా అని ఆలోచిసతుననాను.
सच में, उनके पास कया सबूत है? सच में?	నిజంగా, వాళలు ఏ సమాచారానని సేకరించారు? నిజంగా?
सबसे पहले, मैं उलटी करूँगी. तुम दयनीय हो.	మొదటగా, నేను వాంతి చేసుకోవాలి. నువవు చెతతలా ఉననావు.
कमबखत काफी संदेह करते हैं. मैमी काफी उदास है.	అననింటికీ అనుమానించే చెతత కుకకలు. మామీ చాలా కోపంగా ఉంది.
-भगवान ने तुमहारे लिए बडी योजनाएँ बनाई होंगी. -शायद.	-దేవుడు నీ కోసం పెదద ఆలోచనలు చేసి ఉంటాడు. -నేను అలాగే అనుకుంటాను.
कया हुआ?	ఏం అయింది?
चिमीचुरी सॉस के साथ.	చిమిచురీ సాస తో.
मैं एक नरस हूँ.	నేను నరస ని.
नहीं, यहाँ नहीं.	లేదు, ఇకకడ జరగకూడదు.
हैलो.	హాయ.
कया?	ఏంటి?
मैं काफी डरावना हूँ.	నేను చాలా భయపెటటే వాడిని.
हैलो.	హలో.
हैलो.	హలో.
कया?	ఏంటి?
मदद करो.	సాయం చేయి.
हाँ.	నిజం.
वह हमें जबरदसती फलान कयों खिलाती है?	తను ఎందుకు మనకి బలవంతంగా ఆ ఐస కరీమ పెడుతోంది?
मुझे फलान चाहिए!	నాకు ఐస కరీమ కావాలి!
हाँ?	ఏంటి?
हैलो.	హాయ.
हैलो.	హాయ.
हाँ, मैं कुछ समय के लिए उदास था.	అవును, కొదదిరోజులు నేను కోలుకోలేకపోయాను.
बगीचे में?	తోటలోనా?
यह जगह इतनी खास कयों है?	ఈ పరదేశానికి అంత పరతయేకత ఏంటి?
मेरी कई बडी योजनाएँ थीं.	నాకు చాలా పెదద ఆలోచనలు ఉండేవి.
केवल जेपी ही खाता है, पर वह उससे हर हफते बनवाता है.	జెపి మాతరమే అది తింటాడు, కానీ వాడు పరతి వారం తనతో వంట చేయిసతాడు.
अगर मैं सही हूँ तो, तुम भी उस दुरघटना में शामिल थी.	నేను పొరపాటు పడకపోతే, ఆ పరమాదంలో మీ పరమేయం కూడా ఉందని తెలిసింది.
दुरभागयपूरण हादसे होते हैं.	దురదృషటవశాతతూ జరిగే అనేక పరమాదాలు.
-तो तुम हर जगह एक साथ जाती हो? -हाँ, हम काफी करीब हैं.	-అయితే మీరు అననిచోటలకి కలిసే వెళతారా? -అవును, మేము సననిహితంగా ఉంటాం.
-हाँ, यह रही विजेता. -नहीं.	-ఇదిగో, మన విజేత ఇకకడ ఉంది. -వదదు.
पता नहीं हमारी पहली डेट पर तुम मुझे यहाँ कयों लेकर आए.	నీ మొదటి డేట రోజు ననను ఇకకడికి ఎందుకు తీసుకొచచావో నాకు తెలియడం లేదు.
शायद, आतमविशवास भी खो दिया.	నా ఆతమవిశవాసం దెబబతింది, అనుకుంటా.
-माफ करना, दोबारा ऐसा नहीं होगा. -तुरंत ऑफिस लौटो.	-కషమించాలి, మళలీ ఖచచితంగా ఇలా జరగదు. -వెంటనే ఆఫీసుకి తిరిగి రా.
नीच, घिनौनी, और शरमनाक.	నీచం, అసహయకరం, ఇంకా అవమానకరం.
शायद तुमने मुझे फोन किया. कैसी हो?	నువవు నాకు ఫోన చేశావు అనుకుంటా. ఏంటి సంగతి?
-तुमने टिकट खरीदी? -हाँ, हाँ, हाँ.	-నువవు టికెట కొననావా? -అవును, అవును, అవును.
हाँ. पर. . . छोटे बचचों के साथ भी.	అవును. కానీ అలాగే. . . పిలలలతో కలిసి రావడం.
शायद, नाजियों वाली.	బహుశా, నాజీలవి.
-डरिंक? शराब? गिलास में? -माफ करना? हाँ, हाँ.	-ఒక డరింక? ఆలకహాల దరవం? గాజు గలాసు? -మననించు? సరే, అలాగే.
मैं भी वैसा ही हूँ.	నేను కూడా అంతే.
सीढियों से ऊपर, बाईं तरफ दूसरा दरवाजा.	మేడ మీద, ఎడమ వెపు రెండో తలుపు.
और. . . और. . .	ఇంకా. . . ఇంకా. . .
न कानून ने, न परिवार ने, न अधिकारीयों ने. . .	చటటపరంగా కానీ, కుటుంబపరంగా కానీ, అధికారుల నుంచి కానీ. . .
काफी तारीफ हुई, हँ?	పెదద పరశంస, హా?
और हमें पता है कि तुमहें ईसटर. . . बेहद पसंद है, तो. . .	పెగా నువవు ఈసటర ని ఎంతగా పరేమిసతావో. . . . . . మాకు తెలుసు, కాబటటి. . .
और इवा थोडी गुससैल है, मेरे जैसी नहीं है.	ఇంకా ఈవా నా మాదిరిగా కాకుండా, కొదదిగా తలపొగరు మనిషి.
तुमने उसके साथ रिशता तोडा?	నీ సెకస సనేహితుడితో కథ ముగిసిందా?
अचछा ही हुआ, समझी? वह बूढा हो गया था.	ఇదే నయం ఏమో అని, తెలుసా? వాడికి వయసు మళలుతోంది.
तुम सहमत हो या न हो, अरसला, पर हम उसे जहर देंगे,	నువవు అవునననా కాదననా, అతడి మీద విషపరయోగం చేయబోతుననాం, ఉరసులా,
इसलिए हमें तुमहारी मदद चाहिए. हमें जहर निकालना नहीं आता है.	అందుకే మాకు నీ సహాయం కావాలి. ఈ విషానని ఎలా వెలికి తీయాలో మాకు తెలియడం లేదు.
तुमहें कोई केकडा मिला?	పిలలలూ, మీకు పీతలు దొరికాయా?
वह जलद ही घर लौट आएगा.	అతను కాసేపటలో ఇంటికి వసతాడు.
और मैंने. . . मैंने कोशिश की. बहुत कोशिश की, सच में की.	కానీ నేను. . . నేను పరయతనించాను. నేను పరయతనించాను, నిజంగా పరయతనించాను.
अरे, बहुत खूब.	ఓహ, అదభుతం.
मेटिलडीऑकसिन. 300 मिलीगराम कलेजे में डाल दो.	మెటిలడిగాకసిన. లివర లోకి 300 మిలలీగరాములు ఇంజెకట చేయాలి.
अब जब बराबर हो गया, कोई किसी का ऋणी नहीं है.	ఇపపుడు మనం సమం చేశాం కాబటటి ఎవవరూ ఎవవరికీ ఏమీ బాకీ లేము.
बीमा कंपनी आना-कानी कर रही है, पर वे पैसे दे देंगे.	ఆ బీమా కంపెనీ చాలా ఇబబంది పెడుతుననారు, కానీ వాళలు డబబు ఇచచేసతారు.
कि हम तुमहारे लिए यह ले आएँगे कयोंकि,	మేము ఇకకడికి ఎందుకు వచచామంటే,
अगर हमें यह दोबारा करना है, तो इस बार जहर का इसतेमाल करेंगे.	మనం మరోసారి పరయతనిదదాం, ఈసారి విషపరయోగం చేదదాం.
आम महिलाओं की तरह.	మామూలు ఆడవారి మాదిరిగా.
टॉम. वापस आओ. टॉम.	టామ. వెనకకి వచచేయ. టామ.
कया तुम अपना खाली समय ऐसे बिताना पसंद करती हो?	నీ ఖాళీ సమయానని నువవు ఇలా గడుపుతావా?
यह जॉन पॉल का विचार था.	ఇది జాన పాల ఆలోచన.
मेरे पास पैसे नहीं थे, और परिवार का एक सदसय मदद करने वाला था.	నీకు తెలుసా, నా దగగర డబబు లేదు, మా కుటుంబ సభయులలో ఒకరు నాకు సాయం చేయాలసి ఉంది.
कया कहूँ. . . अचछा. . . अचछा रिशता था. हाँ.	మాకు ఏం ఉంటుంది. . . అది. . . అది బాగానే ఉండేది. అవును.
तुम मजाकिया हो. पकका तुम जॉन पॉल की माँ हो?	నువవు చాలా సరదాగా ఉంటావు. నువవు నిజంగా జాన పాల అమమవేనా?
तुम और लडकियाँ ही ईसटर बनी को संभालो, जेपी.	ఈసటర బననీని ఇంకా అమమాయిలని నీ దగగర వదిలి వెళతాను, జెపి.
कल रात को अचछी तरह सो नहीं पाया.	నినన రాతరి నాకు నిదరలేదు.
तुम ऐसा सवाल कयों पूछोगे?	అలాంటి పరశన ఎందుకు అడుగుతుననారు?
बढिया है.	మంచిది.
पता नहीं और कया कहूँ.	ఇంకేం చెపపాలో నాకు తెలియదు.
-अरे, धत. वे अब भी वहीं हैं? -सब बढिया है.	-ఓహ, చెతత. వాళలు ఇంకా అకకడే ఉననారా? -అంతా బాగానే ఉంది.
-बोलो. -"इसे एक पदय में लिखो. . . "	-ఇంకా చెపపు. -"ఒక పదయంలో దీనిని రాయండి. . . "
चलो भी.	ఇంక చాలు.
हे भगवान.	దేవుడా.
कोशिश करना चाहोगी?	ఒకసారి ఆడతావా?
और हम सुरकषित रहेंगे.	ఆ తరువాత మనం కషేమంగా ఉంటాం.
गरेस हमेशा अपने और बलानड के लिए कुछ और बनाती है.	గరేస ఎపపుడూ తన కోసం ఇంకా బలానడ కోసం వేరేది ఏదెనా వండుకుంటుంది.
अरे, तुम कहाँ हो?	ఓహ, నువవు ఎకకడ ఉననావు?
मेरी तरफ से, किसे ईसटर फलान चाहिए?	నేను తయారు చేసిన ఈసటర ఐస కరీమ ఎవరికి కావాలి?
तुमहारे जीजाजी के साथ तुमहारा रिशता कैसा था, मिसेज गारवी?	మీ బావతో మీ అనుబంధం ఎలా ఉండేది, మిసెస గారవీ?
-परिवार के नाम. तुमहारे. . . -परिवार के नाम. तुमहारे नाम.	-మన కుటుంబానికి. మన. . . -కుటుంబానికి. నీకు.
हाँ. शायद. . . पता नहीं. शायद.	అవును. ఏమో. . . నాకు తెలియదు. అంతేనేమో.
यहीं रुको.	ఇకకడే ఉండండి.
तो, अपने घुटने मोडो.	సరే, నీ మోకాళలని ఇలా వంచు.
कया यह सच है?	అది నిజమా?
हे भगवान. मुझे बेहद खेद है, गरेस.	ఓహ, దేవుడా. నేను చాలా విచారిసతుననాను, గరేస.
-तुम ठीक हो? -हाँ. हाँ, हाँ. बस, देर हो गई है.	-నువవు బాగానే ఉననావా? -అవును. అవును, అవును. కాసత, ఆలసయమెంది.
पर मुझे लगा कि तुम. . .	కానీ నువవు రావని అనుకుననా. . .
यह लो. अब बराबर हो गया.	ఇది తీసుకో. ఇపపుడు సరిపోయింది.
तुम अचछा काम कर रही हो.	నువవు చేసతునన పని చాలా మంచిది.
तुमने मुझे. . . तुमने मुझे फोन किया.	నువవు నాకు కాల చేసి. . . నువవే నాకు ఫోన చేశావు.
हाँ, बलानड के साथ बचपन में छुटटियों की फोटो थीं	అవును, బలానడ చిననతనంలో హాలీడే ఫోటోలు
वे उस होटल में गए जहाँ मैं और बेन मिला करते थे.	నేను ఇంకా బెన కలిసే హోటల కి వెళలారు.
उलटा पहना है, पर बहुत खूब.	అది వెనుక భాగమే, కానీ గొపపగా ఉంది.
बलानड का कया?	బలానడ సంగతి ఏంటి?
नहीं, ऐसी बात नहीं है. वह जलद ही लौट आएगा.	లేదు, జరిగింది అది కాదు. తను కొదదిసేపటలో తిరిగి వసతాడు.
-चलो, चलो चलें. -अरस. मॉली. जरा रुकोगी भी?	-రండి, వెళదాం పదండి. -ఉరస. మోలీ. మీరు ఒకక కషణం ఆగుతారా?
पर ऐसा नहीं हुआ.	కానీ నువవు కోలపోలేదు.
मैं. . . मैं एक माँ और पतनी हूँ.	నేను. . . నేను ఒక తలలిని ఇంకా ఒక గృహిణిని.
यह सजजन, बस. . .	ఈ వయకతులు, కేవలం. . .
मैंने कहा था कि अंडे होंगे, और अब टोकरी नहीं है.	అవును, కోడిగుడలు ఉంటాయని నీకు చెపపాను, కానీ ఇపపుడు బుటటలు లేవు.
भगवान! हे भगवान!	దేవుడా! దేవుడా, బాబూ!
-हाँ. शायद, हाँ. -बहुत खूब. ठीक है, पकडो, मैं ले आती हूँ.	-అవును. అవును, ఉండచచు అనుకుంటా. -అదభుతం. సరే, చూడు, నేను వెళలి తీసుకుంటాను.
हम आज दोपहर को उसे बगीचे में दफनाएँगे.	మేము వాడిని ఈ మధయాహనం మా తోటలోనే పూడచి పెడుతుననాం.
-पेपर से काटकर उसकी जान लेंगे? -हमें केकडे मिल गए हैं.	-కతతెరలతో చంపుతామా? -మాకు పీతలు దొరికాయి.
तुमहारी बहन ने कुछ और कहा था.	మీ అకక ఆ మాట చెపపలేదు.
आपराधिक जाँच में खलल नहीं डालता, पर हमारे पास समय नहीं है.	కానీ మనం ఇపపుడు దానికి ఎదురేగి పోరాడుతుననాం.
मैं बिसतर पर ही कर दूँगी!	నేను మంచం మీద మూతరం పోసేసతుననాను!
तो फिर, तुम अंदर जा सकती हो.	సరే, అలాగయితే, నువవు లోపలికి వెళలచచు.
और तुमहें अभी तक बचचा भी नहीं हुआ है.	నీకింకా పిలలలు పుటటలేదు కదా.
मुझे आज काफी काम है, तो अगर तुमहारे सवाल खतम हो गए हों. . .	నాకు ఈ రోజు చాలా పనులు ఉననాయి, కాబటటి మీకు ఇంకా ఏమెనా సమాచారం కావాలి అంటే. . .
हे भगवान. ठीक है. कल रात को आओ.	ఓహ, దేవుడా. సరే. రేపు రాతరి నా దగగరకి రా.
बस. . . कैथलिक हूँ इसलिए, समझे?	నేను కేవలం. . . కాథలిక పశచాతతాపం, తెలుసా?
उसे खतम कर दें? तुम कया कह रही हो?	వాడిని వదిలించుకోవాలా? మీరు ఏం ఆలోచిసతుననారు?
हाँ. कया मैं बाथरूम इसतेमाल कर सकता हूँ?	అలాగే. నేను మీ బాబు గదిని ఒకక కషణం వేగంగా వాడుకోవచచా?
तो जॉरज ने तुम जैसी सुंदर लडकी को शादी के लिए कैसे मनाया?	నీలాంటి అందమెన అమమాయిని జారజ ఎలా పడగొటటాడు?
कुछ महीनों में यह मौका हाथ से छूट जाएगा.	నేను కొదది నెలలలో వెళలిపోవాలి.
हँ?	హూహ?
हँ?	హుహ?
उसने मुझ पर एक मृत पकषी फेंका था.	అతను నా మీదకి ఒక చనిపోయిన పకషిని విసిరేశాడు.
पतनी को खुश रखना होगा. वरना पता नहीं कया हो जाए.	భారయని సంతోషంగా ఉంచాలి. లేకపోతే ఏం అవుతుందో ఆ దేవుడికే తెలియాలి.
खैर, अब दो बहने बची हैं.	సరే, ఇంకో ఇదదరు చెలలెళలు ఉననారు.
हे भगवान, यह भददा है.	ఓహ, దేవుడా, ఇది ఘోరంగా ఉంది.
और मैं सहमत नहीं हूँ!	ఇపపుడు దీనికి నా సమమతి లేదు.
सुबह मेरे ऑफिस में फोन करो. एक अपॉइंटमेंट लो.	రేపు ఉదయం మా కారయాలయానికి ఫోన చేయండి. అపాయింటమెంట తీసుకోండి.
ए! कमीने!	ఓయ! మోసగాడా!
वह मर गया, इवा.	అతను చనిపోయాడు, ఈవా.
हटो.	లే.
सोचा था देखकर उदास हूँगी, पर खुशी हो रही है.	అవి మనసుని బాధపెడతాయి అనుకుంటాం కానీ అవి సంతోషం కలిగిసతాయి.
शुकर है हमने रसोई में नए कबरड नहीं लगवाए.	మనం అకకడ కొతత కిచెన యూనిటలు పెటటకపోవడం చాలా మంచిదయింది.
-अरे, धत तेरी की. -अरे, धनयवाद.	-ఓహ, ఛ. -ఓహ, ధనయవాదాలు.
बस एक साल से थोडा जयादा हुआ है.	కేవలం ఒక సంవతసర కాలంగా.
मैं थोडा लूँगा. धनयवाद.	నాకు కొదదిగా కావాలి. ధనయవాదాలు.
इसमें जयादा समय नहीं लगेगा.	ఇది ఎకకువసేపు ఉండదు.
उस इमारत का पहला माला? मेरा पहला वयवसाय.	అకకడ ఉనన భవనంలో మొదటి అంతసతు చూశావా? నా మొదటి వయాపారం.
दुरघटना से मरने के कई तरीके होते हैं.	మనుషులు రోడడు పరమాదాలలో చాలా రకాలుగా మరణిసతుంటారు.
हम सभी को आज डैडी की याद आई, है न?	మనం అందరం నాననని ఈ రోజు మిస అయయాము, అవును కదా?
दिखाऊँगी कि मैं फायदा करवा सकती हूँ. घुडदौड के घोडे की तरह, समझी?	నేను ఒక పెటటుబడి అని ఆమెకు తెలిసేలా చేసతాను. అంటే రేస హారస లో భాగసవామయం లాంటిది, తెలుసా?
तुमने वह सुना?	మీరు ఏమెనా విననారా?
धयान से चलाना!	జాగరతతగా డరెవ చేయి!
मैंने थोडी. . . चाय गिरा दी.	నేను కొదదిగా. . . కొదదిగా టీ ఒంపేసాను.
-कौन है, माइकल? -दो आदमी.	-అది ఎవరు, మెఖేల? -ఇదదరు అబబాయిలు.
हैपपी ईसटर. मैंने ये तुमहारे पति को भेज दी हैं. बेचारा, बेचारा डॉनल.	హయాపీ ఈసటర. ఇవి నీ భరతకు పంపాను. పాపం, పిచచి డోనల.
दो, चार, सात, छह, छह, छह.	రెండు, నాలుగు, ఏడు, ఆరు, ఆరు, ఆరు.
ठीक है, पर कैसे? हम यह कैसे निकालें?	సరే, కానీ ఎలా? మనం దీని నుండి విషానని ఎలా తీయాలి?
देखें कया पता चलता है.	ఏం సమాచారం దొరుకుతుందో చూదదాం.
मा. . . माफ करना, तुम मजाकिया हो.	అయితే. . . కషమించు, నువవు మరీ హాసయంగా ఉననావు.
यह अजीब है.	విచితరంగా ఉంది.
कया तुम पागल हो गई हो?	మీ చెతత బురరలు పని చేయడం లేదా?
अरे. . . वहाँ दो फोटो एलबम थे.	అంటే. . . అందులో రెండు ఫోటో ఆలబమస ఉననాయి.
माफ करना, मुझे बाथरूम जाना है.	మననించండి, నేను వెంటనే మూతరశాలకి వెళలాలి.
होटल का मुफत सामान.	ఉచితంగా ఇచచిన హోటల సామగరి.
इसलिए पूछा कयोंकि मैंने रिजरवेशन बुक में तुमहारा नाम नहीं देखा.	నేను రిజరవేషనల పుసతకంలో మీ పేరు చూడలేదు, అంతే.
हाँ, मुझे पता है. अभी नहीं.	అవును, నాకు తెలుసు. కానీ ఇపపుడు కాదు.
मुझे सोचने दो, कया मेरे पास समय है?	అది నా పనులకు సరిపోతుందా లేదా ననను ఆలోచించనివవు,
थॉमस, सच में बिसतर पर ही निकल आएगा.	థామస, నేను నిజంగానే మంచం మీద మూతరం పోసేసతుననాను.
-आता होगा. -कया? नहीं, कभी नहीं.	-అది నరసు మాతరమే. -ఏంటి? లేదు, అవకాశమే లేదు.
चलो भी. गुरुवार लॉटरी का समय है.	అందరూ, ఇలా రండి. ఈ రోజు గురువారం లాటరీ ఉంది.
हरी टिकट, 2-1-6.	ఆకుపచచ టికెట, 2, 1, 6.
पर, अकसर इससे निराशा हो सकती है.	కానీ, అపపుడపపుడు అది నిరాశ కలిగించవచచు కూడా.
. . . कई जानवर चाहिए. जैसे कि, शायद एक कैटरपिलर.	. . . చాలా జంతువులు ఉండాలి. ఎలాంటిదంటే, బహుశా ఒక కాటరపిలలర కావచచు.
तुमहें उनमें से कोई चाहिए जो तुम लाई हो?	నువవు తెచచినది ఏదీ నీకు వదదా?
मुझे बारह बजे आना था.	పననెండు గంటలకు ననను రమమననావు.
वे सारे कमीने होते हैं, है न?	వాళలందరూ వెధవలు, కదా?
-हे भगवान. -हे भगवान!	-దేవుడా, బాబూ. -దేవుడా, బాబూ!
-हे भगवान! -हे भगवान!	-దేవుడా, బాబూ! -దేవుడా, బాబూ!
-ए. सब ठीक है? -हैलो.	-హేయ. అంతా బాగానే ఉందా? -హాయ.
और सॉस चाहिए?	ఇంకాసత సాస కావాలా?
हे भगवान, उनके नुकीले सतन.	ఓహ, దేవుడా, సూటిగా ఉండే తన చనుమొనలు.
मेरे पास आओ, ऑसकर.	మీ నానన దగగరికి రా, ఆసకర.
अरे, वह इस तरफ है.	ఓహ, సరే, ఈ దారిలో వెళదాం.
डैड के रॉकबिली बाल	నానన జుటటుని పెకి దువవడం.
मुझे तुमहारे पास पडी वह फोटो याद आई जो मॉम और डैड ने फोरटी फुट में खिंचवाई थी.	ఫారటీ ఫుట లో అమమా నాననల ఫోటో నీ దగగర ఉండేది గురతొచచింది.
-इसमें पुदीना है. -तुमहें पसंद नहीं आएगा, जान.	-ఇది మింట ది. -నీకు నచచదు, బుజజీ.
माफ करना, कॉफी खतम हो गई.	మా దగగర కాఫీ అయిపోయింది, మననించండి.
हाँ, मुझे बिलकुल भी विशवास नहीं है.	నేను కాసేపు దానిని నమమను.
खैर. . . खैर, कम. . . कम से कम. . .	సరే. . . సరే, నీకు. . . నీకు కనీసం తెలిసింది. . .
हाँ, सब ठीक है.	అవును, మరేం ఫరవాలేదు.
कयों?	దేనికి?
तुमहारी बडी बहन ने बताया था. मुझे. . . मुझे एहसास नहीं हुआ कि तुम सब एक साथ थीं.	మీ ఇంకో సోదరి చెపపింది. మీరు అందరూ అంటే నాకు అరథం కాలేదు.
मैं जलदी निकलने की कोशिश करूँगी.	నేను ఏదో పరయతనం చేసి కొదదిగా ముందే వచచేసతాను.
हाँ, पर उसे नहीं.	అవును, కానీ అతడిని కాదు.
हाँ, खरोंचों. . . और बचचों की बीमारियों के मामले में.	అవును, సరే, మీకు. . . మీకు తెలుసు, చినన గాయాలకు ఇంకా పిలలల రుగమతలకి ఉపయోగం.
कयोंकि मैं बात मनवाने में माहिर हूँ.	ఎందుకంటే నేను ఒపపించే వరకూ వదిలిపెటటని చెతత వెధవని.
तो शायद उनकी बात अलग है.	కాబటటి వాళల సంగతి వేరేలా ఉండచచేమో.
तुम कैसी हो?	మీరు ఎలాంటి వారు?
अरे, अचछा? यह दिलचसप है.	ఓహ, నిజంగానా? అది ఆసకతికరంగా ఉంది.
यह कब से चल रहा है?	ఎంతకాలంగా నీ ఇది నడుసతోంది?
मैं अचछी हूँ. कयों?	నేను గొపపగా ఉననాను. ఎందుకు?
मैं अभी ऑफिस ही आ रहा हूँ.	నేను ఇపపుడే ఆఫీసుకు తిరిగి వసతుననాను.
बस मुझे समय और जगह बता देना.	ఏ సమయంలో, ఎకకడ కలుదదామో నాకు మెసేజ చేయి.
बस. . .	కేవలం. . .
बेहद भददी.	అదభుతం.
धनयवाद!	ధనయవాదాలు!
हाँ, हाँ, हाँ.	అవును, అవును, అవును.
सच कहूँ तो, मेरी जिंदगी काफी उबाऊ है.	నిజం చెపపాలంటే, నేను చాలా బోరింగ జీవితం గడుపుతుంటాను.
भगवान, मैं इतनी घबराई हुई हूँ.	దేవుడా, ఇది నాకు చాలా ఒతతిడిని కలిగిసతోంది.
पूरी तरह खाली बैठी हूँ.	బురదలో దొరలేవాళలంత ఖాళీగా ఉననాను.
फोन जा रहा है. . . डॉनल	డయలింగ. . . డోనల
-ठीक है. ठीक है. -और मैं अभी आई.	-సరే. అలాగే. -నేను ఒకక నిమిషంలో తిరిగి వసతాను.
तुमहें देखो. बिना सतन के.	నినను చూడు. నీకు వకషోజాలు లేనే లేవు.
बस उसे देखकर मायूस हो गई.	దానని చూడగానే నా ఊపిరి కషటమెపోయింది.
पता नहीं.	నాకు తెలియదు.
मुझे तुमहारी याद आ रही है.	నినను మిస అవుతాను.
तुम आ गए.	ఈయన వచచేశాడు.
कभी नहीं.	అవకాశమే లేదు.
ठीक है. तो, यह लो.	సరే. అయితే, ఇవి తీసుకోండి.
हे भगवान.	దేవుడా, బాబూ.
हे भगवान.	దేవుడా, బాబూ.
हे भगवान.	దేవుడా, బాబూ.
हे भगवान.	దేవుడా, బాబూ.
हे भगवान!	దేవుడా, బాబూ!
जरूर. मैं छोड आऊँगी.	ఏం ఫరవాలేదు. అది నాకు వదిలేయ.
माफ करना. बस हो गया.	మననించు. ఇంక పూరతి కావచచింది.
मुझे खुद से नफरत है.	ననను నేను దవేషించుకుంటుననాను.
और अनय फोटो भी थीं, जो दोबारा कभी नहीं मिलेंगी, समझी?	ఇంకా నాకు గురతులేదు, మిగతా వాళల పోటోలు ఉననాయి, కానీ వాటిని భరతీ చేయలేను, కదా?
बेन - मैं बेहद उततेजित हूँ, तुमहें देखना है, एक फोटो भेजो	బెన. . . నేను చాలా ఉదవేగంగా ఉననాను. నినను వెంటనే చూడాలి బేబీ. నీ ఫోటో నాకు పంపించు.
वह हलके में ले रहा है, पर वह सच में सदमे में था.	అతను దానిని తేలికగా తీసుకుననటలు చెబుతుననాడు, కానీ తను బాగా షాక అయయాడు.
हम बस चाहते हैं कि तुम हमारी मदद करो.	మేము కేవలం పరకృతికి కొదదిగా సాయం చేయాలి అనుకుంటుననాము.
पयार अजीब चीजें करवाता है.	పరేమ మనతో విచితరమెన పనులని చేయిసతుంది.
बस. . . थोडा संदेह हुआ था.	కేవలం, మీకు తెలుసు. . . కేవలం అనుమానం.
सच कह रहे हो.	నువవు నిజం చెపపావు.
"मुखय विषाकत घटक अमैनटिन है,	"ఇందులో పరధానమెన విషపదారథం పేరు అమానిటిన,
डैड उसे हर साल तोहफा भेजते थे.	పరతి సంవతసరం అతనికి నానన బహుమానాలు పంపేవాడు.
अगली बहन पर दबाव डालने के लिए उसका इसतेमाल करेंगे.	ఈమె చెలలెలి మీద ఒతతిడిని పెంచుదాం.
मुझे भी नहीं आया.	నాకు కూడా ఏ సమాచారం లేదు.
-मैं. . . -चुप रहो.	-నేను. . . -కాసేపు మాటలాడకు.
वह आज बेहद शांत है.	తను ఈ ఉదయం చాలా మౌనంగా ఉంది.
वह. . . वह अनुमति नहीं देगा.	అది. . . అది జరగదు.
आज दोपहर को अलसटर तक,	ఈ మధయాహనం కలలా అల సటర చేరుకుని,
दरअसल, वह छोटी सी दुरघटना थी.	నిజానికి అది కేవలం చిననగా కొటటుకుంది, అంతే.
शांत हो जाओ, मैं यह लौटा दूँगी.	పరశాంతంగా ఉండు, నేను వాటిని తిరిగి పెటటేసతాను.
-और माँस है, मैमी? -मैं ले आती हूँ.	-ఇంకాసత మాంసం ఏమెనా ఉందా, మామీ? -నేను ఇపపుడే వసతాను.
तुम मुझे खो सकती थी.	నువవు ననను కోలపోయి ఉండేదానివి.
हाँ.	అవును.
जाओ.	వెళలు.
हाँ.	అవును.
हाँ.	అవును.
-गरेस ने? -इवा ने.	-గరేస? -ఈవా.
धत.	ఛ.
