डैनर की आग	డానర మంటలు
आज मैंने केवल उस सटेज पर आग लगाई थी.	నేను ఆ సటేజి మీద పెరఫారమనస ని మాతరమే తగలబెటటాను.
यह सच में संदेहजनक है.	అంటే, అది అనుమానాసపదంగానే ఉంది.
वह कयों छुप रहा है? कया वह कुरूप है?	అతను ఎందుకు దాకకుననాడు? ఏంటి, అంగవిహీనంగా ఉంటాడా?
नहीं. मुझे इससे नफरत है.	అదేం లేదు. నాకిది అససలు ఇషటం లేదు.
यहाँ कौन है?	లోపల ఎవరు ఉననారు?
हमारे लिए वे खास पैनकेक बनाते थे?	పరతయేకంగా చినని పాన కేకులు చేసేవారు గురతుందా?
तो. . .	అయితే. . .
चलो सेकस करें.	వెళలి పడుకుందాం పదా.
और मेरे पास सारी मोमबततियाँ और फैंसी कलम वगैरह हैं?	అలాగే నా దగగర ఆ కొవవొతతులు, ఫయానసీ పెననులు అననీ పెటటుకుననానని తెలుసు కదా?
कविंटिन डेवेरॉ हिंसा, यौन विचलन और पायरोमेनिया सहित	ఈ కవెంటిన డెవరో అనబడే వాడు హానికరమెన పరవరతనకు చికితస అందించడంలో నిపుణుడు,
मुझे लगा था तुम विकृत वयवहारों में विशेषजञ हो.	నువవు తపపుదారి తొకకిన వారిని సరిచేయడం మాతరమే చేసతావు అనుకుననాను.
मेरी विशिषटता "जुनून" है.	అంటే, నాకునన అభిరుచే నాలోని పరతయేకత.
मधयम है. वह इतना अचछा है.	మధయసథంగా ఉంటుంది. కానీ చాలా బాగుంది.
मैं अब आगजनी नहीं करता हूँ.	నేను ఇపపుడు మంటలు అంటించడం మానుకుననాను.
मदद पाने की कोशिश करने वाला इंसान इमारतें कयों जलाएगा?	చికితస పొందుతునన ఒకడు కావాలని మళళీ వెళలి ఆ బిలడింగులకు ఎందుకు నిపపు అంటిసతాడు?
ठीक है, और जोर से. फिर से.	సరే, గటటిగా. మళళీ.
धत! यह परिहारय था.	ఛ! నేను ఇది చేసి ఉండకూడదు.
तुम अपराधी के साथ सो रहे हो.	నువవు మంటలు పెటటిన వయకతి మాయలో ఉననావు.
और उसका गोल, मांसल पिछवाडा दबा रही थी.	వారు కండలు తిరిగిన, గుడరంగా ఉనన పిరుదులు పిసుకుతుననాను.
मुझे नहीं लगता कि उसने यह किया.	వాడు నేరం చేసినవాడు అని నేను అనుకోను.
मैं अब भी उममीद कर रही थी कि यह सब एक गलतफहमी हो.	నేను అదంతా కేవలం అపారథము అయయుండొచచు అనన చినన ఆశ మాతరం ఇంకా నాలోనే ఉంది.
और इस सवादिषट, अंडे वाले पैनकेक ने मेरी जान बचाई.	అలాగే ఈ రుచికరమెన, గుడలతో చేసిన పయాన కేకు నా పరాణాలు కాపాడింది, మితరమా.
मैंने थोडी सी पी ली.	అరే బాబు, నేను కొంచెం తాగాను.
बेशक चाहती हो. देखो उसे.	అరథమవుతుంది. వాడిని చూసతే చెపపొచచు.
तुमहें मेरा विशवास करना होगा. वह मेरा नहीं है!	నువవు ననను నమమాలి. అవి నావి కాదు!
मुझे लगा था कि तुम बस अचछे विकलप ढूँढना चाहते हो.	నువవు ఆరోగయమెన విధానంలో భావవయకతీకరణ చేయించడం మీద పని చేసతావు అనుకుననానే.
मैं एक पाइरोमेनियैक के दिमाग की. . .	నేను నీతో పంచుకోవాలనుకునే ఇంకొనని విషయాలు ఉననాయి. . .
तुम मेरी पारटनर हो और यह कामुक है. यह यौन सनेहक है.	నువవు నా భాగసవామివి, కానీ ఇది సెకస కి సంబంధించింది. అది సెకసువల లూబరికంట.
हाँ, उसने हमें बताया, पर मैं और जानना चाहूँगी.	అవును, అతను మాకు చెపపాడు, కానీ నేను ఇంకా తెలుసుకోవాలి అనుకుంటుననాను.
ठीक है. ठीक है, और जोर से. फिर से.	సరే. సరే, గటటిగా. మళళీ.
यह बस थोडा कम डरावना लगता है.	అతనితో అయితే నాకు కొంచెం భయం తకకువ ఉంటుంది.
जब मेरी जलाई हुई हर जगह से उसका संबंध साबित होता है.	చూపినపపుడు నింద వాడి మీదకు పోతుంది.
आप हमेशा हमें दुनिया भर से पोसटकारड भेजते थे,	ఒకటి చెపపనా, మీరు పరపంచ నలుమూలల నుండి మాకు పోసట కారడులు పంపేవారు,
धत.	ఛ.
शाबाश. मुँह से छोडो.	అంతే. ఇపపుడు నోటి దవారా వదులు.
हाँ.	అవును.
यह मेरा शौक है.	ఇదొక హాబీ.
मुझे यह बेहद पसंद है	నేను ఇంకా మొదటి రౌండ తింటుండగా
तुमने यह नाशता बनाया और मैंने साबित किया	నువవు ఈ టిఫిన వండావు, అలాగే నేను నా పాయింట ని నిరూపించాను,
तुम उसे छोड रही हो?	నువవు వాడిని వదిలేసతుననావా?
उस बेहद शानदार, रोमांचक सेकस में इतनी लीन हो गई थी	నేను నా ముందు ఉననది చూడలేకపోయానని
मैं यह तुमहारे बिना नहीं कर पाती.	నీ సహాయం లేకపోతే నేను ఇది చేయగలిగి ఉండేదానని కాదు.
तुम खाना पकाने में इतने माहिर नहीं हो, है न?	నీకు వంటలు అంత బాగా రావు కదా?
मैंने उससे पूछा कि वह बरी होने पर कैसे जशन मनाएगा.	నేను వాడు అలా కంటరోల చేసుకుంటుననందుకు ఎలా వేడుక చేసుకోబోతుననాడా అని అడిగాను.
और बढती ही जाती है.	అది పెరుగుతూ, గరజించే విధానం.
-ए. -हम जा रहे हैं.	- హేయ. - మేము ఇక బయలుదేరతాము.
यह आधयातमिक है,	ఆధయాతమికమెన రేకెతతింపు,
- नौ सौ निनयानवे. . . - ठीक है, कविंटिन.	- 999. . . - సరే, కవెంటిన.
यह इतना भी बुरा नहीं था.	అంటే, అది వింటుంటే మంచి పనిలాగే ఉందే.
कया यह, अचछी पुलिसवाली, बदसूरत पुलिसवाला, जैसा माजरा है?	ఇది, మంచి పోలీసు, ఛండాలమెన పోలీసు ఆటా?
मुझे बेहद बुरा महसूस हो रहा था.	నేను చాలా బాధపడడాను.
बिलकुल किया. पर हमने केस पर बात भी की.	అవును, నిజమే. కానీ మేము కేసు గురించి మాటలాడుకుంటుననాం కూడా.
मेरा मतलब. . .	అంటే. . .
-यही सबसे बेहतर है. -शरीर पर कम तनाव पडता है.	- చూసావా, అలాంటిది అయితేనే మంచిది. - శరీరంపె ఒతతిడి తకకువ పడుతుంది.
तुमहें आग पसंद है, शरी वर?	నీకు మంటలు అంటే ఇషటమా, మిసటర వుర?
आग की शकति उसे लुभाती है.	దానికి ఉనన శకతి.
मैंने कोशिश की कि लेनरड अपने जुनून को सवीकार करे,	నేను అతనికి ఉనన ఆ అభిరుచిని అంగీకరించడానికి సహాయం చేయడానికి లెనరడ తో పనిచేశా,
तो, मैं फूल ले आया,	అందుకని, నేను ఈ పువవులు తెచచి,
मुझे ऐतराज नहीं है.	అదేం పరలేదు.
वे बारीक जानकारियाँ बेहद जरूरी मालूम होती हैं.	ఆ కీలకమెన విషయాలు చాలా ముఖయం.
-मैं इसे फाड देना चाहती हूँ. -फाड दो.	- నాకు దీనిని నీ మీద నుండి చింపేయాలి అని ఉంది. - అలాగే చెయ.
सेकस का.	సెకస.
जानती हूँ. मैं आगजनी करने वाले के साथ सेकस कर रही थी और मुझे कोई अंदाजा नहीं था.	నిజమే. వాడి మంటలు పెటటిన వాడని నాకు అససలు తీయలేదు.
बॉयफरेंड बनने के लिए बेहद उपयुकत है.	బాయ ఫరెండ రకం అనుకోవచచు.
कलप गलत था. मुझे इस वजह से उसमें दिलचसपी नहीं थी.	కలప అనుకుననది నిజం కాదు. నాకు వాడి మీద ఆసకతి పుటటడానికి కారణం వాడి అందం కాదు.
पता नहीं तुम कया कह रही हो.	నువవు ఏం మాటలాడుతుననావో నాకు తెలీడం లేదు.
मेरे लिए बलि का बकरा ढूँढना बेहद आसान है.	నేను చేసిన నేరాలను మోపడానికి ఒక బలిపశువు నాకు సులభంగా దొరుకుతుంది.
पर वह वहीं था और समसया खडी कर रहा था.	కానీ వాడు అకకడే ఉననాడు, అదికూడా అకకడ సమసయ సృషటిసతూ దొరికాడు.
वे वेरडरस ऑरिजिनलस थे.	వాడు వెరతెరస ఒరిజినలస తీసుకెళళేవాడు.
कया तुम आज रात केरीओकी कलब जलाने वाले थे?	నువవు ఈ కెరియోకి కలబ ని కూడా ఇవాళ రాతరి తగలబెటటాలని పలాన చేశావా?
गरेस और मुझे लगता था कि आप जासूस हैं.	ఒకటి చెపపనా, గరేస ఇంకా నేను మీరు ఒక సపె అనుకునేవారం.
तो चलो काम की बात करें.	అయితే ఇక అసలు విషయం మాటలాడుకుందాం పదా.
बेशक चाहूँगा. मैं उसके साथ एक बार सेकस करना जरूर चाहूँगा.	తపపకుండా వెళతాను. అలాంటి వాడితో పడుకోవడానికి నేను పబలిక లో ఆతమహతయ చేసుకోవడానికి కూడా సిదధమే.
अब नाक से तीन लंबी साँसें खींचो.	ఇపపుడు నీ ముకకు దవారా మూడు సారలు దీరఘంగా శవాస తీసుకో.
चाय से दूर हटो.	ఆ టీకి దూరంగా ఉండు, బాబు.
और.	ఇంకా.
धत.	అయయో.
धत.	అయయొ.
जैसे ही मैंने कहा,	అంటే, నేను ఆ మాటలు అనన వెంటనే,
इसलिए मैं उसे घर ले जाने आया हूँ.	కాబటటి నేను అతనని వెనకకి తీసుకెళతాను.
और उसके पास दो में से तीन जगहें जलाने की वजह थी. उसी ने यह किया.	ఇంతకుముందు మంటలు అంటించి దొరికిన దోషి.
वह डेरी फरीज है.	అది ఒక డెరీ ఫరీజ రెసటారెంట.
एक जासूस बिलकुल यही कहेगा.	ఒక నిజమెన సపె సరిగగా ఇదే చెపతాడు.
वह कौन है?	అరుసతునన వాడెవడు?
सब ठीक है?	అంతా బాగానే ఉందా?
यह करना जारी रखो.	అలాగే చెయ.
पहनो और हाथ हिलाओ	చేతులు ఊపుతూ ఊరంతా తిరుగుదాం,
और लेनरड पर आरोप लगता है	నేను కాలచిన పరదేశాలననీ చివరికి లెనరడ వెపు
जब तुम अपने दिमाग की नहीं, बलकि दिल की सुनते हो.	ఏం జరుగుతుందో తెలుసుకోవాలనే.
कया कह रहे हो?	నువవు ఏం మాటలాడుతుననావు?
मैं एक आगजनी करने वाले का दिमाग समझना चाहती थी,	నేను ఒక మంటలు పెటటేవాడి మనసతతవం ఎలా ఉంటుందో, వాళళు ఎలా ఆలోచిసతారో
फिर शरारती पुलिसवाली डैनर	అలాంటపపుడు అదుపుతపపిన పోలీసు మహిళ డానర వచచి
मैंने तुमसे पूछा था कि तुमहें किस चीज का जुनून है?	ఏమిటని నేను అడిగాను గురతుందా?
पर उसने जहर कयों पीया?	కానీ తనకు తానుగానే ఎందుకు విషం తాగాడు?
जलदी करो! हमारे पास जयादा समय नहीं है!	తవరగా! మనకు సమయం లేదు!
तुमहें लगता है मैं सेकस में सच में इतना अचछा हूँ?	నేను సెకస బాగా చేయగలను అనుకుంటుననావా?
तुमहें मेरा विशवास करना होगा, बदसूरत पुलिसवाले!	ననను నమము, ఛండాలమెన పోలీసోడా!
पर मुझे तुमहें यह बताना होगा	కానీ నేను నీకు ఇది చెపపాలని అనుకోవడానికి కారణం
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
फिर हमने फरिज से खाना निकालकर खाया.	ఆ తరవాత బాగా తిననాం.
ठीक है.	సరే.
उस पर लपकती है, उसका रूप बदलती है, जब तक कि वह नियंतरण से बाहर नहीं हो जाती है.	దానిని ముదదాడుతూ, మారచుతూ, అదుపు మీరిపోతుంది.
यह उतपीडन है.	మీరు ననను వేధిసతుననారు.
बहुत खूब.	బాగా కనిపెటటావు.
उसे वह किसी कम विनाशकारी शकतियों से मिले.	అభిరుచిని కనుగొనడానికి.
मुझे तुमसे पयार है, डैनर.	ఐ లవ యు, డానర.
मैं चाहता हूँ कि तुम मुझे बाँध दो ताकि मैं विरोध न कर सकूँ.	నేను కాదనలేకుండా ననను కటటి పాడేయ.
मुझे इसे और बदतर बनाने दो.	అయితే నేను పరిసథితిని ఇంకా దారుణంగా చేసతాను.
और एक थेरेपिसट के रूप में,	ఒక థెరపిసటుగా,
तुमहारी डिककी तारपीन से भरी है, लेनरड.	నువవు డికకీ నిండా మంటలు రేపగల వాటిని పెటటుకొని తిరుగుతుననావు, లెనరడ.
कि जो मेरी आँखों के ठीक सामने था, मैं वह देख ही नहीं पाई.	నా మీద నాకే చాలా కోపం వేసింది.
ठीक है. मैं चाहता हूँ तुम मेरी छाती पर मारो.	సరే. నా ఛాతి మీద కొటటు.
या फिर अपनी गरलफरेंड के परिवार की रकषा करना चाहते हो,	ఒకవేళ హతయ చేసిన వయకతి తపపించుకుననా పరలేదు, కానీ నీ గరల ఫరెండ కుటుంబానని
मैं यह संभाल लूँगी. सभी पीछे हटो.	నేను హయాండిల చేసతాను. అందరూ వెనకకి వెళళండి.
मैंने तुमहें बचा लिया, पारटनर. मैंने तुमहें बचा लिया.	నేను ఉననాను, పారటనర. నీకు నేను ఉననాను!
बेहद पसंद है.	అనని కోణాలలో పరిశీలిసతాను.
ए.	హేయ.
मैं बेचैन था. दुनिया मुझे बुला रही थी.	నేను మనశశాంతి లేకుండా ఉండేవాడిని. యాతరలు చేయాలని బలమెన కోరిక పుటటింది.
तुमने मेरी जिंदगी का सबसे लंबा	అంటే, నువవు నాకు జీవితంలో వచచిన అనని వాయిస మెయిలస కంటే పెదదది
सटेज से उतरो.	సటేజి మీద నుండి దిగు, సోదరా.
और बस आगे बढो.	ఆ తరవాత బాగా ఎంజాయ చేదదాం, బేబీ.
उसके शबदों में,	నాకు తెలిసి వాడు పలికిన పదాలు ఏంటంటే.
और मुझे पता है कब वह झूठ बोल रहा है और कब नहीं. और वह झूठ नहीं बोल रहा.	కాబటటి ఎపపుడు అబదధం చెపతుననాడో, ఎపపుడు చెపపడం లేదో నాకు తెలుసు. ఈసారి వాడు అబదధం చెపపడం లేదు.
जिसका मतलब है कि अब तुम नहीं मरोगे.	దానరథం నువవు ఇక చావవు.
मैं अब भी अपने	నేను నా ఎకస-బాయ ఫరెండ ఇనసటాగరామ లో
नहीं.	నిజానికి లేదు.
हमेशा.	అది కూడా, నిరంతరం.
विशव यातरी.	పరపంచానని చుటటిన పరయాణికుడివి.
किसका?	అయితే నీ అభిరుచి ఏంటి?
मुझे योजना बदलनी पडी.	నేను సమయసఫూరతితో అడుగేయాలసొచచింది.
