एक असली दुनिया में.	ఒక యదారథమెన చోటుకు.
दिखावा कर रहे हो, वुलफ.	నటిసతుననావు, వూలఫ.
और बुरी जानकारी में फरक करना आता है.	పరతిభావంతుడిగా నువవు ననను ఎపపుడూ ఆకటటుకుంటావు.
उतना थोडा भी नहीं.	కానీ చినన అడుగేమీ కాదు.
पर जब तक मैं लौटा,	నేను తిరిగి వచచే సరికి,
माँ! उठिए! माँ, अभी उठिए.	అమమా! అమమా! లే! అమమా, వెంటనే లే.
"हाँ. "	"అవును. "
"हाँ. "	"అవును. "
"हाँ. "	"అవును. "
बाप रे, बुरा हाल लग रहा है.	నీ గొంతు నరకంలా ఉంది.
मेरा सटब?	నా సటబ?
ऐसी औरत की मदद करना मुशकिल नहीं होगा	కాబటటి, దురదృషటం వెంటాడుతునన
मुझे लगा कि मदद करना अचछी बात होगी.	పొరుగువాళళు కావడంతో ఒతతిడి తగగించడానికి వచచా.
हे भगवान.	దేవుడా.
अगर निरदयी बनने की हिममत न रखी तो आगे न बढ पाओगे.	అపపుడపపుడు కరూరంగా ఉండే ధెరయం లేకపోతే.
और आरथिक खलबली का जनम हुआ. उदाहरणारथ. . .	అలాగే మన సమాజంలో ఆరథిక కలలోలం ఏరపడింది. ఉదాహరణకు. . .
जुड गया लेव जूबोव	కనెకట అయింది లెవ జుబోవ
वह हमसे अलग नहीं लगता.	అతను మనలాంటివాడే.
-फलिन, तुम. . . -कुछ न किया तो चार हफतों में	-ఫలిన-- -ఆమె 4 వారాలలో చనిపోతుంది,
फलिन और अपनी माँ को मेरा हैलो कहना.	ఫలినకు, మీ అమమకు హాయ చెపపు.
एलएमजी दल.	ఎలఎంజీ బృందం.
यह हुई न बात.	అదీ విషయం.
तो मुझे बताओ.	నీకు లభించి ఉంటే.
भाड में जाए. उसकी बात पर यकीन. . .	అది చెతత. మనం అతని మాటని--
कॉनर कहाँ है?	కానర ఎకకుడుననాడు?
शराब पी है, कॉनर?	తాగావా, కానర?
धत. हो जा, हो जा. चलो.	ఛత. కానివవు, ఛత. కుదిరి చావు.
किसी ताकतवर आदमी का काम होगा?	గటటి కండరాలకు, అంటావా?
हम एक मुशकिल में पडे हैं.	మాకు కలిషట పరిసథితి కొనసాగుతోంది.
हम सिरफ इसकी मौत नहीं चाहते.	మనం కేవలం అతనని మాతరం చంపితే సరిపోదు.
कि वह इस काम के लिए सही आदमी नहीं है.	అతను ఈ పనికి సరెన వాడు కాదు.
या फिर, समानांतर समयरेखा, अगर ऐसा कहो तो. या सटब.	లేదా, సమాంతర కాలరేఖ అనవచచు. లేదా సటబ.
इस बात की गारंटी नहीं दे सकते कि दवा का असर होगा.	ఆ ఔషధం పని చేసతుందని మేం హామీ ఇవవలేం.
तुम खुद को कया कहते हो, विलफ? "मिसतरी"?	నువవు నినను ఏమని పిలిచుకుంటావు, విలఫ? ఒక "మధయవరతా? "
शुकरिया.	థాంకస.
फिर से सवागत है.	మళళీ సవాగతం.
-मैं झूठ नहीं कहूँगा. -झूठ बोलने को नहीं कह रहा.	-నేను అబదధమాడను. -చెపపమని అనటం లేదు.
डरकर उठ गए कया?	ఉలికిపడినటటు లేచావే?
तुममें कोई परतिभा है जिसके बारे में मुझे पता होना चाहिए?	నాకు తెలియాలసిన పరతిభలు ఏమెనా నీకు ఉననాయా?
खेल खतम करो.	ఆటను ఆపు.
रचनातमक परयवेकषक दिनेश शाकुल	కరియేటివ సూపరవెజర రాధ
मुझे एक औरत की तलाश है. एलीटा वेसट.	నేను ఓ మహిళను కనుకకోవాలని చూసతుననా. ఎలీటా వెసట.
वे लोगों तुम पर हावी हो चुके थे.	వాళళు మిమమలని చుటటుముటటి ఇబబందిపెడుతుననారు.
जिसकी किसमत ने साथ नहीं दिया.	ఓ మంచావిడకు సాయం చేయడం అంత కషటం కాదేమో.
इसलिए आजकल और मिलने नहीं आते?	అందుకే ననను నువవు తరచూ వచచి కలవడం లేదా?
पर, युकतिपूरवक, वह एक अहम चीज को खोना होता.	కానీ, వయూహాతమకంగా, అది ఒక విలువెన ఆసతిని తయజించడం లాంటిది.
किसी भरोसेमंद दल दवारा?	నమమదగిన బృందమేనా?
शायद मैं झेल नहीं पाता.	అది తటటుకోలేనేమో.
उनके डीएनए से.	వాటి డీఎనఏ ఆధారంగా.
मैंने वह दे दी.	దానని ఇచచా.
हमारे पास एक हद तक जानकारी है.	ఓ నిరధిషట పరిమితి దాకా మాకు సమాచారం ఉంది.
और टेकनिकलस किसे कहते हैं?	నిపుణుడు అంటే ఎవరు?
अफसोस है कि कुछ देर के लिए हमें पुराने टरॉपिकाना को भूलना होगा.	మనం టరాపికానా కలబ విషయానని పకకకు పెటటేయవచచేమో.
गलायोमा.	మసతిషకవరణం.
छह हफते.	ఆరు వారాలు.
वो कया. . .	అవి. . .
मानना पडेगा, थोडा तो यकीन हुआ है.	నమమకం వెపు అడుగు వేశాను.
और उनमें से कोई भी, खुद रानी मधुमकखी भी,	ఇక వాటిలో ఏదీ, రాణి ఈగతో సహా,
पीछे लाशों का ढेर लगा पडा है.	వెనుక శవాల గుటట ఉంది.
जानना चाह रही हूँ.	పరయతనిసతుననా.
इतनी सारी गाडियाँ.	అనని వాహనాలు.
पर आज के लंदन से 70 साल बाद का.	కానీ మీ పరసతుతం నుండి 70 ఏళళు ముందుకు ఉంది.
कयों?	ఎందుకు?
टेली-मौजूद हो.	మానసికంగా.
तुम यहाँ होतीं.	ఇకకడ భౌతికంగా ఉంటారు.
साला.	ఓరి నీ.
कयों?	ఎందుకు?
कि हम जिस दवा की बात कर रहे हैं, वह 57 परतिशत असरदार है.	ఆ ఔషధానికి 57 శాతం సామరథయ పనితీరు ఉందని.
यह सब अभी कैसे हो रहा है?	ఈ చెతతంతా ఎందుకు ఇపపుడే జరుగుతోంది?
कुछ तो है.	కాసతంత తాగాను.
मुझे जाने दिया.	ననను అలా వెళళనిచచాడు.
असथिर, जो याद न रहे, जिस पर	అతను తపపించుకుంటాడు, గురతుపెటటుకోలేము,
कि मैंने समय यातरा की?	నేను కాలంలో పరయాణించాననే మాటని?
पर मेरा कया होगा?	కానీ నాకు ఏం జరగబోతుంది?
तुम लोगों के मुताबिक. वैसे, तुम लोगों को वह जानकारी कहाँ से मिली?	మీ అందరి పరకారం. మీకు ఆ సమాచారం ఎలా దొరికింది?
तुमहारी पहचान वाला वह आदमी बेवकूफ है कया?	అంటే ఇతను, ఒక పిచచివాడు, కదా?
इसलिए, पलीज, सोच-समझकर माँगो.	కాబటటి, ఏం అడుగుతుననావో తెలుసుకుని అడుగు.
हमारे रिकारड बताते हैं कि आप वह वयकति हैं	కలాంటన పరాంతంలో, 2030 కాలంలో,
तुमसे सवाल पूछना.	మీ విచారణను.
मैं पहुँच गई हूँ.	నేను వచచాను.
मैं ऐसी बेकार दुनिया से उलझना कयों चाहूँगी?	ఇంత అసహయకరమెన పరపంచంలో నేను ఎందుకు చికకుకుపోవాలని అనుకుంటాను?
और लिऑन? कारलोस भी?	ఇది లియోనదా? కారలోస కూడానా?
यहाँ कया चल रहा है?	అసలు ఇకకడ ఏం జరిగి చసతోంది?
समय यातरा, हिलते हुए टैटू.	కాలంలో పరయాణం, కదిలే పచచబొటలు ఉననాయి.
फरक इतना है कि वह लंदन में है,	కానీ అది లండనలో ఉంది,
तुमहारा दिमाग खराब हो गया है कया?	నీకు ఏమెనా మతి పోయిందా?
वही पहला संकेत होता है.	అదే తొలి సంకేతం.
बहुत जलद मजा ठंडा पड गया.	ఆ సరదా తవరగా ముగిసినటటు అనిపించింది.
पीछे हटो!	మదదతు కావాలి!
चाहो तो परसताव है.	నీకు కావాలంటే అవకాశం ఉంది.
तो हम यह आराम से कर सकते हैं.	మేం సులభంగా మారచగలం.
एक बात कहूँ? यह 6. 8 एसपीसी है.	ఇదేంటో తెలుసా? ఇది 6. 8 పరతయేక ఉదదేశయపు తూటా.
वह भविषय में है, बरटन.	ఇది భవిషయతతులో జరుగుతోంది, బరటన.
यह मेरा वादा है.	మాటిసతుననా.
उसके चलते उनकी तबियत और खराब हो गई है.	ఆమెను మరింత బలహీనపరిచింది.
बहुत कुछ हुआ.	చాలా జరిగింది కూడా.
मैं तुमहें दिखाता हूँ.	చూపెడతాను రండి.
देर शाम के समय.	సాయంకాలం ముగిసే సరికి.
तुम मेरा यकीन नहीं करोगे.	నువవు ననను నమమవు.
वश में कर पाएँ तो मैं उसे समय बरबाद करना नहीं कहूँगा.	ఈమెను మనం మరింత పరభావితం చేయగలిగితే.
हमने डारक वेब पर कुछ डाला है. वह एक. . .	డారక వెబ అని పిలిచేదానిలో మేము ఒక పోసటింగ పెటటాము. అది. . .
उनके पास वही नहीं है.	ఆమె దగగర లేని ఏకెక విషయం సమయమే.
-वह कोई. . . -दौलतमंद रईस?	-అతను అలా కాదు. . . -ధనిక విలాసవంతుడనా?
वह बस पालतू है, वफादार है और पयारा है.	అతను కేవలం పెంపుడు జంతువు, చెపపిన మాట వినేవాడు, అమాయకుడు.
बहुत ही आसान परकरिया है.	అంటే మొకకలపె మందు చలలటమంత సులభమెనది.
मैं यकीन कर सकता हूँ.	దానని నమమగలను.
समझ गया.	అలాగే చేసతా.
नहीं. शायद नहीं.	కాదు. వెధవని కాదనుకుంటా.
धत.	ఛ.
हाँ.	అవును.
सोचो, मिस फिशर. पर थोडा जलदी.	దీనిపె ఆలోచించండి, ఫిషర గారు. కానీ ఉతసాహంగా.
मैंने अभी लाटरी जीती!	నేను ఈ చెతత లాటరీని గెలుచుకుననా!
विचार हो रहा है कि इनहें दफनाया जाए या जला दिया जाए.	పూడచడం, కాలచడం రెండూ చరచకు వచచాయి.
आधे मर चुके होंगे, बाकी खुश होंगे.	మాలో సగం మంది చసతారు, మిగిలిన వాళళు సంతోషంగా ఉంటారు.
तुम उसे बंद कर सकती हो.	దానని ఆపేయవచచు.
और वे कया हैं?	అవి ఏంటి?
नीचे रहो!	కిందనే ఉండండి!
नीचे रहो!	కిందనే ఉండండి!
धत तेरी, फलिन.	ఛత, ఫలిన.
आपके गलायोमा के.	నీ మెదడులో పుండు గురించి.
मेरा भी वादा है.	దీనిపె నేనూ మాటిసతుననాను.
बिलकुल, पर अगर होता तो,	అవును, కానీ అలాంటిది ఇపపుడు ఉండుంటే,
वही नाम जो उस चिकीटा महिला का है.	అంటే చికిటా అమమాయిలా.
दोनों चीजें हो सकती हैं, नहीं?	రెండూ ఉండొచచు, కదా?
पर नशा छोडना पडेगा.	కానీ మతతు వదలటం తపపనిసరి షరతు.
जरूरत से कम.	అవసరానికననా తకకువే.
गरिड शटडाउन पुषटि	గరిడ నిలుపుదల నిరధారితమెంది
पता नहीं, बरटन.	నాకు తెలియటం లేదు, బరటన.
सडक पर जाते समय	దాని గురించే ఆలోచించాను,
तुम खुश हो, एलीटा?	నువవు సంతోషంగా ఉననావా, ఎలీటా?
तो, ऐसा था जैसे गेम ने तुमहें. . .	కాబటటి, సిమ నీకు. . .
जुड गया.	సంధానించబడడా.
जुड गया.	సంధానించబడడా.
जुड गया.	సంధానించబడడా.
कवर करो!	రకషణకు వెళళు!
कहाँ है?	అది ఎకకడుంది?
कनफरम सटारटिंग कलीनिंग	కలీనింగ పరారంభిసతుననటలు నిరధారించండి
जहाँ वह है.	భవిషయతతులో ఉననాడు.
पीछे जाओ.	మళళీ వేసి చూడు.
वह कौन है?	ఎవరది?
और मेरा भाई?	మా సోదరుడి సంగతేంటి?
यह कया है?	ఏంటది?
और?	ఇంకా?
मैं कहूँगा. . .	నేను. . .
यह जालसाजी है, कमीने.	ఇది ఎర చూపి ఉచచు బిగించడంరా, వెధవా.
तो फिर चोर होगा.	అయితే కలెపట వాడు అయయుంటాడు.
किसके बाद? कयों?	అది ఏ పరిమితి దగగర? ఎందుకు?
हे भगवान. अरे, बाप रे.	ఛత. అయయో, ఛత.
जो बहुत ही नाजुक काम है.	మనం అనుకునే కంటే అది చాలా సుకుమారమెన పని.
बदमाश कहीं के.	ఎందుకు, నీది నకక తెలివి.
अगर तुमहें कुछ पता है,	విలువెన సమాచారం ఉంటే ఇపపుడే వాడుకోగలను
बिलकुल. और उस बातचीत के चलते इस बात की	నిజమే. ఆ సంభాషణలే. . .
हैपटिक समनवय परोटोकाल - सकरिय डरोन फीड इंटरसेपट - पूरा	హాపటిక సంయమన కారయకరమం కరియాశీలం
ठीक है.	సరే.
हम इस पर विचार नहीं कर रहे. ठीक है?	ఇది చరచ కాదు. సరేనా?
शरमिक, नर और रानी,	శరామిక ఈగలు, డరోన ఈగలు, రాణి ఈగ,
पैदल. आधा किलोमीटर आगे.	నడుసతుననాడు. రోడడుకు అర కిలోమీటరు దూరంలో.
माफ करना?	ఏంటి?
अगर इसे थोडा और	నేను సమయం వృధా అయిందనుకోను,
यह कोई सिमुलेशन नहीं है.	ఇది సిమ కాదు.
साल 2100 में.	2100లో.
और वह कया है?	అదేంటి?
संवाद अनुवादक परवीन कौर शो	ఉపశీరషికలు అనువదించినది Pradeep Kumar Maheshwarla
कया समसया है?	ఇంతకీ అకకడ ఏం జరుగుతోంది?
जो खतरनाक भी थे.	అదీ చాలా హింసాతమకంగా యతనించారు.
सबूत चाहती हो?	నమమడానికి ఆధారాలు చూపమంటారా?
मैंने ठीक कहा?	నేను అననది నిజమేనా? నిజమేనా?
दो रासते हैं.	నీకు రెండు అవకాశాలు ఉననాయి.
कया अंतर है?	రెండింటి మధయలో తేడా ఏంటి?
वह कया कह रहा था?	ఏమననాడు?
रहम.	అదే జాలి.
साफ-साफ.	చాలా తేలికెన విషయం.
अरे, बाप रे.	అబబో.
कुछ-कुछ.	50-50 అవకాశం ఉందంటా.
सच लगा?	నిజమే అనిపించిందా?
नीचे!	కిందే ఉండండి!
कोई है.	ఓ సందరశకుడు వచచాడు.
वह करो,	అది జరిగేలా చేయండి,
पर यहाँ?	మరీ ఇకకడి వరకూ వచచాయా?
तुमने कया किया?	ఏంటి?
गानों की पसंद लूविया दे ओरो - कैमरन इयन मेकबराइड	మయూజిక సెలెకషన
