खैर, डालो.	చెపపు మరి.
बैग उतारो. पीछे मुडो.	బయాగులు కింద పెటటేసి, వెనకకి తిరగండి.
हाँ. यह सब मेरे पॉडकासट में है.	హా. అవును. దాని గురించి నా పాడ కాసటులో వివరంగా చెపపాను.
ए. तुम ठीक हो?	హేయ. నువవు బాగానే ఉననావా?
कया, जैसे तरकहीन? और आकरामक?	నా ఆలోచనా విధానం పిచచిపిచచిగా ఉందా? దూకుడుగా ఉందా?
समझे?	అరథమెందా?
जेक, सुनो.	జేక, చెపపేది విను.
वे नसलवादी हैं.	వాళళకి జాతయాహంకారం ఉంటుంది.
अपनी चाबियाँ लो.	నీ కారు తాళం చెవులు తీసుకురా.
ठीक है. हाँ, हाँ. मेरा मतलब, यह थोडा संदेहजनक सुनाई पडता है.	అవునవును. అది కాసత వింతగానే ఉంది.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
हाँ. अभी नहीं.	అవును. ఇంకా ఆ సమయం రాలేదు.
वह आदमी जो तुमहारी कार की पीछे की सीट पर बैठा है, मनसूर. वह मेरे मुखबिरों में से एक है.	నీ కారు వెనుక సీటులో ఉనన మనసూర, అతను నా మనిషి.
मुझे भी वह पसंद है.	నాకు కూడా.
कॉमबैट लीग.	విపరీత ఛాందసవాద వరగం.
डरगस, गलीचे नहीं, जून.	జూన, అది డరగస దుకాణం, తివాచీల దుకాణం కాదు.
जेकब, अगर मैं तुमहारी जगह होता, तो उसे अंदर रखता.	జేకబ, దానని పకకకు పెటటేయ,
देखो, तुम?	చూడు.
ए.	హేయ.
अरे, जरूर.	అబబో.
ए.	హేయ.
हाँ.	అదననమాట.
देखिए, आरोप है	చూడండి, మీరు ఒక రాజకీయ పారటీలో
कुछ मत कहो.	నీ నోటికి అలానే ఉంటుంది.
वह एक भरोसेमंद आदमी है.	నమమకసథుడు.
तीन लोगों के नाम	నువవు ఎవరికెతే కాల చేయాలనుకుంటుననావో,
ठीक है.	హా.
पुलिस.	మేము పోలీసులం.
यह कया हो रहा है?	ఏంటిది?
अब नहीं.	ఇపపుడు అంత సీన లేదు.
बेचने के इरादे से डरगस रखने के.	డరగస ఉననాయి.
आखिरकार.	అదే అడుగుతావు అనుకుననా.
अरे, ठीक है.	సరే.
हाल ही	ఇటీవల సంపరదించినవి
सही कहा. सही कहा.	నిజమే. అది నిజమే.
हटो.	పకకకు జరగండి.
छी.	దరిదరంగా ఉంది.
धत तेरी की.	ఛ.
