अचछा, लिलीबग.	సరే, లిలలీబగ.
एक समापन रेखा तक जाता है.	మనలో ఒకరు ముగింపు వరకూ వచచి గెలుసతారు.
मुझे थोडा समय दो.	నాకు ఒకక నిమిషం సమయం ఇవవు.
कैसे हो, अजनबी.	ఎలా ఉననావు, అపరిచితుడా.
छुपाना पडा?	మీ సంరకషకురాలినా?
और जलद ही, फुल टाइम कॉलेज जाओगी, उसके बाद भी?	తవరలోనే సకూలకు వెళుతూ కూడానా?
जब तुमने अपनी यह कहानी लिखी,	నువవు నీ ఈ చినన కథను రాయడానికి కూరచుననపపుడు,
चलो, गोली खाओ.	ఏంటిది, ఆ మాతర వేసుకో.
तीन, दो, एक, चलो.	మూడు, రెండు, ఒకటి, కానివవు.
पता होना चाहिए कि किससे डरना है,	నీకు దేనికి భయపడాలో,
अगर ठंड लगे तो.	ఇది నీకు చలలగా అనిపిసతే.
मुझे यकीन था कि सपरलॉक खेत में मेरी चाल कामयाब हो जाएगी.	నేను తనను సపరలాక పొలంలో ఇరికించాను.
रे की वजह से?	రే వలనా?
कि जैसे ही तुम खेल जीतने लगी, रे ने तुमसे बात करना शुरू कर दिया,	నువవు ఆట గెలుసతునన నిమిషం నుండే రే నీతో
रुको. एक सेकंड रुको.	ఆగు, ఆగు. కాసత ఆగు, ఒకక కషణం ఆగు.
अब जज अंतिम तीन को चुनेंगे.	చివరి ముగగురిని నయాయనిరణేతలు ఎంపిక చేసే సమయం.
मैं नहीं बदलूँगा.	మారచుకోను.
अंगरेजी में बताओ?	ఇంగలీషులో?
वयकतिगत चुनौतियों के नतीजे मिला लिए गए हैं, अंक हासिल किए जा चुके हैं.	సవాలు ఫలితాలు వచచాయి, గెలుచుకునన పాయింటలు
और लूक हॉल?	లూక హాల సంగతి ఏంటి?
तीन फालतू कमरे हैं.	నాకు అదనంగా మూడు పడకగదులు ఉననాయి.
कातिल सुधार और मरममत	కిలలర యొకక పునరుదధరణ మరియు మరమతతులు
कोई जबरदसती नहीं है.	నీకు తెలుసుగా, నువవు చేయనవసరం లేదు.
समझ में आता है कि उस तरफ वाली जिंदगी कैसी होती है, हाँ?	బాగుండటానికి రుచి మరిగావు, కదా?
शायद, हाँ.	అంటే, బహుశా, నిజం.
मुझे बाहर निकालो!	ననను బయటకు తియ! ననను బయటకు తియ!
एक समय पर, एक लडकी जिसमें कई कहानियाँ छुपी थीं	అనగనగా నమమడానికి ఏమీ లేని
तो, हंट ने तय किया,	అందుకని, హంట మతతు మందు తీసుకోకూడదని
ऐन ने माँ को जिनके बारे में बताया था.	ఆన అమమకు చెపపిన కోచ.
ताकि खेल में हेर-फेर कर सके?	మాటలాడుతుననాడు?
कुछ बहुत ही वयकतिगत थीं.	అంటే, వారిలో కొంతమంది చాలా సననిహితంగా ఉననారు.
कम से कम, यहाँ एयर कंडीशनर है.	ఇందులో ఏసీ ఉంది.
दूसरा बीच में ही दम तोड देता है.	మరొకరు ఓడిపోతారు.
भाड में जाओ, टायलर! भाड में जाओ!	పోరా, టెలర! పోరా!
लो.	ఇదిగో.
गाडी में पेटरोल कम है.	ఇంధనం లేదు.
यही बात.	అది, సరిగగా అది.
कोई है?	ఎవరెనా ఉననారా?
और आखिर में मायरा थी.	చివర మెరా.
हेदर. . .	హేథర. . . హేథర. . .
मैंने.	నేనే చెపపాను.
मुझे एक सवाल पूछना है.	నాదో పరశన.
हमेशा के लिए पकके दोसत	బె ఫరె ఫరె
साला.	ఛ.
तुम मजाक तो नहीं कर रहे?	నిజంగానా?
धत तेरी.	ఛ.
