गो ल !	గో ల !
तुम , जो साफ घ बरा ए हुए दिख रहे हो .	చూడ డానికి భయ పడు తునన టటు ఉనన వయకతి వి , నువవు రా .
और उस ज मी कुल फी के ला य क नहीं जो तुम स को र रख ने के लिए मुझे देने वाले हो .	ఈ మా తరం దానికి స కోర చూడ మని మీరు ఇ చచి న ఐ స క రీ మ చ ాల దు .
ने थ न ड बल यू पा इ ल की पु स तक श ृ ं ख ला पर आ धा रि त	నే థ న డబ ల యూ పె ల రా సిన పు సత క సి రీ స ఆ ధా ర ంగా రూ పొ ంది ంచ బడి ంది
तुमहारी टी म के घट िया पर दर शन के लिए हम जि म मे दार नहीं हैं .	మీ టీ మ సరి గగా ఆడ లే కపోతే అది మా తపపు కాదు .
तो फिर , कयों न थोडा त ड का लगा एँ	సరే , అయితే మనం విష యానని ఇంకా రస వ తత రం చేసి
अपनी सं ता नों को मिल - जु ल कर रह ते देख मेरे ख ून का प ं प खुशी से स रा बो र हो रहा है .	నా పిలల లు కలిసి ఉండ డం చూ సతు ంటే నా గు ండ ె పర వ శి ంచి పో తోంది .
कया नि रण य है ?	నిరణ యం ఏ మె ఉండాలి ?
हम जी तने वाले हैं .	మేము ఈ ఆట లో గె లవ బో తుననాం .
खेल ने कितना दु ः ख द मो ड लिया .	ఆట ఎంత ని రు త సా హ కార మెన ఫ లి తా నని ఇ చచి ందో .
यह पह न लो .	వీ టి ని వే సుకో .
शायद .	అంతే లే .
प कष ि यों का धयान रख ना .	ప కష ు లను చూ సుకో .
हम व हा इट टे ल स की तरह खेल ेंगे .	మనం ఆ జి ంక లలా ఆడ దాం .
इन गे म ों का इ रा दा परा ण ि यों को साथ ला ने का है .	ఈ ఆట ల ఉదదేశం అంద రి నీ ఒకటి చేయ మే .
खैर , तुम रे फ री कयों बन ना चाहते थे ?	సరే , అసలు నీకు రి ఫ రీ కా వాలని ఎందుకు అనిపి ంచింది ?
और एक उ ड न म शी न का ऑ परे टर और एक पे शे वर गो ले को बै ट से मार ने वाला खिला डी भी हूँ .	ఒక విమానం పె ల ట ని అలాగే పర ొ ఫె షన ల బ ే స బ ాల ప లే య ర ని కూడా .
वे किसी केवल एक - उन म ूल न परति यो गि ता के स मान जी वन जी ते हैं	అవి కూడా గె లు పు కు ఒక ే ఒకక అవకా శం ఉండే ఎ లి మి నే షన ఆట లాంటి జీవితం బర తు కు తు ంటా యి ,
लगता है न यू ट स के नंबर 4 1 ने	న యూ ట స నం బర 4 1 ప లే య ర
तुमसे मिल कर अचछा लगा , बहन .	నినను చూడ డం సంతోష ంగా ఉంది , తో బు టటు వా .
हमारी जानकारी में सबसे अचछे रे फ री के नाम	మనకు తెలి సిన బె సట రె ఫ రీ కోసం
दो अं क कुछ नहीं होते .	రెండు పా యి ంట లు పెదద గొపప కాదు .
व हा इट टे ल स .	జి ంక లు .
हमारे साथ हा उल रस का सम र थ न करो .	మా తో కలిసి హ ౌ ల రస కి స పో ర ట చే సతే బాగు ంటుంది .
कि हम ऐसी किसी चीज पर धयान ही नहीं दे ते जो हमारी आँख ों के सामने न हो .	మన ఎదు రు గా లేని వాటి వి లు వ ను తెలుసు కో లే కపో తు ంటా ం .
खेल का न ती जा है , बिना रु का व ट के कि क .	ఇపపుడు ఒక ఫ రీ కి క ఇవ వాలి .
अगर तुमहें इसे मुझसे बचा कर निकाल ना है , तो इससे जयादा जो र से कि क मार नी होगी .	బ ాల ని ననను దా టి ంచ ాల ంటే నువవు అంత క ననా గ టటి గా త ననా లి .
अभी नहीं .	ఇంకా చా వ లేదు .
उन प कष ि यों ने मुझे ठीक से देख ने नहीं दिया .	ఆ ప కష ు ల వలల నేను ఏమీ చూడ లేదు .
हम तुमहें गर म फ ज भी दे देंगे .	నీకు హా ట ఫ డజ కొ ంటా ం .
इन हा उल रस ने भी हार ने का कोई तरी का ढूँढ ही लिया .	ఆ తో డే ళళు కూడా చి వ రికి ఓ డి పోయా యి .
हमें तुमहारे दर द का और ग हरा ई से विश ले ष ण करना चाहिए .	మనం నీ బాధ ను మరి ంత అరథం చేసుకో వాలి .
अब तो मैं मा रा गया .	నాకు ఇక చ ాలు .
आ धा समय खतम हुआ , पु न ः - ऊ र जा पू र ति अ व का श है .	ఆట స గం అయి ంది , ఇంట ర వె ల బ రే క .
हमने सुना है कि न यू ट स से सं बं धि त हर चीज घट िया है , उनके फै न स के स मे त .	మే మె తే న యూ ట స కి సంబం ధి ంచిన పర తీ ది , చి వ రికి వారి అభి మా ను లతో సహా అన నీ త కకువ నా ణ యత కలి గి న వే అని వి ననా ం .
मुझे केवल पे ड और जी व दिखा ई दे रहे हैं .	నాకు చు టట ూ చె టలు ఇంకా జ ం తు వు లు తపప ఇం కే ం కనిపి ంచడం లేదు .
घर पर बैठ े हा उल रस के फै न बहुत दु ः ख ी होंगे .	స ొ ంత సట ే డి యం లో పరా జ యం ఎదు రెన హ ౌ ల ర ఫ యా నస చాలా బాధ పడు తూ ఉండ ొ చచు .
पर तुम उसकी चिंता मत करो .	కానీ మీరు ఆ విషయ మె భయ పడ ాల సిన పని లేదు .
और उस दु र भाग य पू रण घट ना के नाम जिस ने हमें याद दिल वा या कि हम सभी से गलती हो सकती है .	అలాగే మన లోప ాలను మనకు గురతు చేసే దు ర ద ృష ట కర స ంద ర భ ాల కోసం .
हैलो , बहन .	హలో , తో బు టటు వా .
कया उनहें पता नहीं कि यह फु ट गो ला है ? हाथ से कयों छ ू ना ?	దానిని ఫ ు ట బ ాల అని పి లు సతా రని వాళ లకు తెలీ దా ? అలా ంట పపుడు చే తి తో ఎందుకు పటటు కుంటా రు ?
मैं समझ ती हूँ .	నేను అరథం చేసుకో గలను .
कया कहते हो ?	ఏమ ంటా రు ?
मैं गो ल मार ूँगा .	నేను గో ల ని ష ూ ట చేసతాను .
बढिया !	భలే !
मैं पकका इस गो ले को कि क मार कर तुमसे दूर भेज सकता हूँ .	నేను ఈ బ ాల ని నీ వెన కకి దా టి ంచ గలను .
इन प कष ि यों को बिलकुल पसंद नहीं आया कि हमने उनके	వాటి ని వా సం లో మనం సట ే డి యం క టట డం
तो उनसे एक उ चि त फै स ले की उममीद की जाती है .	కాబటటి వాళళ నిరణ య ాలు కూడా స రెన వే అయ యు ండ ాలి అని అందరూ అనుకుంటా రు .
यह सब किसी के साथ भी हो सकता है .	ఇలా ంటి ది జరగ డం స హ జ మే .
फिर दर शक परा ण ी इन कि कों के न ती जे में	ఆ తరవాత వీ కష కులు ఆ బం తి ని త నని నపపుడు వచచే ఫ లి త ాల పె ఆ శ లు
जो मेरी नौ करी का भ वि ष य त य करे गी .	నిరణ యి ంచే ఒక టె సట ు ను కూడా తీసుకో మని అడుగు తుననారు .
ठीक है . अचछी गे म थी .	సరే . మంచి ఆట .
शा ं ति से बैठ जाओ .	శా ంతి ంచండి .
शा ं ति और निय म ों के नि ष प कष रकष क .	ని ష పా కషి కంగా రూ లస ని కా పా డు తూ ఆట ను న డి పి ంచే వారు .
हाँ , यह बहुत उ बा ऊ है	అవును , ఇది చాలా బో రు కొ డు తోంది ,
भा वना त म क सं रकष ण ए व ं सु धा र	మా న సి క క ౌ న సె లి ంగ
यह आ सान नहीं था .	అదే ం అంత సు ల భ ంగా జరగ లేదు .
जो पहले तीन गो ल मा रे गा .	ముందు మూ డు గో లస వే సిన వారు గె లు సతారు .
मेरी व फा दा री सच ची है .	నాకు మా జ టటు తో ఉనన బం ధం నిజ మెంది .
पर तुम पर कृ ति के अ जू बे नहीं देख पा ओ गे .	కానీ మీరు పర క ృ తి లో ని ఎ నన ో అదభు త ాలను చూడ కుండా మి స అవు తుననారు .
हैं ड गो ला उल लं घ न किया है .	బ ాల ని చే తి తో ము టటు కునన టటు తెలు సతుంది .
चाह े कितना भी ह ल का ज हर पी ल ूँ , कल की गे म के बाद की सम ीक ष ा को लेकर	రే ప టి పో సట గే మ రి వయ ూ ను తల చు కు ంటే వచచే భ యం
खुशी और ग म , साह स और डर	సంతోష ం ఇంకా వి చా రం , ధ ె ర యం అలాగే భ యం
अब तुम पु न ः पर मा ण ित हो .	ఇపపుడు నీకు సర టి ఫి కే షన అ ంది సతుననా ం .
न यू ट स सबसे बु रे हैं .	న యూ ట స నిజంగా చాలా దారు ణ మెన వారు .
हम तुमहारा साथ देने के लिए यहाँ होना चाहते थे .	నీకు స పో ర ట ఇవ వడానికి వచచా ము .
कि ता ब ें पढ ने में कोई बुरा ई नहीं है .	చ ద వడం లో తపపు ఏం లేదు .
उ फ .	అమమ ో .
वे इतना शा मिल हो गए	వాళళు ఎంత గా ఆట ను ఇష ట పడ డా రు అంటే ,
यह कया किया ?	అదే ంటి ?
आगे आओ .	ఇక మొద లె టటు .
अचछा बचा या !	భలే తపప ి ంచు కుననా వు !
ठीक है .	సరే .
फु ट गो ले की एक गे म से .	ఒక ఆట ఆడ దాం .
अपनी यो ग य ता दिखा नी होगी .	మీ నె పు ణ యానని ఉనన త రీ తి లో ని రూ పి ంచుకో వాలి .
नहीं , उसके लिए ला ल कार ड दिया जाएगा .	తపపు , అది రె డ కార డు .
तुमहारी पसंद को ?	నీ ఇష ట మా ?
ये व हा इट टे ल स या नि ह िर ण बच नहीं सकते .	ఆ జి ంక ల పని అయి న టటే .
कया है यह ?	ఎందుకు ఇలా చేశారు ?
व हा इट टे ल !	జి ంక !
जो यह सु नि श चि त करते थे कि दोनों टी में ठीक से खेल ें , कोई हे रा - फ े री न करें .	వారి ని చూ సి ము రి సి పో వడం నాకు బాగా గురతు .
अचछा , माफ करना .	కషమించు .
यह तो पकका छ ल है .	నువవు ఖచచితంగా అబ దధ ం చెప తుననావు .
मैं अपने सु पर - जी वन दा ता या नि दा दा जी के साथ मै च देखा करता था .	మా తా త తో కలిసి మయా చ లు చూ సే వా రం .
तुमहें कुछ नहीं होगा .	నీ కే ం కాదు .
हमारी कि सम त तो ऐसी ही है .	మన వి ధి అంతే .
गो ले को स को र करो .	బ ాల ని స కోర చె య . బ ాల ని స కోర చె య .
कया यह काफी नहीं है ?	అది చ ాల దా ?
ह स तक ष े प !	ఆట కు అడ డు పడ డా వు !
चलो !	కా నివ వు !
बढिया नि रण य !	మంచి నిరణ యం ! మంచి నిరణ యం !
गलत फै सला ! गलत फै सला !	త పపుడు నిరణ యం ! త పపుడు నిరణ యం ! త పపుడు నిరణ యం !
मै च में दोबारा लौट ेंगे .	న యూ ప లే స ఫీ ల డ న యూ ట స వారి ఆట ను తిరిగి చూడ బో తుననాం .
हा उल रस जैसे थे , वैसे ही हैं .	క లా సి క హ ౌ ల రస .
शा ंत .	మాటలాడ క ండి .
तुमहें और मुझे , दोनों को ही .	మని దద రికీ లే .
आ भा र .	చాలా సంతోష ం .
माफ ी चाहते हैं .	సారి .
